AMNH       119761     laj3ms5.xls




























12.1254    7.1307     -6.7852    ROSTRUM
12.1508    7.0971     -7.0415
12.1335    7.0993     -7.3061
12.0125    7.1345     -7.536
11.9186    7.2327     -7.688
11.8179    7.2948     -7.8799
11.7785    7.3252     -8.0512
11.7659    7.3634     -8.2358
11.7239    7.3632     -8.4339
11.7092    7.3814     -8.5789
11.6655    7.4051     -8.7285
11.6993    7.3964     -8.9464
11.718     7.375      -9.1069
11.7224    7.3572     -9.2542
11.6159    7.399      -9.3498
11.5379    7.4575     -9.3741
11.4824    7.5442     -9.3998
11.3108    7.6147     -9.5223
11.1046    7.7459     -9.6045
10.9351    7.7913     -9.7159
10.7888    7.8978     -9.9046
10.72      7.9187     -10.0661
10.6342    7.952      -10.2711
10.5053    7.9638     -10.3894
10.3998    8.0199     -10.4283
10.3222    8.1606     -10.3768
10.2032    8.2399     -10.1915
10.1194    8.2546     -9.9413
10.0347    8.3289     -9.6803
9.8709     8.3129     -9.4981
9.6432     8.4237     -9.3692
9.4821     8.4618     -9.2836
9.298      8.5204     -9.1675
9.1555     8.546      -9.0829
9.2509     8.5436     -8.8345
9.3204     8.4929     -8.5471
9.2843     8.5466     -8.3002
9.2483     8.5431     -8.0222
9.2105     8.5598     -7.7937
9.1184     8.5207     -7.5458
9.0349     8.5686     -7.3698
8.9833     8.553      -7.239
8.9615     8.6516     -6.9847
8.9953     8.6843     -6.8271
8.9972     8.6925     -6.7331
9.0284     8.7454     -6.6204


























































































































































14.1582    8.5313     -10.5505   SUPORB
14.1829    8.5792     -10.6986
14.0595    8.6465     -10.9923
13.941     8.7292     -11.2641
13.6365    8.8086     -11.5879
13.3764    8.9051     -11.8449
13.0812    8.8967     -11.9984
12.7307    8.8953     -12.1418
12.2906    8.9502     -12.2551
12.1292    8.9994     -12.3046
11.7527    9.0057     -12.3122
11.5157    8.9919     -12.2779
11.1835    8.999      -12.1875
10.8942    9.0897     -12.1086
10.604     9.2547     -12.0902
10.4785    9.3571     -12.1389
10.2117    9.537      -12.1444
10.1022    9.6074     -12.137
10.0936    9.703      -12.1342
9.9344     9.887      -12.1257
9.7769     10.0729    -12.0934
9.4675     10.385     -11.9676
9.1887     10.727     -11.7648
8.92       11.028     -11.446
8.7359     11.2326    -11.1591
8.6129     11.3968    -10.909
8.4294     11.4788    -10.5586
8.3976     11.5342    -10.3642
8.3666     11.47      -10.2599











































































































































































12.3489    7.8112     -9.811     RORBIT
12.4975    7.8067     -9.8067
