AMNH       119761     laj3cms3
15.6115    17.0612    8.1586     IN
15.9143    20.8955    11.3105    BR
16.7306    25.8946    9.2289     GL
16.7155    25.9078    9.1953     NA
17.174     27.9021    7.2398     RH
17.3196    28.8125    5.4088     NS
17.3465    29.3686    4.4153     PR
18.0556    28.9313    4.4204     R_PR2
17.3035    26.6895    7.7012     R_PMS
19.6588    24.8153    5.6033     R_ZMI
18.5396    25.5467    7.6354     R_ZMU
16.981     25.5048    8.6053     R_DA
18.2096    24.932     9.5891     R_MTI
18.1629    24.4888    10.0916    R_MTS
19.3448    24.4141    8.4379     R_FMO
19.7114    23.7547    8.3671     R_FMT
18.9402    19.7545    6.7455     R_PO
20.3387    24.0042    6.4227     R_ZTS
16.688     29.1874    4.4218     L_PR2
16.6334    26.8144    7.733      L_PMS
13.8756    25.7684    5.4488     L_ZMI
15.1599    26.1892    7.5623     L_ZMU
16.4246    25.7214    8.4066     L_DA
14.8813    25.3503    9.4036     L_MTI
14.9712    25.0998    9.9385     L_MTS
13.7866    25.283     8.0751     L_FMO
13.3679    24.8466    7.9811     L_FMT
12.8694    20.6573    6.5482     L_PO
12.839     25.0669    6.1961     L_ZTS
16.4451    28.7813    5.2853     O1
14.2816    26.3469    7.2495     O2
12.5241    20.3296    7.1514     O3
16.324     17.1589    8.8373     O4







































































































































































9999       9999       9999       GLRH







































































































































































































17.1225    27.8866    7.2846     NOSE
17.2609    27.8695    7.3123
17.3586    27.877     7.2556
17.3577    27.9004    7.1455
17.4299    27.9035    7.0854
17.4823    27.8534    7.046
17.5326    27.7623    7.1101
17.5403    27.6223    7.0942
17.5199    27.5797    7.0704
17.5204    27.6287    6.9895
17.6024    27.6437    6.8924
17.6821    27.6866    6.7273
17.7388    27.7135    6.6466
17.785     27.7597    6.5661
17.8361    27.8631    6.4485
17.8527    27.9305    6.2972
17.8671    28.035     6.1764
17.8481    28.161     6.0913
17.8398    28.2842    5.9712
17.8347    28.4206    5.8583
17.7774    28.5291    5.7566
17.6888    28.6593    5.6142
17.6002    28.7286    5.535
