AMNH       119761     laj3ms3.xls
19.4646    17.6362    -10.1927   IN
17.121     14.5449    -13.2733   BR
14.3329    10.2521    -11.4231   GL
13.2446    8.4266     -9.2445    NA
12.708     7.5164     -7.372     RH
12.4459    7.1394     -6.4314    NS
13.2702    7.0116     -6.3872    PR
13.26      6.9986     -6.3844    R_PR2
14.1808    9.1276     -9.6722    R_PMS
17.162     8.8029     -7.685     R_ZMI
15.8132    9.116      -9.6469    R_ZMU
14.7667    10.261     -10.6277   R_DA
16.0989    9.8313     -11.5995   R_MTI
16.2741    10.2357    -12.0385   R_MTS
17.252     9.4354     -10.4171   R_FMO
17.8246    9.5937     -10.2952   R_FMT
20.4127    12.8912    -8.8642    R_PO
18.2964    9.1058     -8.4143    R_ZTS
12.0436    7.7769     -6.4751    L_PR2
13.5582    9.5836     -9.6344    L_PMS
12.2525    12.1068    -7.5677    L_ZMI
12.8994    11.1362    -9.5492    L_ZMU
14.2528    10.6249    -10.369    L_DA
13.3868    11.5922    -11.4637   L_MTI
13.61      12.0104    -11.9661   L_MTS
12.5316    12.6851    -10.0987   L_FMO
12.5592    13.3894    -10.1406   L_FMT
15.1286    16.7573    -8.4954    L_PO
12.0288    13.6713    -8.1112    L_ZTS
12.7987    6.6974     -6.396     O1
17.2008    8.3754     -8.5954    O2
20.821     13.6668    -9.4944    O3
19.5663    16.6155    -11.4502   O4







































































































































































14.3776    10.3015    -11.4962   GLRH
14.3525    10.2555    -11.3509
14.3036    10.1902    -11.1809
14.2699    10.138     -11.0025
14.2385    10.0776    -10.8719
14.1749    9.9874     -10.6626
14.1248    9.9049     -10.525
14.0612    9.7766     -10.3194
13.9634    9.6085     -10.1336
13.8806    9.4451     -9.9735
13.7644    9.2336     -9.8295
13.6367    9.0065     -9.7162
13.4921    8.7822     -9.6145
13.3903    8.6695     -9.5371
13.3178    8.5375     -9.4057
13.272     8.4349     -9.2922
13.2544    8.446      -9.2344























































































































































































13.2734    8.4187     -9.1956    NOSE
13.3427    8.344      -9.2776
13.432     8.2528     -9.2242
13.5077    8.1761     -9.0752
13.5814    8.1759     -9.0151
13.6131    8.1803     -8.9896
13.6728    8.2393     -9.0465
13.7328    8.2949     -9.0572
13.7681    8.3131     -9.0765
13.759     8.3169     -8.9261
13.7943    8.252      -8.769
13.8302    8.1188     -8.5923
13.8095    7.9904     -8.4069
13.7435    7.8578     -8.2424
13.6444    7.7747     -8.074
13.536     7.691      -7.9203
13.3524    7.562      -7.7783
13.2021    7.5146     -7.6149
13.0024    7.4989     -7.4967
12.7897    7.4976     -7.4227
12.7346    7.4957     -7.3694
12.6024    7.5949     -7.4488
12.4881    7.8035     -7.6134
12.4554    8.0582     -7.7998
12.5145    8.2636     -7.9572
12.6171    8.4469     -8.2072
12.6866    8.6837     -8.3873
12.7334    8.8021     -8.5141
12.7979    8.8337     -8.6106
12.763     8.8108     -8.5258
12.8814    8.8478     -8.6515
12.9627    8.8461     -8.8086
12.9789    8.857      -8.8282
13.0035    8.8426     -8.9513
13.021     8.7807     -8.9984
12.9763    8.7896     -9.0686
12.9489    8.7115     -8.9713
12.9583    8.6395     -8.9805
13.0007    8.5397     -9.051
13.0718    8.5336     -9.1677
13.1265    8.5078     -9.2793
13.2367    8.4157     -9.239






























































































































































12.7449    7.5925     -7.4115    NASP-PR
12.7024    7.416      -7.3289
12.6302    7.3344     -7.2065
12.562     7.2244     -7.0202
12.5531    7.157      -6.814
12.5161    7.1166     -6.6429
12.483     7.1176     -6.4457
12.4433    7.1155     -6.4258
































































































































































































14.1742    9.1173     -9.6589    R-PM/MAX
14.1294    8.8904     -9.4621
14.1251    8.6746     -9.2196
14.1108    8.4349     -8.986
14.1048    8.1876     -8.7316
14.1177    7.9713     -8.4479
14.0997    7.8365     -8.2057
14.1263    7.7207     -7.9785
14.1788    7.6136     -7.7483
14.1946    7.4888     -7.5383
14.1951    7.3673     -7.3449
14.2252    7.2517     -7.14
14.2692    7.2509     -6.8872



























































































































































































13.455     9.5535     -9.477     L-PM/MAX
13.3292    9.472      -9.2988
13.1891    9.3482     -9.1497
13.0476    9.3093     -8.9689
12.8586    9.2449     -8.759
12.7278    9.1826     -8.5536
12.6045    9.1114     -8.3277
12.4958    8.9955     -8.1314
12.4017    8.9553     -7.9055
12.1896    8.9822     -7.4823
12.1271    8.9899     -7.3287
11.9996    8.9432     -7.1565
11.9178    8.9755     -6.9847
11.9187    8.9787     -6.8566
11.9361    9.0004     -6.7429

























































































































































































15.5478    8.585      -6.6811    ROSTRUM
15.5412    8.5478     -6.8743
15.5303    8.5381     -7.1211
15.4893    8.6384     -7.3125
15.3768    8.7501     -7.4995
15.2913    8.8191     -7.6844
15.2574    8.8581     -7.9123
15.2315    8.8667     -8.1561
15.1868    8.8744     -8.3766
15.1743    8.9249     -8.5546
15.2038    8.9156     -8.781
15.2228    8.8454     -8.9573
15.2174    8.8686     -9.1061
15.0984    8.9666     -9.1748
15.0616    9.0608     -9.1929
15.0002    9.0876     -9.2323
14.8634    9.2112     -9.3701
14.7346    9.3338     -9.4549
14.653     9.4443     -9.5579
14.5153    9.5711     -9.7313
14.4278    9.6505     -9.8798
14.3847    9.7058     -10.0707
14.3295    9.6971     -10.2395
