AMNH       119761     laj3ms10.xls
15.7267    18.6241    -10.1901   IN
13.3936    15.6493    -13.3033   BR
10.5121    11.5177    -11.6965   GL
10.4363    11.373     -11.3272   NA
9.3352     9.6137     -9.4411    RH
8.7414     8.6778     -7.5747    NS
8.469      8.3461     -6.6463    PR
9.287      8.175      -6.6124    R_PR2
10.2951    10.3417    -9.8541    R_PMS
13.159     9.923      -7.8134    R_ZMI
11.9746    10.2847    -9.774     R_ZMU
10.9111    11.4522    -10.7665   R_DA
12.1546    11.0463    -11.6878   R_MTI
12.3437    11.4162    -12.1863   R_MTS
13.3974    10.5458    -10.6383   R_FMO
13.976     10.6789    -10.4184   R_FMT
16.6323    13.924     -8.9221    R_PO
14.4399    10.0776    -8.5271    R_ZTS
8.0701     8.9506     -6.684     L_PR2
9.6558     10.7852    -9.7566    L_PMS
8.3397     13.4383    -7.6713    L_ZMI
9.0392     12.3394    -9.6751    L_ZMU
10.3932    11.7806    -10.5259   L_DA
9.545      12.9027    -11.5731   L_MTI
9.6942     13.2742    -12.0055   L_MTS
8.7459     13.9169    -10.3402   L_FMO
8.7711     14.5994    -10.2397   L_FMT
11.3382    17.8361    -8.5909    L_PO
8.2582     14.8055    -8.2827    L_ZTS
8.7647     7.8718     -6.3627    O1
13.2872    9.4242     -8.6833    O2
17.0824    14.6058    -9.534     O3
15.9621    17.572     -11.354    O4







































































































































































10.5595    11.4584    -11.5627   GLRH
10.5257    11.3909    -11.4288
10.4839    11.3071    -11.2324
10.4333    11.269     -11.087
10.3711    11.1883    -10.8828
10.3309    11.097     -10.7256
10.2811    10.9701    -10.5565
10.1881    10.8373    -10.3781
10.0894    10.6442    -10.2009
9.976      10.5007    -10.0559
9.8532     10.3311    -9.958
9.7482     10.1257    -9.8724
9.6193     9.9527     -9.7923
9.5321     9.8182     -9.6962
9.4609     9.7173     -9.6152
9.4026     9.6282     -9.5005
9.3903     9.6153     -9.4268























































































































































































9.3962     9.5876     -9.4029    NOSE
9.4698     9.55       -9.3992
9.5181     9.5427     -9.4246
9.564      9.4569     -9.3808
9.6124     9.3981     -9.2609
9.6756     9.3535     -9.2327
9.7175     9.3051     -9.2212
9.7961     9.3467     -9.2212
9.852      9.4264     -9.2642
9.8996     9.5048     -9.2338
9.8988     9.4906     -9.1758
9.8975     9.4383     -9.0393
9.9043     9.3997     -8.9304
9.9279     9.3089     -8.8408
9.9039     9.2298     -8.6514
9.8761     9.1497     -8.4885
9.8238     9.0072     -8.365
9.7251     8.9033     -8.3048
9.6081     8.8114     -8.1874
9.494      8.6854     -8.0307
9.28       8.6351     -7.8614
9.1468     8.5849     -7.7509
9.0078     8.5661     -7.6737
8.83       8.6408     -7.5862
8.7799     8.6588     -7.5616
8.8263     8.7574     -7.6139
8.7025     8.8318     -7.7269
8.6223     8.9693     -7.7868
8.6043     9.1279     -7.924
8.5916     9.3412     -8.0678
8.6278     9.5147     -8.2151
8.651      9.592      -8.3602
8.7038     9.6843     -8.419
8.7902     9.8408     -8.5538
8.8618     9.9487     -8.6755
8.977      10.0176    -8.8503
9.0435     10.0084    -9.0075
9.0554     10.039     -8.9967
9.1142     10.0182    -9.1267
9.1244     9.9806     -9.2015
9.0885     9.9554     -9.2412
9.0362     9.8413     -9.1872
9.0564     9.7813     -9.1837
9.1014     9.7264     -9.211
9.1352     9.7206     -9.2825
9.1652     9.7382     -9.3661
9.2667     9.7099     -9.4073
9.3256     9.6296     -9.423
























































































































































8.8032     8.6534     -7.5758    NASP-PR
8.7198     8.558      -7.4709
8.681      8.4964     -7.3974
8.6331     8.3831     -7.1967
8.5989     8.3341     -7.0279
8.5673     8.3063     -6.8781
8.528      8.2837     -6.6995
8.531      8.2924     -6.6549
































































































































































































10.3449    10.2293    -9.7351    R-PM/MAX
10.3157    10.0828    -9.6467
10.3069    9.9108     -9.4386
10.2817    9.7286     -9.2761
10.3058    9.4648     -9.0525
