AMNH       119761     laj3cms2
16.002     16.7604    8.2174     IN
16.3143    20.5621    11.4202    BR
17.0978    25.6157    9.3709     GL
17.0951    25.6453    9.3298     NA
17.4331    27.6567    7.4135     RH
17.5674    28.6502    5.5858     NS
17.5211    29.1897    4.6309     PR
18.257     28.7391    4.5612     R_PR2
17.5641    26.4724    7.8517     R_PMS
19.9248    24.6435    5.6755     R_ZMI
18.9331    25.3131    7.7111     R_ZMU
17.2839    25.3061    8.764      R_DA
18.5526    24.6346    9.6682     R_MTI
18.5599    24.2642    10.1744    R_MTS
19.6541    24.1847    8.5163     R_FMO
20.0529    23.5281    8.4298     R_FMT
19.3684    19.5524    6.8296     R_PO
20.5873    23.8257    6.4087     R_ZTS
16.8948    28.9669    4.5712     L_PR2
16.9263    26.5945    7.8821     L_PMS
14.1198    25.526     5.6537     L_ZMI
15.4757    25.9433    7.7557  	 L_ZMU
16.7621    25.4699    8.5584     L_DA
15.1572    25.1955    9.5989     L_MTI
15.2802    24.741     10.1348    L_MTS
14.0973    25.0417    8.3133     L_FMO
13.733     24.63      8.1426     L_FMT
13.2233    20.4547    6.7141     L_PO
13.1548    24.8107    6.4361     L_ZTS
16.7091    28.5903    5.5209     O1
14.5383    26.1191    7.4223     O2
12.8546    19.9843    7.3384     O3
16.7058    16.9393    8.878      O4







































































































































































17.0795    25.6662    9.3737     GLRH
17.101     25.6979    9.2658
17.0915    25.7606    9.1195
17.1081    25.8179    9.0132
17.117     25.8746    8.9093
17.134     25.9262    8.8068
17.1544    25.9795    8.7148
17.1604    26.0476    8.635
17.1585    26.096     8.559
17.1697    26.1606    8.5083
17.2314    26.3088    8.3208
17.2464    26.3908    8.2501
17.2453    26.4938    8.1514
17.2862    26.6153    8.0873
17.3022    26.7114    8.0127
17.3267    26.8302    7.9693
17.3257    26.9522    7.9257
17.3755    27.1353    7.8467
17.3895    27.2451    7.8065
17.3995    27.3355    7.7604
17.4247    27.4112    7.7202
17.4506    27.5087    7.6418
17.4603    27.6055    7.5704
17.4551    27.6647    7.4884
17.4644    27.7001    7.4292















































































































































































17.3614    27.6877    7.4597     NOSE
17.5417    27.6683    7.4818
17.6782    27.6313    7.4347
17.7588    27.5297    7.3484
17.7758    27.4215    7.1506
17.8415    27.4246    7.0428
17.8966    27.4623    6.9334
17.9544    27.5116    6.8072
18.0178    27.5714    6.7187
18.0646    27.6732    6.6023
18.0984    27.7533    6.4467
18.102     27.8496    6.3446
18.0804    27.9622    6.2684
18.0864    28.0694    6.1552
18.0692    28.1757    6.0534
18.0215    28.2389    5.9561
17.9797    28.3506    5.894
17.8968    28.4398    5.7942
17.8059    28.4931    5.704
17.718     28.5423    5.6627
17.6488    28.5962    5.6576
17.5372    28.6077    5.5813
17.4248    28.6534    5.681
17.2666    28.6019    5.7687
17.1536    28.5205    5.9048
17.0434    28.3744    6.0242
16.9313    28.2351    6.1452
16.8493    28.146     6.3282
16.7865    27.9844    6.4822
16.7492    27.8358    6.6045
16.7699    27.7258    6.7366
16.816     27.6059    6.8946
16.8841    27.5568    7.0643
16.9355    27.5554    7.168
17.0121    27.6834    7.3681
17.1693    27.72      7.418
17.326     27.6919    7.436



































































































































































17.5458    28.6581    5.5829     NASP-PR
17.5571    28.7441    5.5359
17.5895    28.8618    5.4326
17.6132    28.9604    5.3097
17.6004    29.0279    5.1836
17.5945    29.0512    5.0836
17.595     29.0938    4.9892
17.5982    29.1042    4.9175
17.6203    29.1385    4.8327
17.5755    29.1631    4.738
17.5744    29.1518    4.6431





























































































































































































17.5682    26.4906    7.8638     R-PM/MAX
17.6446    26.5463    7.7598
17.7064    26.6444    7.6729
17.7354    26.7172    7.5925
17.8179    26.8229    7.461
17.8627    26.9055    7.3785
17.9468    26.9674    7.2449
18.071     27.1217    7.06
18.147     27.2306    6.9061
18.2491    27.3171    6.7249
18.2879    27.3711    6.625
18.3293    27.4467    6.5075
