AMNH       119761     laj3cms4
17.3438    27.9405    8.0122     OP
17.0791    26.1591    8.2581     BA
16.5056    22.2251    7.8464     ST
15.9948    18.5538    7.883      IV
20.1667    25.264     7.8375     R_PG
20.7486    23.0218    7.5668     R_ZTI
17.9674    21.9253    8.8474     R_M3D
18.0937    20.387     8.7595     R_M12
17.6623    18.6386    8.5046     R_MP3
17.1672    17.9375    8.3733     R_PMI
13.7911    26.3418    7.7901     L_PG
12.5755    24.274     7.5686     L_ZTI
14.8903    22.4733    8.7631     L_M3D
14.353     21.0264    8.6587     L_M12
14.33      19.2885    8.3718     L_MP3
14.6423    18.3638    8.1789     L_PMI
14.9434    17.9213    7.6138     O1
13.7473    21.0076    5.9128     O2
13.6771    27.417     6.7686     O3
18.1649    29.3617    5.5706     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV







































































































































































































18.6471    25.0787    6.1501     R_FOS
14.7743    25.795     6.1003     L_FOS
