AMNH       119761     laj3ms7.xls
15.6605    16.1792    -10.0928   IN
13.2146    13.2263    -13.2251   BR
10.3464    9.0887     -11.5227   GL
10.2576    8.9914     -11.1649   NA
9.1744     7.2535     -9.2879    RH
8.5375     6.2623     -7.3477    NS
8.3096     6.0008     -6.5016    PR
9.1086     5.8127     -6.4654    R_PR2
10.1143    7.8894     -9.6698    R_PMS
13.0614    7.557      -7.7066    R_ZMI
11.7671    7.8611     -9.6318    R_ZMU
10.7118    9.1068     -10.6336   R_DA
11.9659    8.6727     -11.6268   R_MTI
12.1911    9.0182     -12.0774   R_MTS
13.2199    8.121      -10.425    R_FMO
13.7874    8.2754     -10.3243   R_FMT
16.2852    11.6436    -8.8223    R_PO
14.3182    7.7791     -8.4896    R_ZTS
7.9849     6.5973     -6.4906    L_PR2
9.6297     8.4509     -9.7294    L_PMS
8.5054     11.0004    -7.4206    L_ZMI
8.9527     10.0196    -9.537     L_ZMU
10.2521    9.4543     -10.36     L_DA
9.412      10.5923    -11.4301   L_MTI
9.6393     10.8709    -11.916    L_MTS
8.6788     11.6382    -10.2388   L_FMO
8.779      12.3062    -10.2104   L_FMT
11.3402    15.4073    -8.469     L_PO
8.1798     12.5338    -8.0828    L_ZTS
8.6228     5.571      -6.4801    O1
13.1358    7.0131     -8.5918    O2
16.9078    12.1785    -9.5175    O3
15.8026    15.1029    -11.3955   O4







































































































































































10.424     9.1457     -11.5796   GLRH
10.3855    9.0722     -11.4277
10.3579    8.9992     -11.2163
10.3042    8.9067     -10.9973
10.2355    8.7628     -10.6931
10.1358    8.6206     -10.4491
9.9747     8.4043     -10.1423
9.8645     8.1954     -9.954
9.74       7.9803     -9.8249
9.5974     7.7634     -9.7378
9.4359     7.5371     -9.6381
9.2938     7.3179     -9.4278
9.2257     7.2587     -9.2981



























































































































































































9.254      7.2131     -9.3062    NOSE
9.3542     7.1857     -9.2695
9.4069     7.0826     -9.1896
9.475      7.0246     -9.0956
9.5232     7.0161     -9.0465
9.6169     7.0101     -9.0561
9.7014     7.0799     -9.1594
9.7228     7.1572     -9.0787
9.7374     7.1324     -8.9632
9.7722     7.0754     -8.8374
9.7815     6.9446     -8.6539
9.7649     6.8608     -8.5251
9.7338     6.7369     -8.3968
9.6169     6.6252     -8.1603
9.4609     6.4808     -7.9699
9.2982     6.3905     -7.814
9.1072     6.3796     -7.6532
8.8534     6.3697     -7.5034
8.6486     6.3289     -7.3954
8.5093     6.5267     -7.5581
8.4663     6.8518     -7.7961
8.5073     7.1351     -7.9695
8.5813     7.3365     -8.2634
8.6984     7.577      -8.4234
