AMNH       119761     laj3cms6
15.4779    17.1999    8.2343     IN
15.6618    21.1043    11.2456    BR
16.5171    26.0963    9.0307     GL
16.5024    26.1148    8.9532     NA
16.9418    28.037     6.9823     RH
17.2262    28.8932    5.1284     NS
17.2682    29.3926    4.1144     PR
17.9475    29.0024    4.1821     R_PR2
17.0777    26.841     7.4722     R_PMS
19.6516    24.9052    5.5582     R_ZMI
18.282     25.7264    7.5043     R_ZMU
16.7515    25.7174    8.4368     R_DA
17.9471    25.1945    9.4796     R_MTI
17.9327    24.8317    9.9416     R_MTS
19.1679    24.6366    8.3721     R_FMO
19.5295    24.045     8.3042     R_FMT
19.0621    19.9662    6.9031     R_PO
20.196     24.1392    6.3402     R_ZTS
16.5632    29.2049    4.0798     L_PR2
17.0748    26.8662    7.4957     L_PMS
19.5579    24.9916    5.5708     L_ZMI
18.379     25.7686    7.5208     L_ZMU
16.7765    25.6741    8.418      L_DA
17.9389    25.2209    9.4728     L_MTI
17.8765    24.8205    9.9443     L_MTS
19.1404    24.6393    8.3472     L_FMO
19.5265    24.0128    8.2945     L_FMT
18.9339    19.8798    6.857      L_PO
20.2155    24.146     6.4189     L_ZTS
16.3152    28.8228    5.0435     O1
14.1111    26.4612    6.9302     O2
12.4422    20.4214    6.998      O3
16.2419    17.3587    8.9137     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































17.0757    27.7078    7.6653     OP
16.8185    25.928     7.9975     BA
16.3536    22.0061    7.8193     ST
15.8558    18.342     8.0499     IV
19.9335    25.031     7.5986     R_PG
20.6256    22.8188    7.4712     R_ZTI
17.8107    21.7631    8.8132     R_M3D
17.9637    20.1871    8.8002     R_M12
17.5385    18.4738    8.658      R_MP3
17.054     17.7918    8.6978     R_PMI
13.503     26.0047    7.507      L_PG
12.3938    23.9856    7.4311     L_ZTI
14.7467    22.2728    8.7398     L_M3D
14.2114    20.7985    8.7093     L_M12
14.1922    19.0291    8.4702     L_MP3
14.5453    18.2035    8.4249     L_PMI
14.8697    17.672     7.7405     O1
13.5259    20.6553    6.0107     O2
13.5023    27.0646    6.3772     O3
17.9553    28.9789    5.0621     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV







































































































































































































18.5136    25.299     6.1777     R_FOS
14.5582    25.7838    5.9295     L_FOS
