AMNH       119761     laj3cms5
15.7656    17.1633    8.354      IN
16.1159    21.0583    11.3402    BR
16.9024    25.9847    9.0998     GL
16.8976    25.9932    9.0529     NA
17.2712    27.9361    7.0329     RH
17.4164    28.8507    5.1445     NS
17.3848    29.3338    4.1641     PR
18.1232    28.8949    4.2013     R_PR2
17.3908    26.8003    7.5273     R_PMS
19.7839    24.8459    5.4735     R_ZMI
18.7582    25.8611    7.3971     R_ZMU
17.084     25.6491    8.493      R_DA
18.4427    25.0576    9.467      R_MTI
18.4279    24.6527    9.9083     R_MTS
19.4512    24.5701    8.2749     R_FMO
19.8072    23.9576    8.1956     R_FMT
19.1694    19.7475    6.7184     R_PO
20.4208    24.0629    6.3026     R_ZTS
16.7996    29.073     4.0853     L_PR2
16.7492    26.9016    7.5391     L_PMS
13.6899    25.7166    5.3595     L_ZMI
15.2713    26.2475    7.4231     L_ZMU
16.5413    25.7883    8.2665     L_DA
15.0245    25.5451    9.3052     L_MTI
15.1125    25.2385    9.8431     L_MTS
13.9066    25.3425    8.0343     L_FMO
13.5288    24.9862    7.8579     L_FMT
13.0089    20.6693    6.6459     L_PO
12.9516    25.0388    6.1464     L_ZTS
16.5231    28.7682    5.1143     O1
14.3519    26.3929    7.1081     O2
12.6583    20.3574    7.2556     O3
16.5591    17.3055    9.0031     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM













































