AMNH       119761     laj3ms6.xls
15.8118    18.1797    -10.0823   IN
13.3066    15.2736    -13.2641   BR
10.3974    11.1257    -11.6099   GL
10.3081    11.0155    -11.2679   NA
9.2006     9.2629     -9.3598    RH
8.6016     8.3496     -7.4792    NS
8.3214     7.9975     -6.5527    PR
9.1163     7.7702     -6.5594    R_PR2
10.1562    9.9413     -9.7749    R_PMS
13.2566    9.3901     -7.8251    R_ZMI
11.7109    9.8268     -9.7437    R_ZMU
10.7838    11.0731    -10.7072   R_DA
12.0278    10.6484    -11.654    R_MTI
12.1934    10.9456    -12.1398   R_MTS
13.2431    10.1094    -10.4957   R_FMO
13.8278    10.2188    -10.3846   R_FMT
16.5054    13.4115    -8.9515    R_PO
14.2556    9.6646     -8.5259    R_ZTS
8.0324     8.6254     -6.4934    L_PR2
9.5582     10.4267    -9.6598    L_PMS
8.4911     13.0466    -7.4773    L_ZMI
8.9935     12.0171    -9.5878    L_ZMU
10.3305    11.4099    -10.4221   L_DA
9.5857     12.4322    -11.4978   L_MTI
9.8314     12.7782    -12.0538   L_MTS
8.7329     13.5543    -10.2553   L_FMO
8.7885     14.2231    -10.1576   L_FMT
11.3698    17.4631    -8.5432    L_PO
8.2515     14.4854    -8.1585    L_ZTS
8.6865     7.54       -6.6074    O1
13.1352    8.9785     -8.6369    O2
17.0035    14.0853    -9.4562    O3
15.8941    17.1586    -11.3423   O4







































































































































































10.4281    11.1388    -11.6082   GLRH
10.3794    11.0835    -11.442
10.3525    10.9924    -11.2239
10.3216    10.8778    -10.9933
10.2133    10.7274    -10.6685
10.0681    10.5705    -10.362
9.971      10.3021    -10.1108
9.8169     10.0958    -9.946
9.642      9.8425     -9.8272
9.4863     9.6214     -9.7113
9.3466     9.4123     -9.5625
9.2702     9.2826     -9.4443
9.2345     9.2734     -9.349










