AMNH       119761     laj3ms9.xls
16.665     16.3736    -10.0949   IN
14.4234    13.4024    -13.275    BR
11.7455    9.1156     -11.6279   GL
11.7033    8.9654     -11.2863   NA
10.6996    7.1585     -9.3682    RH
10.2041    6.1296     -7.4939    NS
9.9987     5.7836     -6.5721    PR
10.8248    5.6471     -6.5744    R_PR2
11.6237    7.8976     -9.8099    R_PMS
14.5935    7.5646     -7.87      R_ZMI
13.267     7.9628     -9.7859    R_ZMU
12.1928    9.0519     -10.7435   R_DA
13.4046    8.6865     -11.721    R_MTI
13.5672    9.1015     -12.201    R_MTS
14.6825    8.2496     -10.7236   R_FMO
15.2503    8.4016     -10.523    R_FMT
17.6917    11.7898    -8.9898    R_PO
15.9861    7.9805     -8.6278    R_ZTS
9.5719     6.3594     -6.5992    L_PR2
11.0463    8.3354     -9.8011    L_PMS
9.6825     10.8025    -7.5113    L_ZMI
10.3123    9.816      -9.583     L_ZMU
11.6398    9.3671     -10.4807   L_DA
10.7385    10.3791    -11.5097   L_MTI
10.925     10.7328    -11.9567   L_MTS
9.9067     11.4084    -10.2156   L_FMO
9.9067     12.0986    -10.0575   L_FMT
12.424     15.4417    -8.4763    L_PO
9.407      12.0962    -8.0807    L_ZTS
10.3795    5.3355     -6.6162    O1
14.7504    7.1213     -8.7415    O2
18.2042    12.4695    -9.6755    O3
16.8873    15.439     -11.3316   O4







































































































































































11.8387    9.1296     -11.7381   GLRH
11.8212    9.0183     -11.5333
11.7843    8.9571     -11.377
11.7187    8.8644     -11.1261
11.6554    8.7817     -10.9057
11.5979    8.6451     -10.65
11.4922    8.4548     -10.3783
11.4073    8.284      -10.2092
11.2869    8.1037     -10.0391
11.1612    7.8338     -9.8984
11.0202    7.6221     -9.7855
10.911     7.4435     -9.6964
10.8224    7.2581     -9.5706
10.7496    7.1518     -9.4443
10.7422    7.1292     -9.3676

























































































































































































10.7986    7.0475     -9.4045    NOSE
10.8893    7.0556     -9.3769
10.9514    6.9764     -9.3274
10.9982    6.8905     -9.2286
11.0639    6.8805     -9.1862
11.1552    6.8563     -9.1365
11.2077    6.9166     -9.202
11.2655    7.0391     -9.1888
11.3027    7.0104     -9.106
11.3122    6.9496     -8.9746
11.3362    6.8312     -8.812
