NMNH       481747     cta5ms.xls
18.0489    16.2023    9.6504     IN
15.0719    13.1754    12.3141    BR
11.7745    10.2527    10.256     GL
10.9915    9.6194     7.6743     NA
10.9629    9.6572     7.6499     RH
10.3246    9.1177     6.1452     NS
10.1575    8.9725     5.6092     PR
9.7861     9.6447     5.6346     R_PR2
10.7968    10.1827    7.7099     R_PMS
10.6266    12.9666    6.3734     R_ZMI
10.9529    11.3772    7.9213     R_ZMU
11.7176    10.6294    9.0437     R_DA
11.0457    11.8648    10.1716    R_MTI
11.2156    12.0013    10.5729    R_MTS
10.5417    12.6848    9.3235     R_FMO
10.6593    13.2169    9.3125     R_FMT
13.6296    16.1664    8.1685     R_PO
10.8123    14.0552    7.0109     R_ZTS
10.7586    8.5527     5.5367     L_PR2
11.5307    9.5179     7.7627     L_PMS
14.1594    9.1328     6.1188     L_ZMI
12.7193    9.4414     7.7702     L_ZMU
12.1044    10.2685    8.9215     L_DA
13.1851    9.4672     10.1232    L_MTI
13.3456    9.6808     10.5061    L_MTS
14.0119    8.9831     9.1207     L_FMO
14.5797    9.0377     9.1598     L_FMT
17.5673    11.8062    7.8569     L_PO
15.4489    9.2327     6.7713     L_ZTS
11.7636    8.6813     6.0824     O1
14.7531    8.955      6.4059     O2
18.2781    12.0532    8.5275     O3
18.7153    14.826     9.9545     O4







































































































































































11.7697    10.2736    10.3093    GLRH
11.7425    10.2443    10.1767
11.7221    10.2356    9.9869
11.6815    10.2089    9.7794
11.652     10.1988    9.6297
11.6279    10.1791    9.4295
11.6067    10.1886    9.2756
11.5787    10.1617    9.1007
11.5609    10.1447    8.9508
11.5358    10.1429    8.7795
11.5038    10.1028    8.6026
11.455     10.0642    8.4686
11.3949    10.0462    8.3671
11.3339    9.9801     8.2174
11.2939    9.9505     8.1621
11.2485    9.8873     8.0612
11.2134    9.8433     7.9882
11.1439    9.7955     7.9337
11.123     9.7802     7.8685
11.0714    9.7461     7.8192
11.0249    9.7005     7.7578
11.0063    9.6884     7.7212
10.9922    9.6848     7.7029
10.9553    9.6562     7.6789
















































































































































































10.9517    9.6748     7.6889     NOSE
10.8557    9.7431     7.6899
10.7816    9.82       7.6073
10.7083    9.8408     7.5494
10.6842    9.8614     7.4789
10.6641    9.8912     7.4777
10.6601    9.9517     7.4419
10.6514    9.9582     7.4408
10.6156    10.0181    7.4394
10.5983    10.0533    7.419
10.5524    10.089     7.301
10.5152    10.0944    7.1945
10.491     10.0593    7.0863
10.4685    10.0267    6.9985
10.4648    10.0106    6.8674
10.4515    9.9505     6.7882
10.3902    9.8446     6.6888
10.3479    9.7246     6.6002
10.2959    9.6317     6.5401
10.303     9.5794     6.4925
10.2865    9.4865     6.3994
10.2598    9.3978     6.3069
10.2186    9.3245     6.2655
10.2387    9.2514     6.2079
10.2531    9.1902     6.1694
10.286     9.1394     6.1293
10.3177    9.1082     6.1269
10.3505    9.078      6.1248
10.3873    9.0419     6.1369
10.4672    8.9636     6.1738
10.5501    8.9321     6.2285
10.627     8.9129     6.3022
10.7139    8.933      6.3629
10.7092    8.9245     6.3837
10.7518    8.9331     6.3996
10.8262    8.9748     6.4708
10.8871    8.9929     6.5252
10.9763    8.9972     6.578
11.0349    9.0347     6.6309
11.1101    9.0583     6.6937
11.1813    9.0751     6.7383
11.2345    9.0826     6.8143
11.2515    9.113      6.8822
11.2713    9.1274     6.9402
11.3006    9.1365     6.9984
11.316     9.164      7.0357
11.3194    9.1927     7.1145
11.3159    9.2297     7.1843
11.3096    9.2614     7.2644
11.3208    9.2382     7.3263
11.2947    9.2773     7.3462
11.2749    9.3067     7.4388
11.225     9.3127     7.4267
11.1318    9.3715     7.4704
11.0968    9.4067     7.5177
11.0612    9.488      7.6112
11.0459    9.5228     7.6524
11.0225    9.5995     7.6301
10.9851    9.6348     7.6842













































































































































10.3445    9.1197     6.1454     NASP-PR
10.2823    9.1003     6.1029
10.2663    9.0518     6.0591
10.2184    9.0141     5.9975
10.189     9.0074     5.9712
10.1689    8.9736     5.8677
10.1663    8.969      5.8389
10.1522    8.9451     5.7343
10.1601    8.9579     5.6644
10.162     8.9608     5.6153
10.1632    8.9828     5.5652





























































































































































































10.8059    10.1844    7.7076     R-PM/MAX
10.7325    10.2152    7.6201
10.6822    10.223     7.5195
10.6368    10.2709    7.4759
10.6044    10.2503    7.3889
10.5471    10.2499    7.3082
10.4807    10.2239    7.1513
10.4126    10.2117    7.0561
10.3915    10.2061    6.9683
10.3257    10.2156    6.8636
10.2659    10.1997    6.7538
10.2333    10.1976    6.6838
10.1948    10.2057    6.5881
10.1381    10.2101    6.485
10.0948    10.1957    6.393
10.013     10.1858    6.3021
9.9955     10.235     6.2519
9.9558     10.259     6.1812
9.9286     10.2298    6.1275
9.8751     10.2381    6.0443
9.8272     10.2363    5.9714
9.8134     10.3061    5.9351
9.7789     10.2536    5.8347
9.8111     10.2872    5.7373
















































































































































































11.5175    9.5401     7.7688     L-PM/MAX
11.5181    9.4578     7.691
11.5175    9.4243     7.6004
11.5112    9.3607     7.5316
11.4932    9.3277     7.4657
11.5068    9.2663     7.3638
11.5055    9.2034     7.2495
11.5332    9.1502     7.1563
11.503     9.0725     7
11.4997    9.04       6.9349
11.4867    9.0085     6.8108
11.4493    8.9358     6.716
11.4863    8.894      6.606
11.4576    8.8554     6.5174
11.4281    8.8208     6.4509
11.4289    8.77       6.3724
11.4466    8.7155     6.2591
11.4699    8.6728     6.1717
11.4585    8.6391     6.1108
11.4436    8.5995     6.0375
11.4386    8.5677     5.9806
11.4119    8.5219     5.891
11.4259    8.4879     5.8341
11.4233    8.4796     5.7737
11.4342    8.4719     5.726
11.4289    8.5298     5.5999














































































































































































10.9999    12.39      5.7261     ROSTRUM
10.9742    12.3873    5.8263
10.9318    12.3703    5.9134
10.8824    12.3251    6.0764
10.8677    12.2966    6.1565
10.8788    12.295     6.2522
10.8771    12.2707    6.3184
10.905     12.2046    6.4054
10.9263    12.1741    6.4618
10.9735    12.0859    6.567
11.0015    12.0143    6.6189
11.0157    11.9568    6.662
11.048     11.8767    6.7234
11.0828    11.8022    6.8048
11.1079    11.7397    6.9361
11.0899    11.7037    7.018
11.0446    11.6551    7.0959
10.9588    11.6168    7.2382
10.9096    11.565     7.3259
10.9213    11.5134    7.3935
10.8615    11.5047    7.4415
10.8444    11.4105    7.5228
10.8488    11.3629    7.5769
10.8806    11.2651    7.6837
10.8968    11.2238    7.7198
10.9504    11.1503    7.7581
10.9648    11.124     7.7872
11.0158    11.0957    7.8329
11.0644    11.0043    7.9071
11.1465    10.8976    7.9143
11.1668    10.8573    7.9913
11.1875    10.7809    8.0509
11.2285    10.6819    8.1143
11.2214    10.6854    8.1003
11.2534    10.6221    8.1602
11.2812    10.5538    8.2169
11.2969    10.5176    8.2791
11.3005    10.4606    8.2928
11.3277    10.4119    8.3637
11.3385    10.4006    8.4036
11.3503    10.3566    8.4186
11.3708    10.3525    8.4384
11.3671    10.3249    8.4882
11.3743    10.2902    8.5088
11.3895    10.2344    8.5428
11.4003    10.2286    8.5452
11.4077    10.1939    8.566
11.4811    10.1143    8.5917
11.5194    10.0593    8.561
11.5957    10.0301    8.5688
11.6526    9.986      8.5662
11.7471    9.9539     8.4589
11.8049    9.9285     8.3312
11.852     9.901      8.2436
11.9012    9.8729     8.1489
11.9588    9.8379     8.0918
12.0083    9.8134     7.9949
12.1339    9.7358     7.9106
12.211     9.687      7.8556
12.2617    9.6341     7.7712
12.276     9.6229     7.7284
12.3244    9.5837     7.6758
12.3535    9.5562     7.6218
12.4417    9.5445     7.481
12.5538    9.4741     7.4419
12.6048    9.4463     7.3755
12.6571    9.4726     7.278
12.6971    9.5073     7.2481
12.7034    9.4984     7.262
12.767     9.5646     7.1226
12.8303    9.6271     6.9363
12.8498    9.6656     6.8322
12.9083    9.6755     6.7459
12.9637    9.6659     6.6607
13.0419    9.6553     6.5928
13.1072    9.6309     6.5187
13.1496    9.6143     6.4818
13.2182    9.5898     6.4285
13.2523    9.5556     6.3785
13.343     9.4968     6.3135
13.4122    9.4716     6.2317
13.4546    9.4589     6.136
13.4725    9.447      6.0586
13.513     9.4531     6.0127
13.5883    9.4871     5.9203
13.5958    9.5261     5.7819
13.5969    9.5798     5.6751
13.6071    9.6102     5.6412
13.6019    9.686      5.4709















































































































10.6404    13.1485    9.3719     SUPORB
10.6243    13.0795    9.4268
10.6636    13.0991    9.5553
10.6852    13.0683    9.6219
10.6809    13.0273    9.7306
10.7617    12.9391    9.9208
10.8039    12.8689    10.0031
10.8689    12.7917    10.0963
10.9143    12.7086    10.1822
10.9949    12.5935    10.2881
11.0956    12.4664    10.3999
11.1438    12.3759    10.4763
11.2       12.2539    10.5433
11.3028    12.1039    10.6382
11.3421    11.9428    10.6867
11.3697    11.8703    10.7171
11.4472    11.7475    10.7703
11.5326    11.5939    10.8374
11.6156    11.4814    10.8886
11.6889    11.3725    10.9267
11.7553    11.2565    10.9494
11.8164    11.1743    10.9698
11.8447    10.9869    10.9227
11.8739    10.86      10.8712
11.9243    10.7445    10.8346
11.9559    10.6222    10.791
11.9961    10.4926    10.7346
12.0065    10.4266    10.6978
12.0478    10.3973    10.6959
12.0238    10.3741    10.6762
12.1847    10.275     10.7133
12.3202    10.2358    10.7444
12.433     10.1995    10.7727
12.54      10.1949    10.8095
12.6767    10.1362    10.8195
12.8308    10.0856    10.8287
12.9923    10.0229    10.8093
13.0813    9.9614     10.7623
13.2251    9.8844     10.7068
13.3353    9.7886     10.6147
13.4146    9.7264     10.5604
13.5575    9.6426     10.4776
13.5222    9.6396     10.4816
13.723     9.5122     10.3551
13.8374    9.4491     10.2568
13.9501    9.4069     10.1955
14.1108    9.3369     10.0674
14.2296    9.2808     9.9815
14.4019    9.2083     9.8757
14.5099    9.1773     9.7964
14.5753    9.1314     9.6801
14.597     9.0969     9.554
