NMNH       164580     laj44ms.xls
13.5244    11.8186    8.8382     IN
11.3701    9.5638     11.6474    BR
8.2706     6.6833     9.9499     GL
8.1998     6.5717     9.5407     NA
7.2558     5.651      7.7756     RH
6.7475     5.1152     6.167      NS
6.6519     5.0274     5.8008     PR
6.2808     5.5227     5.6741     R_PR2
7.3908     6.2905     7.9624     R_PMS
6.879      8.7602     6.5833     R_ZMI
7.0952     7.6248     8.0824     R_ZMU
8.1612     6.9372     9.2195     R_DA
7.6213     8.1281     9.9433     R_MTI
7.7982     8.2297     10.2674    R_MTS
7.1523     8.9765     8.7488     R_FMO
7.19       9.5613     8.7034     R_FMT
9.6475     11.8887    7.7419     R_PO
7.0308     9.9994     7.0372     R_ZTS
7.2392     4.7346     5.7113     L_PR2
7.7984     5.7324     7.9928     L_PMS
10.2451    5.0505     6.6224     L_ZMI
9.249      5.451      8.0314     L_ZMU
8.4766     6.4902     9.0532     L_DA
9.8444     5.8303     9.9616     L_MTI
10.0395    6.0348     10.2263    L_MTS
10.6019    5.3499     8.8675     L_FMO
11.2086    5.4573     8.5546     L_FMT
13.3834    7.9471     7.8227     L_PO
11.5575    5.3084     7.0773     L_ZTS
7.3722     4.7079     6.1535     O1
10.2495    4.8037     7.3846     O2
13.7348    8.143      8.5401     O3
13.6715    10.6964    10.4643    O4







































































































































































8.2692     6.6725     9.9128     GLRH
8.2364     6.6497     9.8131
8.203      6.6288     9.6394
8.1754     6.6085     9.5111
8.1449     6.5471     9.3622
8.1096     6.5168     9.2008
8.0492     6.4509     9.0094
8.0257     6.4207     8.8744
7.9832     6.3755     8.7299
7.9333     6.3194     8.6031
7.8599     6.243      8.407
7.7836     6.1686     8.2739
7.7275     6.1223     8.2
7.6196     6.0405     8.1085
7.5696     5.995      8.0658
7.4924     5.918      7.9957
7.4422     5.8763     7.9775
7.3811     5.8407     7.9595
7.3468     5.7775     7.9161
7.3086     5.7519     7.889
7.2791     5.7294     7.8564
7.2665     5.7076     7.8423
7.2606     5.7004     7.8238
7.2432     5.6825     7.785
















































































































































































7.2365     5.6549     7.7998     NOSE
7.1951     5.719      7.8329
7.1312     5.739      7.7859
7.0811     5.7901     7.7722
7.0508     5.8304     7.7254
7.0444     5.8438     7.7334
7.0409     5.8925     7.689
7.0776     5.9559     7.6306
7.0785     6.0396     7.6434
7.0731     6.0453     7.6506
7.0012     6.07       7.5402
6.9301     6.0861     7.4327
6.815      6.0889     7.2695
6.7147     6.0602     7.1761
6.667      5.9829     7.0254
6.5987     5.8586     6.9235
6.5522     5.7511     6.8144
6.512      5.6683     6.7212
6.5362     5.548      6.64
6.5494     5.4605     6.5748
6.5762     5.3623     6.4667
6.6171     5.2727     6.3755
6.639      5.2089     6.2797
6.6767     5.1762     6.2145
6.685      5.1472     6.1773
6.7654     5.0721     6.1868
6.8504     5.0148     6.2887
6.9096     4.9811     6.3434
7.0006     4.971      6.4533
7.0613     4.9724     6.5428
7.1498     4.9853     6.5931
7.231      5.0026     6.654
7.3236     5.0122     6.7264
7.3856     5.0296     6.8118
7.4538     5.0671     6.9113
7.5046     5.1028     7.0035
7.5613     5.1549     7.0922
7.567      5.2072     7.1982
7.5873     5.2331     7.2858
7.5926     5.3035     7.4279
7.5821     5.3617     7.542
7.5913     5.3904     7.5986
7.5609     5.45       7.706
7.4886     5.4521     7.7257
7.4236     5.4603     7.7218
7.3429     5.5076     7.751
7.29       5.5561     7.7342
7.2513     5.5953     7.7726
7.2201     5.6434     7.7537
7.219      5.6826     7.7977






















































































































































6.7328     5.1517     6.1851     NASP-PR
6.6793     5.1016     6.174
6.648      5.0526     6.1062
6.6251     5.0293     6.074
6.6147     5.0139     6.0048
6.6057     5.0003     5.9668
6.6223     4.9901     5.9229
6.6275     4.9863     5.8791
6.6333     5.0082     5.8072































































































































































































