AMNH       52615      laj12ms.xls
16.6392    17.8432    -8.5959    IN
13.6166    14.7963    -11.0747   BR
10.2783    11.823     -9.1339    GL
10.1793    11.7658    -8.8502    NA
8.9585     10.4735    -6.631     RH
8.4262     9.9019     -5.0694    NS
8.1291     9.6342     -4.4503    PR
8.8509     9.2684     -4.4325    R_PR2
9.8139     10.953     -7.1558    R_PMS
12.858     10.3523    -5.6315    R_ZMI
11.4463    10.6305    -7.2767    R_ZMU
10.4838    11.704     -8.3496    R_DA
11.6021    11.1441    -9.2371    R_MTI
11.8812    11.411     -9.7003    R_MTS
12.7487    10.4928    -7.9406    R_FMO
13.2547    10.537     -8.0998    R_FMT
16.5469    13.3009    -7.1408    R_PO
14.0879    10.3259    -6.2838    R_ZTS
7.7972     10.3281    -4.4715    L_PR2
9.401      11.3019    -7.1603    L_PMS
8.907      14.2265    -5.6194    L_ZMI
9.1046     12.945     -7.2287    L_ZMU
10.1802    12.0273    -8.3052    L_DA
9.6893     13.0653    -9.2279    L_MTI
10.0222    13.3425    -9.7212    L_MTS
9.061      14.3451    -7.9994    L_FMO
9.1556     14.8458    -8.0013    L_FMT
12.1194    18.0254    -7.1383    L_PO
9.0848     15.5135    -6.1101    L_ZTS
7.6213     9.7994     -4.1738    O1
8.4979     14.4335    -6.006     O2
12.444     18.1948    -7.4357    O3
15.9276    18.2978    -8.4273    O4







































































































































































10.3306    11.8777    -9.2368    GLRH
10.2532    11.8062    -9.087
10.1902    11.7435    -8.8615
10.1287    11.6547    -8.6841
10.0621    11.5415    -8.3648
9.9611     11.4825    -8.0363
9.9032     11.4109    -7.8282
9.8016     11.2975    -7.6207
9.6695     11.1936    -7.3843
9.5815     11.0793    -7.2492
