NMNH       220094     lal1ms.xls
7.6685     7.7779     7.4489
7.6395     7.7822     7.3778
7.5915     7.7937     7.2749
7.5217     7.8444     7.0744
7.4674     7.9024     6.883
7.3938     7.9166     6.7432
7.3507     7.948      6.6195
7.2857     8.0048     6.4521
7.2488     8.0254     6.3232
7.2246     8.0622     6.262
7.2403     8.0158     6.1265











































































































































































9.052      7.5389     9.5211     L-PM/MAX
9.032      7.3155     9.0994
8.9901     7.269      9.0602
8.9882     7.2289     8.9868
9.0141     7.1498     8.8853
9.0177     7.0585     8.7721
9.0544     7.0278     8.6643
9.0604     6.9826     8.51
9.0713     6.9343     8.4634
9.1205     6.9113     8.3479
9.1223     6.8957     8.2946
9.1743     6.8379     8.1817
9.2216     6.8098     8.1346
9.2294     6.7758     8.0186
9.2522     6.7685     7.9267
9.2416     6.7566     7.8578
9.2968     6.7037     7.6584
9.3546     6.6832     7.5523
9.3775     6.6468     7.4414
9.4167     6.586      7.2835
9.4589     6.5687     7.157
9.4598     6.5457     7.0437
9.524      6.539      6.9089
9.5667     6.5341     6.8361
9.5731     6.4954     6.752
9.6452     6.4938     6.6468
9.7042     6.4705     6.562
9.7225     6.4607     6.4814
9.7514     6.4122     6.3215
9.7289     6.3559     6.222
9.7424     6.3456     6.1571
9.7466     6.3307     6.0529
9.72       6.3453     5.9523
9.6129     6.4345     5.8508






































































































































































8.1097     10.3081    6.7472     ROSTRUM
8.0333     10.2847    6.8345
8.0404     10.1792    6.9319
8.0097     10.1746    7.0223
8.0126     10.1169    7.1083
8.0328     10.0671    7.214
8.0368     10.0039    7.2805
8.0367     9.943      7.3768
8.0788     9.8643     7.4338
8.1049     9.8081     7.495
8.1226     9.7493     7.567
8.1601     9.6125     7.648
8.1935     9.5588     7.7297
8.2223     9.4612     7.8488
8.2216     9.3918     7.9177
8.2226     9.3044     8.068
8.2142     9.2073     8.1449
8.2046     9.1472     8.2345
8.2025     9.0802     8.3398
