NMNH       503882     laa6ms.xls
8.3112     7.8189     6.8131
8.2453     7.7872     6.7153
8.1685     7.7781     6.5947
8.0713     7.7657     6.4499
7.9973     7.7646     6.3477
7.919      7.7384     6.2133
7.8555     7.7554     6.0979
7.808      7.77       6.0274
7.7813     7.7788     5.983
7.7497     7.7953     5.8967
7.7302     7.8109     5.7945
7.8054     7.8572     5.684














































































































































































9.5742     7.5833     8.1604     L-PM/MAX
9.6047     7.5185     8.0753
9.6133     7.4491     7.9585
9.6223     7.3974     7.8633
9.6315     7.3258     7.7475
9.6309     7.2251     7.6187
9.6242     7.1411     7.4981
9.6536     7.063      7.3886
9.6266     6.971      7.2867
9.6105     6.8762     7.1657
9.5796     6.7932     7.0585
9.536      6.7097     6.9145
9.5175     6.6586     6.8104
9.4916     6.5833     6.7222
9.4681     6.4912     6.5951
9.4291     6.411      6.4904
9.4367     6.3709     6.398
9.44       6.2938     6.2808
9.4016     6.2342     6.1963
9.4056     6.1809     6.137
9.4114     6.1324     6.0668
9.4026     6.1        5.999
9.407      6.09       5.9811
9.4676     6.0623     5.9085
9.4836     6.0429     5.8114
9.4751     6.0585     5.7541














































































































































































8.9503     9.9106     5.7965     ROSTRUM
8.9016     9.8987     5.8841
8.8458     9.8926     6.0035
8.7748     9.8834     6.1297
8.7143     9.8478     6.2112
8.6634     9.7806     6.3313
8.6494     9.7462     6.434
8.6581     9.6668     6.5116
8.6791     9.6045     6.6085
8.6561     9.5524     6.694
8.7206     9.4703     6.7499
8.7447     9.3949     6.7775
8.7647     9.3156     6.8742
8.7349     9.2619     6.9711
8.7675     9.1754     7.0677
8.732      9.1682     7.14
8.7434     9.1131     7.2214
8.7585     9.056      7.2728
8.7711     9.0069     7.33
8.8043     8.9685     7.3893
8.8401     8.9187     7.4108
8.9052     8.8265     7.456
8.9246     8.7981     7.487
8.9491     8.7709     7.5054
8.9876     8.706      7.5603
9.0513     8.6321     7.5739
9.0897     8.5808     7.6099
9.1131     8.5494     7.6563
9.1329     8.508      7.7067
9.1484     8.4233     7.7508
9.1727     8.3838     7.8053
9.2134     8.2871     7.8816
9.2144     8.2339     7.9449
9.2167     8.1941     7.9888
9.2281     8.1354     8.0523
9.2124     8.0911     8.0858
9.2128     8.038      8.1199
9.2247     7.9899     8.1624
9.2336     7.9805     8.2034
9.2439     7.927      8.2243
9.2891     7.8652     8.2544
9.3414     7.8034     8.2717
9.3686     7.7548     8.2673
9.4107     7.7223     8.28
9.4729     7.683      8.2883
9.4903     7.6548     8.2585
9.6354     7.6134     8.2254
9.66       7.5559     8.1205
9.7515     7.5433     8.0132
9.8664     7.5135     7.8934
9.9676     7.4884     7.7984
10.04      7.4755     7.7519
10.115     7.4342     7.6751
10.1613    7.4179     7.6231
10.201     7.3754     7.5667
10.2753    7.2852     7.5286
10.3566    7.2428     7.4741
10.4346    7.2187     7.3624
10.5105    7.1961     7.3215
10.6038    7.1398     7.2251
10.635     7.099      7.1709
10.698     7.0708     7.1228
10.7966    7.0269     7.0245
10.9242    7.0195     6.8887
10.9559    7.0066     6.8315
11.008     6.9879     6.7723
11.1037    6.9636     6.6882
11.1873    6.9305     6.5421
11.2052    6.9256     6.5087
11.2686    6.9148     6.4674
11.3525    6.8943     6.3492
11.4055    6.9249     6.1936
11.4837    6.9467     6.0949
11.4706    7.0649     5.8969
11.5259    7.1683     5.7856
11.5673    7.2276     5.7333
11.5591    7.2952     5.6886



























































































































8.4648     11.1735    8.8205     SUPORB
8.4442     11.1398    8.9606
8.4693     11.0926    9.135
8.4617     11.0435    9.2671
8.5144     10.9794    9.4013
8.5113     10.9337    9.5139
8.5394     10.8019    9.6697
8.5848     10.6874    9.8003
8.6222     10.5744    9.8617
8.6497     10.4846    9.9615
8.6987     10.383     10.0302
8.7291     10.2611    10.1054
8.7703     10.1204    10.1485
8.8183     9.9914     10.2139
8.8925     9.8092     10.2931
8.9397     9.6759     10.3651
9.0127     9.5196     10.4098
9.1283     9.3103     10.4345
9.1653     9.1737     10.4373
9.2515     9.0103     10.4204
9.2975     8.8664     10.4101
9.364      8.7144     10.3942
9.415      8.6464     10.3762
9.5489     8.4527     10.3678
9.6214     8.2882     10.2852
9.6548     8.1555     10.2266
9.7454     8.0401     10.2051
9.8152     7.9378     10.2236
9.936      7.8962     10.2789
10.0535    7.8318     10.3491
10.1772    7.744      10.4092
10.3298    7.6674     10.4035
10.4154    7.6315     10.4137
10.4515    7.5943     10.4043
10.6233    7.5046     10.4204
10.7213    7.4348     10.4215
10.8524    7.3593     10.3988
10.9937    7.2779     10.3771
11.1266    7.2208     10.3512
11.2429    7.1661     10.3068
11.3973    7.0836     10.2458
11.57      7.0192     10.1701
11.6838    6.9547     10.0901
11.7734    6.9029     10.0404
11.8815    6.8585     9.9563
11.9942    6.803      9.8529
12.0255    6.7646     9.7948
12.0741    6.7213     9.7377
12.2369    6.6645     9.5466
12.348     6.6209     9.3675
12.4715    6.5982     9.2206
12.6128    6.5968     9.0471
12.6631    6.5875     8.9483
12.6817    6.6029     8.8571
12.6551    6.5824     8.8106
12.657     6.5927     8.6615
















































































































































8.5821     9.5242     7.8001     RORBIT
8.5376     9.656      7.8305
8.475      9.7595     7.8573
8.4584     9.8538     7.8887
8.4292     9.9676     7.94
8.408      10.0539    7.9931
8.4084     10.1321    8.0834
8.4129     10.2166    8.1535
8.3899     10.2794    8.2193
8.4082     10.3238    8.3119
8.3899     10.3718    8.3993
8.4147     10.4074    8.4622
8.4247     10.4385    8.5483
8.3833     10.4689    8.6518
8.3896     10.4764    8.7097
8.4362     10.4777    8.8385
8.4346     10.4647    8.8841
8.4225     10.4498    9.0021
8.4259     10.4038    9.0996
8.4525     10.3596    9.1732
8.4736     10.305     9.2689
8.4815     10.2543    9.314
8.4892     10.1847    9.3909
8.4976     10.1331    9.4669
8.5432     10.0687    9.5286
8.5569     9.9903     9.586
8.564      9.9246     9.6317
8.5913     9.8734     9.6332
8.5751     9.8069     9.6729
8.6159     9.7257     9.6847
8.6304     9.6372     9.7023
8.6764     9.565      9.7232
8.684      9.5188     9.7377
8.7379     9.4407     9.7374
8.7379     9.3673     9.7457
8.7414     9.2996     9.773
8.7707     9.2373     9.7569
8.7998     9.1763     9.7795
8.8488     9.1133     9.758
8.891      9.0522     9.7691
8.9382     8.9808     9.7983
8.9859     8.8851     9.7996
9.105      8.8541     9.7679
9.1286     8.773      9.7893
9.1347     8.7439     9.7861
9.1587     8.7045     9.8009
9.2763     8.6403     9.7339
9.3409     8.6212     9.6955
9.4113     8.5572     9.6671
9.4251     8.5363     9.6288
9.4968     8.5141     9.5226
9.5482     8.4821     9.4545
9.5674     8.4517     9.3662
9.5971     8.4454     9.2484
9.6047     8.4281     9.1566
9.6049     8.4063     9.0767
9.5955     8.4167     9.0482
9.5813     8.3701     8.9286
9.6143     8.3791     8.8119













































































































































11.2115    6.8152     7.8153     LORBIT
11.3171    6.7845     7.8436
11.4378    6.7043     7.8805
11.5786    6.6924     7.9473
11.6573    6.7022     8.0211
11.712     6.6916     8.0774
11.7848    6.692      8.1394
11.8602    6.6932     8.211
11.9026    6.678      8.3274
11.9533    6.6812     8.4132
11.989     6.6762     8.4756
12.014     6.6272     8.5908
12.0187    6.6272     8.6742
12.0345    6.6285     8.7353
12.0111    6.6238     8.8671
11.9773    6.6587     8.9503
11.9275    6.6616     9.084
11.8661    6.6717     9.2059
11.8306    6.6932     9.2703
11.8032    6.6847     9.3188
11.7267    6.7133     9.4079
11.6449    6.7298     9.4909
11.5637    6.7457     9.5736
11.4834    6.7809     9.6114
11.3843    6.8482     9.6664
11.296     6.8471     9.7214
11.2131    6.9026     9.7142
11.1395    6.9324     9.7201
11.0876    6.9589     9.7454
11.0062    6.9903     9.7536
10.9668    7.0423     9.7426
10.8765    7.0816     9.7406
10.7822    7.1128     9.7611
10.7186    7.1631     9.743
10.645     7.2109     9.7384
10.5524    7.2891     9.7532
10.5122    7.3138     9.7678
10.4275    7.4098     9.7687
10.3399    7.4947     9.7942
10.3002    7.5519     9.7721
10.2744    7.5813     9.7677
10.2183    7.6369     9.7432
10.1589    7.7023     9.726
10.1283    7.7757     9.6488
10.0741    7.8619     9.566
10.0512    7.902      9.4822
10.0238    7.9288     9.4004
10.0019    7.9574     9.243
10.0335    7.9733     9.1552
10.0162    7.9746     9.0956
10.0064    7.982      8.9799
9.996      7.9693     8.962
9.988      7.9802     8.8657
10.0156    7.9634     8.7819


















































































































































8.4721     11.1444    8.9101     RTEMFOS
8.4523     11.1651    8.8092
8.4404     11.1491    8.6791
8.4172     11.1393    8.5758
8.389      11.1401    8.4998
8.3621     11.1282    8.3819
8.3399     11.0934    8.3249
8.289      11.075     8.2257
8.2831     11.0561    8.1111
8.2672     11.0426    8.022
8.222      10.9907    7.8878
8.1917     10.9674    7.7684
8.1142     10.9303    7.6702
8.0834     10.896     7.5473
8.0978     10.8868    7.4543
8.0573     10.8734    7.328
8.073      10.8814    7.243
8.0605     10.9036    7.1706
8.0884     10.9188    7.1256
8.1181     10.9871    6.994
8.1572     11.0538    6.9288
8.2185     11.1638    6.8872
8.2459     11.229     6.8642
8.3039     11.32      6.845
8.3365     11.4163    6.8248
8.3971     11.5194    6.8458
8.4474     11.5766    6.8702
8.4929     11.6546    6.8895
8.5423     11.7366    6.9149
8.552      11.7581    6.9274
8.5936     11.8466    6.9529









































































































































































12.7089    6.6513     8.7758     LTEMFOS
12.6771    6.6376     8.6467
12.7094    6.6337     8.5739
12.7       6.5957     8.4312
12.6327    6.5402     8.2732
12.5849    6.5064     8.2088
12.5854    6.4812     8.0945
12.5488    6.4592     8.0232
12.5456    6.4286     7.8798
12.529     6.3889     7.774
12.4899    6.3458     7.706
12.4528    6.3467     7.5556
12.4495    6.2895     7.3616
12.4713    6.2884     7.2692
12.5269    6.3335     7.1331
12.6016    6.3718     7.0477
12.7215    6.4205     6.9736
12.8343    6.5135     6.939
12.8909    6.5375     6.9273
12.9894    6.5806     6.9406
13.0472    6.6198     6.9527
13.1357    6.6853     6.9796
13.2284    6.7374     7.0039
13.2647    6.7576     7.0256
13.3072    6.7495     7.0397
13.3709    6.7699     7.0603














































































































































































8.0085     6.064      8.9065     OP
9.2555     7.4094     8.664      BA
11.3635    9.5922     7.5332     ST
13.3968    11.5662    6.5985     IV
7.1471     9.6097     8.2334     R_PG
8.2077     11.5212    7.4258     R_ZTI
