AMNH       52603      laj6ms.xls
15.9738    19.7536    -9.2275    IN
12.9695    16.9612    -11.326    BR
9.6916     13.6639    -9.1574    GL
9.5972     13.6121    -8.5805    NA
8.4204     12.5089    -6.4784    RH
7.8843     12.0137    -4.3807    NS
7.7533     11.8963    -4.0177    PR
8.4761     11.5761    -4.0075    R_PR2
9.4005     13.0597    -7.1558    R_PMS
12.2389    12.4363    -5.4806    R_ZMI
10.9994    12.5183    -6.9719    R_ZMU
9.9221     13.5702    -8.1124    R_DA
11.1722    13.0072    -9.2158    R_MTI
11.4812    13.2064    -9.7551    R_MTS
12.4308    12.5085    -7.9523    R_FMO
13.1138    12.4659    -8.1709    R_FMT
16.1274    15.3953    -7.4088    R_PO
13.6426    12.4119    -6.0505    R_ZTS
7.4759     12.5273    -3.9417    L_PR2
8.9322     13.442     -7.1214    L_PMS
8.1034     16.3403    -5.485     L_ZMI
8.464      14.9912    -7.1655    L_ZMU
9.5562     13.9823    -8.1798    L_DA
8.9943     15.1296    -9.2675    L_MTI
9.2529     15.3792    -9.9198    L_MTS
8.4064     16.4008    -8.0851    L_FMO
8.3922     17.0199    -8.3721    L_FMT
11.1614    20.0505    -7.5166    L_PO
8.1087     17.6045    -6.107     L_ZTS
7.2072     12.0264    -3.6677    O1
7.7475     16.6442    -5.8457    O2
11.7397    20.3995    -7.985     O3
15.327     20.2896    -8.9082    O4







































































































































































9.7498     13.6182    -9.2075    GLRH
9.7025     13.6133    -8.9525
9.6554     13.6168    -8.7114
9.629      13.5732    -8.5323
9.5443     13.5264    -8.2327
9.4296     13.4074    -7.8675
9.3607     13.3551    -7.6785
9.2643     13.2738    -7.4917
9.2423     13.1853    -7.3433
9.1355     13.0925    -7.1696
8.989      12.9825    -6.9853
8.8676     12.861     -6.8403
8.7903     12.7753    -6.8105
8.6833     12.6969    -6.7129
8.5922     12.5801    -6.6477
8.5066     12.5201    -6.5609
8.4675     12.4857    -6.475
8.4612     12.4528    -6.4336






















































































































































































8.4629     12.5117    -6.4       NOSE
8.4957     12.39      -6.3923
8.5634     12.3022    -6.3339
8.6908     12.3212    -6.2178
8.7541     12.3349    -6.2236
8.8379     12.3794    -6.1838
8.8559     12.3801    -6.1865
8.8802     12.3538    -6.1193
8.9048     12.2955    -5.9021
8.9195     12.2187    -5.6563
8.899      12.1524    -5.4997
8.8385     12.1092    -5.3503
8.6617     12.0649    -5.1277
8.5176     12.0407    -5.0171
8.4017     12.049     -4.8955
8.3004     12.0385    -4.7993
8.2169     12.0268    -4.6598
8.1102     12.024     -4.5453
7.992      12.0026    -4.4378
7.9144     11.9768    -4.393
7.8489     12.1067    -4.4911
7.8014     12.1722    -4.633
7.7897     12.4077    -4.8411
7.8502     12.5627    -4.9447
7.9302     12.7334    -5.0808
7.9839     12.8898    -5.1949
8.0156     12.9924    -5.4005
8.0795     13.0761    -5.5754
8.1644     13.0517    -5.7735
8.2506     13.0527    -5.9143
8.3138     13.0441    -6.1013
8.3091     12.9737    -6.2097
8.2777     12.9069    -6.2351
8.2416     12.7579    -6.2593
8.2517     12.7045    -6.2784
8.2298     12.5984    -6.3119
8.2524     12.6117    -6.4165
8.3414     12.5422    -6.4602
8.4245     12.5074    -6.4562

































































































































































7.9285     12.0173    -4.4104    NASP-PR
7.8355     11.9387    -4.3238
7.7833     11.9056    -4.1984
7.7665     11.8861    -4.0688
7.7745     11.8921    -3.9596



































































































































































































9.4465     13.0111    -7.1302    R-PM/MAX
9.4099     12.9087    -6.9587
9.379      12.7482    -6.7174
9.3638     12.5986    -6.4785
9.3856     12.3967    -6.1062
9.3752     12.3037    -5.9217
9.3722     12.2505    -5.726
9.4001     12.1399    -5.4994
9.3543     12.0454    -5.2536
9.3474     11.927     -4.9414
9.2799     11.8684    -4.8115
9.2844     11.7388    -4.5128
9.2948     11.6649    -4.3373
9.3234     11.6104    -4.2555
9.3414     11.6666    -4.0998

























































































































































































8.9743     13.4389    -7.1782    L-PM/MAX
8.9177     13.4454    -7.0751
8.7689     13.4302    -6.865
8.6221     13.3875    -6.6414
8.46       13.365     -6.4509
8.2284     13.3847    -6.0616
8.0368     13.3861    -5.6998
7.8947     13.3895    -5.2914
7.7776     13.353     -4.9908
7.6635     13.3164    -4.694
7.5593     13.3008    -4.434
7.494      13.2735    -4.2464
7.5301     13.3568    -4.1275
7.5898     13.364     -4.0453


























































































































































































11.0865    12.6933    -4.1728    ROSTRUM
11.0342    12.6201    -4.3436
10.9781    12.5643    -4.4914
10.943     12.5189    -4.7292
10.8319    12.5939    -4.9854
10.7388    12.6419    -5.093
10.62      12.686     -5.3275
10.5544    12.6937    -5.5251
10.5147    12.6897    -5.7493
10.4278    12.7033    -5.9682
10.364     12.6851    -6.1199
10.3159    12.6682    -6.3085
10.279     12.6463    -6.3838
10.2296    12.6338    -6.4866
10.1529    12.7618    -6.5956
10.0142    12.8221    -6.7439
9.8777     12.9314    -6.8851
9.7477     13.0751    -7.0326
9.6073     13.1439    -7.2421
9.4718     13.1681    -7.3629
9.3317     13.285     -7.4879
9.2234     13.3633    -7.4956
9.2628     13.3204    -7.5281
9.1432     13.4539    -7.4349
9.0625     13.5866    -7.2451
8.9838     13.7074    -7.032
8.8547     13.8376    -6.9074
8.6984     14.0387    -6.7378
8.5963     14.1285    -6.6166
8.4662     14.2601    -6.4912
8.3948     14.3539    -6.419
8.4261     14.3878    -6.2555
8.5094     14.4443    -5.9528
8.5064     14.5367    -5.6563
8.4765     14.633     -5.3973
8.4508     14.7241    -5.1956
8.3689     14.855     -4.9367
8.3691     14.9534    -4.6996
8.3719     14.9964    -4.4411
8.37       15.0449    -4.2749
8.4119     15.0438    -4.2256































































































































































13.0401    12.4446    -7.9405    SUPORB
13.0466    12.4588    -8.1468
12.9686    12.5828    -8.4933
12.8086    12.6724    -8.8383
12.5065    12.8192    -9.1487
12.3034    12.9177    -9.318
12.0283    13.0339    -9.5152
11.623     13.1743    -9.7131
11.2103    13.2935    -9.8342
10.8269    13.4353    -9.8674
10.42      13.5264    -9.8078
10.1087    13.6862    -9.7052
9.9216     13.8085    -9.6466
9.7005     14.0494    -9.6949
9.7178     14.1871    -9.7938
9.622      14.391     -9.8977
9.4977     14.6503    -9.9387
9.3893     14.9022    -9.9258
9.2947     15.1843    -9.8902
9.1272     15.8659    -9.7731
9.0023     16.1548    -9.594
8.744      16.6186    -9.2004
8.5889     16.7767    -8.9762
8.4392     17.035     -8.4379
8.3837     17.0827    -8.2648
8.3467     17.127     -8.0714














































































































































































11.0545    12.623     -7.0075    RORBIT
11.2374    12.5502    -7.0011
11.51      12.468     -7.0482
11.8158    12.4635    -7.1303
12.0338    12.4375    -7.3704
12.2862    12.4989    -7.6649
12.3795    12.5774    -8.2074
12.2732    12.62      -8.4959
12.0806    12.6419    -8.8384
11.7747    12.7465    -9.0744
11.5088    12.8502    -9.1488
11.2414    13.0002    -9.1987
11.0699    13.0818    -9.2168
10.9051    13.1709    -9.2876
10.6845    13.2784    -9.2723
10.3928    13.4271    -9.0991
10.2612    13.5836    -8.7987
10.1505    13.6663    -8.5816
10.0841    13.6825    -8.4058
10.0273    13.664     -8.2926
9.9693     13.603     -8.1681















































































































































































