NMNH       481746     cta4ms.xls
9.3629     7.8973     7.3858
9.3443     7.8274     7.2509
9.3043     7.7962     7.1621
9.2969     7.7668     7.0858
9.2752     7.7321     7.0014
9.2922     7.7045     6.8634
9.2844     7.6457     6.7412
9.2917     7.6202     6.6735
9.279      7.5772     6.5343
9.2846     7.5259     6.4358
9.2621     7.4931     6.3413
9.2754     7.4565     6.2152
9.2746     7.4402     6.137
9.2846     7.3983     6.0471
9.2734     7.3877     5.999
9.273      7.351      5.9093
9.3076     7.3223     5.8765
9.3111     7.3457     5.8225
9.34       7.3416     5.721
9.3301     7.3942     5.6337


















































































































































































8.9096     11.0841    6.0166     ROSTRUM
8.8522     11.043     6.1228
8.8292     11.0348    6.2377
8.8054     10.9985    6.351
8.792      10.9806    6.4243
8.8023     10.9542    6.4716
8.7955     10.9262    6.5383
8.8025     10.8286    6.6088
8.8217     10.7544    6.693
8.8694     10.7083    6.7663
8.8758     10.6215    6.8229
8.903      10.5148    6.9072
8.9036     10.4519    6.9955
8.9657     10.3851    7.0426
8.9539     10.3618    7.125
8.9507     10.3347    7.2203
8.913      10.3335    7.3387
8.8498     10.3029    7.4393
8.8152     10.2466    7.5062
8.8398     10.2141    7.5814
8.8174     10.1738    7.5788
8.7631     10.1446    7.6841
8.765      10.0775    7.7654
8.774      10.0452    7.7947
8.8093     9.9646     7.8491
8.8274     9.8946     7.92
8.8626     9.8039     8.025
8.8994     9.7055     8.0804
8.9381     9.6419     8.1506
8.9541     9.5839     8.1745
8.9861     9.5308     8.22
9.0191     9.4408     8.2994
9.0562     9.366      8.3475
9.0911     9.2826     8.4299
9.1426     9.1847     8.5227
9.1732     9.1194     8.5781
9.2083     9.0701     8.6484
9.2257     9.0125     8.6904
9.2444     8.9834     8.7093
9.2501     8.9566     8.7386
9.2751     8.8953     8.747
9.2955     8.8495     8.7492
9.3704     8.7615     8.7476
9.5394     8.672      8.6106
9.6058     8.6198     8.5098
9.7683     8.5119     8.3397
9.7909     8.4788     8.244
9.8041     8.4578     8.2439
9.8715     8.4294     8.1219
9.9609     8.3747     8.0381
10.0366    8.3463     7.9688
10.0685    8.3145     7.9384
10.1343    8.2541     7.85
10.2299    8.256      7.7417
10.3321    8.2729     7.6308
10.375     8.26       7.6183
10.3692    8.204      7.5911
10.4291    8.1518     7.5234
10.4818    8.1644     7.486
10.5393    8.1938     7.3755
10.6484    8.2561     7.2748
10.6978    8.288      7.1605
10.7705    8.3126     7.0073
10.8237    8.3202     6.9256
10.905     8.283      6.8238
10.9724    8.2523     6.7578
11.0527    8.2058     6.6671
11.1091    8.2066     6.6526
11.1752    8.1625     6.5422
11.2488    8.1344     6.4654
11.279     8.144      6.3943
11.3192    8.1371     6.3147
11.3716    8.1639     6.2073
11.3886    8.1737     6.1248
11.3868    8.1883     6.1029
11.42      8.2454     6.0169
11.4607    8.3457     5.8606



























































































































8.5705     12.0619    9.3881     SUPORB
8.5877     12.0439    9.4985
8.6045     11.9737    9.6481
8.6174     11.8994    9.7863
8.646      11.8505    9.8837
8.6696     11.812     9.942
8.7133     11.7243    10.1073
8.7727     11.627     10.1853
8.8188     11.4934    10.2926
8.8704     11.366     10.3812
8.887      11.2705    10.4349
8.9281     11.2004    10.485
8.9845     11.0743    10.5552
9.0465     10.949     10.6226
9.0739     10.8031    10.6575
9.1325     10.6664    10.7328
9.1759     10.5703    10.7801
9.2377     10.4939    10.8431
9.3038     10.3528    10.9374
9.4106     10.2081    10.9748
9.4718     10.0734    11.0093
9.5275     9.9467     11.0166
9.5496     9.8413     11.001
9.6205     9.6325     10.9781
9.6409     9.5298     10.9214
9.6665     9.4225     10.8883
9.6939     9.3106     10.8426
9.7567     9.1909     10.7889
9.755      9.1499     10.7815
9.9656     9.0457     10.8468
10.0969    8.9804     10.8792
10.2318    8.904      10.9318
10.3787    8.84       10.9505
10.4784    8.7981     10.9493
10.6845    8.7233     10.9637
10.8107    8.6326     10.8957
10.9267    8.5935     10.873
11.0694    8.5126     10.7927
11.1435    8.4433     10.736
11.247     8.3796     10.6661
11.3349    8.3081     10.5986
11.3763    8.2674     10.5614
11.595     8.1919     10.4576
11.7563    8.0866     10.3702
11.8397    8.0355     10.3007
11.9301    7.9719     10.2126
12.0167    7.9494     10.1501
12.3288    7.8622     9.9566
12.4345    7.7933     9.8247
12.4668    7.7765     9.6641
12.4617    7.7485     9.5899
12.4464    7.7126     9.5354
12.4863    7.7161     9.3952
12.459     7.6599     9.2929
12.4451    7.6372     9.2146
12.4776    7.6511     9.0944


























































































