AMNH       86901      laa2ms.xls
15.2149    13.8058    -8.4767    IN
12.5444    11.4605    -11.1147   BR
9.5231     8.6794     -8.7099    GL
9.4185     8.5414     -8.1936    NA
8.7681     7.8998     -6.1327    RH
8.0856     7.339      -4.3872    NS
7.9316     7.2592     -3.8607    PR
8.534      6.9432     -3.8409    R_PR2
9.3257     8.1112     -6.6649    R_PMS
11.8151    7.2134     -5.3341    R_ZMI
10.8145    7.6197     -6.4585    R_ZMU
9.7935     8.5894     -7.6848    R_DA
10.6605    7.959      -8.843     R_MTI
10.8681    8.1374     -9.2447    R_MTS
11.7581    7.361      -7.9108    R_FMO
12.3188    7.43       -7.8411    R_FMT
15.3543    10.0563    -6.9998    R_PO
13.1123    7.3713     -6.1034    R_ZTS
7.6986     7.872      -3.9472    L_PR2
8.926      8.4581     -6.5766    L_PMS
8.4631     10.9564    -5.2321    L_ZMI
8.6479     9.8968     -6.4064    L_ZMU
9.4927     8.8836     -7.6797    L_DA
8.9555     9.8298     -8.7461    L_MTI
9.152      10.016     -9.2063    L_MTS
8.4404     11.0927    -7.5221    L_FMO
8.5846     11.5854    -7.6151    L_FMT
11.4563    14.2589    -6.8679    L_PO
8.6084     12.2389    -6.0611    L_ZTS
7.9214     6.9152     -3.5053    O1
8.1337     11.406     -5.6298    O2
11.7986    14.6194    -7.7461    O3
14.6031    14.5687    -8.3865    O4







































































































































































9.5025     8.6574     -8.7199    GLRH
9.4663     8.6491     -8.5689
9.4354     8.6037     -8.3784
9.4135     8.5461     -8.171
9.3916     8.5005     -8.0064
9.351      8.4624     -7.7863
9.3439     8.4305     -7.6052
9.3203     8.4252     -7.4173
9.3066     8.3711     -7.2014
9.257      8.3363     -7.0551
9.1944     8.2904     -6.9417
9.1019     8.205      -6.7445
9.0308     8.15       -6.6209
8.9778     8.0767     -6.5243
8.8935     8.0052     -6.4111
8.8064     7.9157     -6.2928
8.7533     7.8746     -6.1892























































































































































































8.7624     7.9439     -6.1287    NOSE
8.8556     7.7982     -6.102
8.9173     7.7591     -6.0569
8.9844     7.7632     -6.0447
9.053      7.7734     -6.1152
9.0471     7.7616     -5.9364
9.0674     7.6948     -5.7978
9.0641     7.6238     -5.6711
9.0724     7.5721     -5.4844
8.9759     7.4918     -5.2776
8.8338     7.4679     -5.096
8.674      7.4607     -4.9385
8.5755     7.4651     -4.8114
8.418      7.3987     -4.6907
8.3227     7.3975     -4.5495
8.1974     7.427      -4.4708
8.1456     7.4496     -4.4289
8.0874     7.4834     -4.4752
8.0566     7.6166     -4.6449
8.0636     7.7111     -4.722
8.0854     7.79       -4.8171
8.1458     7.9037     -4.9169
8.2061     8.0843     -5.0787
8.2821     8.1692     -5.2273
8.3838     8.2895     -5.391
8.4363     8.2812     -5.5813
8.5099     8.289      -5.6497
8.5782     8.2762     -5.7978
8.5976     8.2761     -5.8844
8.6227     8.2336     -5.9615
8.6548     8.203      -6.0422
8.6003     8.1263     -6.0627
8.6023     8.0614     -6.0784
8.6482     7.974      -6.1093
8.7051     7.9347     -6.1513
8.7627     7.9005     -6.1582




































































































































































8.1212     7.3859     -4.4332    NASP-PR
8.0293     7.3367     -4.3565
7.9781     7.3056     -4.265
7.9119     7.2702     -4.1378
7.8888     7.2619     -3.992
7.9005     7.2645     -3.9289


































































































































































































9.3513     8.0799     -6.6351    R-PM/MAX
9.3556     8.0058     -6.4993
9.3251     7.9177     -6.3629
9.278      7.8402     -6.1746
9.2745     7.7664     -5.9891
9.2468     7.696      -5.8356
9.277      7.5941     -5.6693
9.2367     7.4896     -5.4611
9.2061     7.3723     -5.2729
9.2034     7.3303     -5.077
9.2503     7.2494     -4.8868
9.3052     7.1553     -4.7002
9.3225     7.0566     -4.4696
9.3575     7.0041     -4.271
9.3891     7.0136     -4.1783
9.4423     7.0452     -4.0947
























































































































































































8.8556     8.4472     -6.5781    L-PM/MAX
8.7789     8.4404     -6.4178
8.6788     8.4235     -6.218
8.5924     8.3964     -6.0613
8.4961     8.4165     -5.8485
8.3501     8.4138     -5.6213
8.2167     8.391      -5.4377
8.1385     8.3639     -5.2136
8.0949     8.4116     -5.0209
8.0256     8.5022     -4.8558
7.9387     8.5455     -4.6589
7.8601     8.5986     -4.4814
7.812      8.6454     -4.3533
7.9458     8.7152     -4.0898


























































































































































































10.7728    7.7088     -4.1836    ROSTRUM
10.7418    7.622      -4.3861
10.6637    7.5917     -4.6076
10.5848    7.6158     -4.9023
10.5086    7.659      -5.0753
10.4321    7.7319     -5.2435
10.3606    7.7859     -5.4149
10.2865    7.8156     -5.6018
10.1818    7.8721     -5.8149
10.0971    7.9544     -5.9896
9.9784     8.0529     -6.1832
9.8984     8.0908     -6.3017
9.7739     8.1589     -6.4251
9.6308     8.2459     -6.6207
9.5391     8.2639     -6.776
9.4465     8.2765     -6.8912
9.3237     8.3192     -7.0218
9.2834     8.3773     -7.1165
9.2377     8.4151     -7.0888
9.1455     8.4577     -7.0103
9.1121     8.5409     -6.9154
9.0911     8.6816     -6.6564
9.0156     8.7964     -6.4391
8.9198     9.0048     -6.205
8.8273     9.194      -6.005
8.7508     9.3622     -5.7717
8.7356     9.474      -5.45
8.7057     9.6498     -5.2293
8.6557     9.752      -5.0523
8.6529     9.8582     -4.8647
8.6603     9.9113     -4.6061
8.6762     9.9169     -4.5015
8.6969     9.9443     -4.3823
8.7733     9.9478     -4.2447






































































































































































12.2654    7.3929     -7.7731    SUPORB
12.2525    7.405      -7.9005
12.2255    7.4534     -8.0634
12.0847    7.5124     -8.2513
11.9451    7.618      -8.5127
11.7802    7.7205     -8.7263
11.5263    7.8653     -8.9411
11.3114    7.9315     -9.0682
11.0749    8.0026     -9.1273
10.9103    8.0571     -9.1644
10.7775    8.1264     -9.2074
10.5067    8.3001     -9.2614
10.209     8.5088     -9.2532
9.9354     8.719      -9.2002
9.6909     8.8271     -9.0373
9.6061     8.8365     -8.9833
9.5396     8.9989     -9.0479
9.4185     9.1997     -9.1227
9.3075     9.426      -9.1477
9.2189     9.6314     -9.1794
9.1087     9.824      -9.1307
9.03       9.9926     -9.0766
8.9515     10.1729    -9.0309
8.9025     10.4198    -8.9584
8.8803     10.6544    -8.8787
8.8324     10.9347    -8.7118
8.7897     11.1246    -8.5501
8.6809     11.3153    -8.2668
8.6307     11.4396    -8.0714
8.577      11.5126    -7.9246
8.553      11.5716    -7.8334
8.5198     11.581     -7.6752








































































































































































10.8594    7.5865     -6.459     RORBIT
11.019     7.5078     -6.5209
11.2422    7.3691     -6.6503
11.4452    7.329      -6.8358
11.5968    7.36       -7.0545
11.6827    7.3371     -7.2845
11.7425    7.376      -7.5075
11.755     7.3674     -7.7837
11.7191    7.4128     -7.9908
11.6592    7.506      -8.227
11.4689    7.6285     -8.4615
11.0587    7.7469     -8.756
10.8901    7.847      -8.7917
10.6359    8.0341     -8.8295
10.5372    8.0418     -8.869
10.3997    8.1713     -8.8741
10.22      8.2739     -8.8308
10.0453    8.4362     -8.7576
9.8992     8.5363     -8.5861
9.8702     8.6348     -8.4467
9.8252     8.6346     -8.3415
9.8193     8.6546     -8.1639
9.8057     8.6489     -7.9872
9.7872     8.6279     -7.8377
9.7698     8.6232     -7.6921















































































































































































8.6519     9.9792     -6.429     LORBIT
8.5959     10.129     -6.4381
8.5472     10.3013    -6.4601
8.5154     10.4735    -6.5583
8.4521     10.7372    -6.7893
8.4648     10.889     -7.0134
8.4765     10.9755    -7.1516
8.5284     11.0549    -7.3612
8.5199     11.1017    -7.5938
8.5213     11.0851    -7.9023
8.576      10.9725    -8.1549
8.6227     10.8095    -8.3562
8.6723     10.5894    -8.5055
8.7915     10.2884    -8.6234
8.865      10.081     -8.6702
8.9866     9.8694     -8.735
