AMNH       52584      laj23ms.xls
17.4852    16.2561    -8.7016    IN
15.0019    13.4597    -11.3929   BR
11.0439    10.2471    -9.8743    GL
10.8746    10.1055    -9.4867    NA
9.4252     8.748      -7.249     RH
8.8095     8.2163     -5.0757    NS
8.6575     8.1792     -4.4618    PR
9.4454     7.829      -4.3782    R_PR2
10.3955    9.251      -7.8424    R_PMS
13.238     8.5526     -5.522     R_ZMI
12.3115    8.7294     -7.3951    R_ZMU
11.2298    10.0538    -8.7623    R_DA
12.3281    9.5377     -9.7924    R_MTI
12.6265    9.8211     -10.2516   R_MTS
13.4734    8.7049     -8.2061    R_FMO
13.9394    8.6862     -8.1997    R_FMT
17.4855    11.6385    -7.0649    R_PO
14.7321    8.7139     -6.2998    R_ZTS
8.3606     8.918      -4.4129    L_PR2
9.9435     9.6696     -7.8179    L_PMS
9.4179     12.4828    -5.7699    L_ZMI
9.7078     11.5492    -7.4663    L_ZMU
10.7423    10.3649    -8.8148    L_DA
10.435     11.6324    -9.8361    L_MTI
10.8176    11.902     -10.333    L_MTS
9.7005     12.8719    -8.4142    L_FMO
9.678      13.3303    -8.3398    L_FMT
12.7706    16.5167    -7.1706    L_PO
9.6343     14.0466    -6.5366    L_ZTS
8.859      7.6931     -4.1211    O1
9.0175     12.9083    -6.0149    O2
13.491     17.0094    -7.6317    O3
16.944     16.3328    -9.3177    O4







































































































































































11.0322    10.1843    -9.8572    GLRH
10.9769    10.1107    -9.6781
10.8966    10.0377    -9.4766
10.8349    9.9712     -9.3083
10.7513    9.8938     -9.1512
10.6813    9.8402     -8.9712
10.6036    9.7902     -8.821
10.5593    9.7299     -8.6762
10.4645    9.6752     -8.4702
10.3806    9.6062     -8.319
10.3321    9.5184     -8.1877
10.2262    9.4597     -7.9965
10.1459    9.3612     -7.8722
10.083     9.2912     -7.7849
9.974      9.1889     -7.6807
9.8533     9.0857     -7.643
9.7957     9.0073     -7.5582
9.697      8.9334     -7.4912
9.5969     8.8775     -7.4514
9.538      8.7987     -7.3999
9.462      8.7496     -7.318
9.4499     8.729      -7.2523


















































































































































































9.4052     8.7817     -7.2402    NOSE
9.4636     8.7037     -7.1935
9.504      8.6277     -7.1222
9.5293     8.4825     -7.0284
9.5402     8.4506     -6.9162
9.549      8.4225     -6.8339
9.5946     8.4348     -6.8258
9.696      8.4381     -6.8334
9.8089     8.4973     -6.8304
9.9028     8.4768     -6.6871
9.91       8.4371     -6.4927
9.9133     8.3725     -6.3445
9.8883     8.2963     -6.1948
9.8206     8.2189     -6.0788
9.7764     8.1886     -5.959
9.7191     8.1168     -5.8784
9.5457     8.0779     -5.7423
9.3799     8.0662     -5.6417
9.2794     8.0776     -5.5666
9.1647     8.0816     -5.4522
9.0702     8.0817     -5.3614
8.9874     8.0886     -5.272
8.8926     8.0901     -5.1814
8.8478     8.1244     -5.1111
8.7896     8.1913     -5.052
8.76       8.2396     -5.0613
8.694      8.2972     -5.1167
8.6657     8.3786     -5.2437
8.6294     8.4879     -5.3511
8.649      8.5641     -5.4304
8.6956     8.6581     -5.5369
8.7253     8.7465     -5.6181
8.758      8.8264     -5.6956
8.7921     8.9397     -5.7789
8.7987     9.0226     -5.8465
8.8637     9.0895     -5.9162
8.8862     9.1612     -6.0003
8.9418     9.2311     -6.1349
8.9838     9.2914     -6.2205
9.0486     9.3131     -6.3673
9.1034     9.3083     -6.4929
9.1496     9.2828     -6.5829
9.1447     9.2358     -6.7249
9.166      9.1472     -6.8356
9.098      9.0941     -6.822
9.0682     9.0289     -6.8033
9.1269     8.9729     -6.8609
9.1721     8.919      -6.9937
9.1986     8.8874     -7.042
9.2567     8.8767     -7.1008
9.3639     8.8565     -7.1539
9.3993     8.7962     -7.1669




















































































































































8.8022     8.2218     -5.0897    NASP-PR
8.7382     8.1799     -4.998
8.6848     8.1588     -4.8586
8.673      8.1567     -4.7034
8.6698     8.1406     -4.6085
8.6919     8.1521     -4.5219
8.6878     8.1627     -4.4555

































































































































































































10.3868    9.2262     -7.8111    R-PM/MAX
10.3664    9.1111     -7.6753
10.3374    9.0273     -7.5432
10.3137    8.9711     -7.4492
10.28      8.9072     -7.3721
10.2036    8.8439     -7.302
10.2362    8.8209     -7.222
10.3236    8.8085     -7.1387
10.3332    8.7949     -7.1104
10.2859    8.755      -7.029
10.2861    8.7196     -6.9856
10.3219    8.6803     -6.8854
10.3349    8.6753     -6.8358
10.35      8.5961     -6.7382
10.3043    8.5296     -6.633
10.2915    8.4345     -6.4986
10.2507    8.381      -6.3615
10.2482    8.3224     -6.222
10.2337    8.2526     -6.0161
10.2298    8.2286     -5.9014
10.235     8.1677     -5.797
10.2492    8.1094     -5.658
10.2568    8.0562     -5.5422
10.2448    8.0166     -5.4193
10.221     7.9808     -5.2884
10.1984    7.9104     -5.1623
10.2332    7.8424     -5.0267
10.2786    7.8026     -4.9217
10.3026    7.7943     -4.7736
10.3215    7.8451     -4.6715










































































































































































9.9118     9.6701     -7.8096    L-PM/MAX
9.8034     9.6475     -7.7004
9.7391     9.6304     -7.588
9.609      9.5913     -7.4531
9.5588     9.575      -7.3889
9.5073     9.5671     -7.3269
