NMNH       452500     laj40ms.xls
14.6042    14.0098    13.0092    IN
11.253     10.7911    14.5637    BR
8.523      7.9669     11.4571    GL
8.4842     7.9811     10.8984    NA
7.5597     6.9845     8.4618     RH
7.1336     6.5078     6.1993     NS
7.0132     6.3849     5.6773     PR
6.6487     7.0463     5.4872     R_PR2
7.9264     7.769      9.2163     R_PMS
7.7529     10.9179    7.8718     R_ZMI
7.6756     9.5082     9.5751     R_ZMU
8.709      8.773      10.8996    R_DA
7.6982     9.6709     11.5656    R_MTI
7.8802     9.7189     12.1563    R_MTS
7.4475     10.6693    10.3649    R_FMO
7.4522     11.4134    10.2125    R_FMT
10.7234    14.3486    10.5619    R_PO
7.6771     12.1545    8.5456     R_ZTS
7.6463     6.0489     5.5607     L_PR2
8.3991     7.5019     9.3308     L_PMS
11.4315    6.8992     8.0604     L_ZMI
10.1465    7.1572     9.674      L_ZMU
9.3169     8.1924     10.8149    L_DA
10.316     7.0754     11.6047    L_MTI
10.5298    7.2554     12.1875    L_MTS
11.3428    6.8621     10.542     L_FMO
12.0275    6.9459     10.5632    L_FMT
14.9739    10.1429    10.671     L_PO
12.9684    7.1419     8.7919     L_ZTS
8.0358     6.2053     6.5507     O1
11.1638    6.583      9.4071     O2
15.8137    10.3825    11.2432    O3
15.0228    12.8678    13.3669    O4







































































































































































8.5129     8.0001     11.5004    GLRH
8.4756     7.9206     11.3698
8.4823     7.9929     11.1765
8.493      7.9955     10.9914
8.4539     7.9817     10.755
8.4127     7.9685     10.5332
8.3794     7.919      10.3538
8.3592     7.8933     10.1142
8.3577     7.8182     9.929
8.2829     7.7798     9.6974
8.2563     7.6936     9.5657
8.2075     7.6595     9.4413
8.1404     7.5803     9.3098
8.0557     7.4899     9.1824
7.984      7.4555     9.09
7.9486     7.4018     9.0206
7.8986     7.3565     8.9759
7.823      7.2852     8.957
7.7602     7.2178     8.8976
7.7109     7.1795     8.8315
7.6692     7.1398     8.7713
7.5925     7.0881     8.715
7.5755     7.0673     8.6591
7.5515     7.0311     8.6071
7.5428     7.0052     8.5682
7.5384     7.0059     8.5274
7.5178     7.0055     8.4681













































































































































































7.5621     6.9972     8.4985     NOSE
7.4644     7.0528     8.4973
7.382      7.0703     8.4442
7.373      7.1122     8.4284
7.4358     7.1542     8.3354
7.3313     7.2582     8.5029
7.3607     7.3339     8.4957
7.3538     7.4035     8.4839
7.3855     7.4139     8.4879
7.4773     7.4781     8.5199
7.4856     7.5675     8.4428
7.4545     7.6014     8.3155
7.4339     7.604      8.2024
7.4083     7.617      8.0884
7.3647     7.615      7.9986
7.3195     7.6111     7.9208
7.2837     7.5817     7.8143
7.2335     7.5318     7.6815
7.2299     7.4822     7.5851
7.1974     7.4396     7.4587
7.1768     7.3975     7.3626
7.1694     7.3065     7.2298
7.1305     7.2402     7.1091
7.1125     7.1937     7.003
7.1195     7.1413     6.9257
7.1299     7.0827     6.8288
7.1282     6.9995     6.7591
7.1178     6.9602     6.7046
7.1303     6.8435     6.5747
7.1269     6.7854     6.4787
7.1338     6.7223     6.4039
7.0823     6.6411     6.319
7.0813     6.5774     6.2253
7.1106     6.5384     6.1965
7.1235     6.5119     6.1994
7.1501     6.5068     6.2076
7.2355     6.4648     6.2561
7.3203     6.3968     6.3968
7.3758     6.3499     6.4946
7.4642     6.3403     6.5708
7.5615     6.3424     6.6938
7.6515     6.3687     6.7826
7.7488     6.3965     6.892
7.791      6.4293     6.9335
7.8502     6.4459     7.0192
7.9011     6.4716     7.0932
7.9378     6.4863     7.1706
7.962      6.5049     7.228
7.9889     6.5276     7.2742
8.0216     6.5357     7.3116
8.0471     6.5712     7.4187
8.076      6.6001     7.5059
8.1172     6.6396     7.6114
8.1287     6.6617     7.6695
8.1363     6.6917     7.7799
8.1504     6.7286     7.8355
8.1583     6.7671     7.8911
8.1656     6.7881     8.0034
8.1678     6.7983     8.0862
8.1687     6.8054     8.1486
8.1694     6.8121     8.211
8.1475     6.8165     8.2764
8.1545     6.8314     8.3156
8.1063     6.8534     8.4234
8.0658     6.8576     8.4593
8.0085     6.8027     8.4352
7.9577     6.7882     8.4134
7.9418     6.7848     8.3845
7.9056     6.7611     8.3625
7.8373     6.7751     8.359
7.7809     6.7952     8.385
7.7141     6.81       8.381
7.6592     6.8538     8.413
7.6424     6.8918     8.4402
7.6349     6.9118     8.438
7.5602     6.9871     8.4579
7.5439     7.0163     8.497



























































































































7.1985     6.5517     6.2384     NASP-PR
7.1224     6.4947     6.1987
7.0805     6.4677     6.1265
7.0339     6.4335     6.0773
7.0044     6.3964     5.9837
6.9949     6.3671     5.8974
6.9642     6.3658     5.8086
6.9772     6.3481     5.7378
6.9768     6.355      5.7526
7.0156     6.3921     5.6851
7.0666     6.4129     5.6188





























































































































































































7.8853     7.7978     9.1771     R-PM/MAX
7.8231     7.7742     9.108
7.78       7.767      9.0618
7.7117     7.7737     8.9534
7.6607     7.778      8.857
7.5927     7.7989     8.7097
7.5609     7.8462     8.6333
7.4999     7.8555     8.5368
7.4506     7.8987     8.4332
7.3961     7.8795     8.3316
7.321      7.9091     8.1541
7.2817     7.8907     8.0312
7.2701     7.8806     7.8879
7.2077     7.8664     7.7273
7.1881     7.8492     7.5932
7.1654     7.8324     7.4511
7.1489     7.8482     7.314
7.1182     7.8602     7.1873
7.0785     7.8763     7.0307
7.0279     7.8816     6.9166
7.0214     7.904      6.8346
6.9652     7.894      6.6575
6.9265     7.9517     6.5441
6.8887     7.9581     6.4404
6.8772     7.9829     6.3899
6.8342     7.9896     6.3088
6.8207     8.0494     6.2143
6.8675     8.0726     6.0243












































































































































































8.3646     7.4416     9.2186     L-PM/MAX
8.3466     7.3755     9.1891
8.3286     7.3259     9.1225
8.3246     7.2779     9.0749
8.3336     7.1869     8.9482
8.3555     7.1319     8.8857
8.3899     7.0461     8.7561
8.4452     6.9852     8.6267
8.4747     6.9619     8.5629
8.5141     6.8931     8.4304
8.5695     6.8637     8.3515
8.5749     6.7982     8.2508
8.5936     6.7796     8.1927
8.6161     6.726      8.0902
8.6253     6.7139     8.0264
8.628      6.6785     7.9814
8.6354     6.6566     7.939
8.6445     6.6493     7.8184
8.6746     6.6205     7.7198
8.6688     6.599      7.6079
8.693      6.5838     7.4833
8.7288     6.5669     7.4333
8.7515     6.5461     7.3251
8.772      6.5106     7.2493
8.7681     6.4806     7.1494
8.7824     6.4678     7.0709
8.7812     6.4445     6.9899
8.792      6.4224     6.9381
8.8072     6.4001     6.8315
8.8174     6.3654     6.7622
8.8304     6.3454     6.7003
8.8157     6.3041     6.6347
8.8248     6.2448     6.521
8.8255     6.22       6.4419
8.824      6.1967     6.3675
8.8292     6.2031     6.3418
8.8386     6.1713     6.2923
8.8244     6.1742     6.1805


































































































































































8.1568     10.2066    6.7335     ROSTRUM
8.0701     10.1481    6.8943
8.0282     10.1177    7.0208
8.0263     10.0822    7.1525
8.0848     10.0154    7.1822
8.1132     9.9614     7.2163
8.1886     9.8849     7.2515
8.2767     9.7744     7.2718
8.3171     9.6464     7.3536
8.3359     9.5919     7.4725
8.3305     9.5373     7.5523
8.3084     9.4874     7.6427
8.2942     9.4893     7.7211
8.2556     9.4631     7.8111
8.21       9.4227     7.9072
8.1695     9.4005     8.0268
8.1381     9.3764     8.1068
8.0828     9.353      8.2523
8.053      9.2862     8.3544
8.0376     9.2397     8.4312
8.0109     9.1878     8.4932
7.9801     9.1515     8.5652
7.9191     9.0807     8.7041
7.8531     9.0435     8.863
7.8317     9.0207     8.9398
7.7878     8.9556     9.0653
7.8141     8.886      9.1536
7.8809     8.8098     9.235
7.9768     8.7128     9.3252
8.0217     8.618      9.3998
8.0675     8.5464     9.4653
8.1425     8.4513     9.5387
8.1697     8.3778     9.5964
8.1904     8.2565     9.7012
8.2069     8.2066     9.8284
8.1956     8.14       9.9199
8.2194     8.0714     10.0086
8.266      7.962      10.0646
8.2993     7.9271     10.0977
8.3716     7.8604     10.081
8.4778     7.7371     10.0475
8.5827     7.7526     10.0225
8.6458     7.744      9.9775
8.6833     7.7334     9.946
8.7357     7.7351     9.897
8.8383     7.7373     9.7746
8.9167     7.7054     9.6642
9.0134     7.645      9.5849
9.2082     7.5146     9.4115
9.3033     7.4396     9.3566
9.4142     7.3738     9.2411
9.5251     7.2974     9.1082
9.6556     7.274      9.0064
9.7416     7.2952     8.8484
9.7841     7.3417     8.7636
9.8501     7.4085     8.6608
9.9317     7.4157     8.5502
9.9732     7.431      8.4988
10.0441    7.4449     8.3577
10.0666    7.4492     8.2595
10.1092    7.4907     8.1417
10.166     7.5186     8.0571
10.2157    7.5725     7.938
10.2667    7.6045     7.8008
10.3059    7.6183     7.7293
10.3367    7.6129     7.6404
10.3915    7.5984     7.4968
10.4696    7.5523     7.4232
10.5609    7.5147     7.356
10.637     7.4328     7.2573
10.685     7.3987     7.2318
10.7395    7.3784     7.2046
10.823     7.3744     7.1806
10.9089    7.3851     7.0124
10.9556    7.4202     6.905
10.931     7.4728     6.7843
10.9446    7.5585     6.7311
10.9408    7.5092     6.7687


























































































































7.4591     11.4376    10.3715    SUPORB
7.4528     11.4117    10.5228
7.4311     11.3619    10.6453
7.4572     11.3314    10.7852
7.4522     11.2559    10.9185
7.4695     11.2166    11.046
7.4938     11.1563    11.1874
7.5015     11.0687    11.3296
7.52       10.9786    11.48
7.5559     10.8245    11.607
7.5759     10.7234    11.7035
7.6059     10.6183    11.7785
7.6445     10.5259    11.8708
7.6562     10.441     11.9436
7.7047     10.311     12.004
7.7382     10.1709    12.0726
7.803      10.0709    12.1576
7.8621     9.9311     12.2192
7.9102     9.8505     12.2696
7.9528     9.7672     12.3143
8.0495     9.6162     12.3585
8.1067     9.4803     12.3624
8.1788     9.327      12.3693
8.2636     9.1576     12.3537
8.3256     9.0326     12.3079
8.4277     8.7949     12.2126
8.4669     8.6436     12.1924
