AMNH       41343      ctt2ms.xls
18.2627    19.1874    -9.3691    IN
16.1102    16.8109    -11.4915   BR
12.3457    13.051     -10.3305   GL
12.2858    12.9857    -10.1919   NA
9999       9999       9999       RH
9.537      10.1315    -5.8718    NS
9.1707     9.7688     -4.825     PR
9.7457     9.3782     -4.8687    R_PR2
9999       9999       9999       R_PMS
14.8007    10.9584    -6.2495    R_ZMI
13.4069    11.4186    -8.0658    R_ZMU
12.5566    12.5942    -9.0115    R_DA
13.7767    12.1457    -10.2145   R_MTI
13.9335    12.549     -10.6291   R_MTS
14.7142    11.4158    -9.1533    R_FMO
15.368     11.5334    -9.3401    R_FMT
18.8817    14.793     -7.7196    R_PO
9999       9999       9999       R_ZTS
8.7413     10.3274    -4.9281    L_PR2
9999       9999       9999       L_PMS
10.3869    15.1202    -6.0409    L_ZMI
10.8766    13.83      -8.0428    L_ZMU
11.8769    13.1367    -8.9962    L_DA
11.4154    14.5496    -10.1102   L_MTI
11.7578    14.8358    -10.5481   L_MTS
10.6971    15.3982    -8.9977    L_FMO
10.7554    15.9772    -9.0277    L_FMT
14.0238    19.501     -7.5083    L_PO
10.4127    16.7716    -6.8276    L_ZTS
8.5925     9.881      -4.715     O1
10.0501    15.5996    -6.8584    O2
14.552     19.7891    -8.1331    O3
17.5933    19.4453    -9.5829    O4







































































































































































9999       9999       9999       GLRH





























































































































































































