AMNH       52589      laj28ms.xls
15.7813    15.406     -8.2636    IN
13.1854    12.5384    -10.9038   BR
9.8028     9.3186     -8.878     GL
9.6953     9.2857     -8.5729    NA
8.605      8.2707     -6.5162    RH
8.1679     7.7598     -4.6154    NS
7.9923     7.5994     -4.0362    PR
8.7097     7.3624     -3.8819    R_PR2
9.4923     8.8205     -7.178     R_PMS
12.0677    7.9703     -5.3458    R_ZMI
11.074     8.3262     -6.8371    R_ZMU
10.0556    9.332      -7.9455    R_DA
11.2084    8.8096     -9.0353    R_MTI
11.5035    9.1324     -9.523     R_MTS
12.4301    8.2705     -7.7625    R_FMO
12.8601    8.2968     -7.8584    R_FMT
16.1185    11.2786    -6.774     R_PO
13.4871    8.2086     -5.7515    R_ZTS
7.6513     8.329      -4.0555    L_PR2
9.2065     9.1279     -7.241     L_PMS
8.3279     11.6118    -5.3577    L_ZMI
8.7501     10.4542    -6.8734    L_ZMU
9.7042     9.6878     -7.9464    L_DA
9.171      10.7532    -9.0693    L_MTI
9.5174     11.1023    -9.4741    L_MTS
8.6254     11.9697    -7.8406    L_FMO
8.5871     12.3577    -7.7418    L_FMT
11.3555    15.4653    -6.8819    L_PO
8.5058     13.0062    -5.8303    L_ZTS
8.3771     7.1272     -3.5219    O1
8.0054     11.9821    -5.6203    O2
11.9635    15.8928    -7.4939    O3
15.1057    15.4144    -9.2007    O4







































































































































































9.8442     9.3864     -9.0354    GLRH
9.7761     9.3142     -8.8135
9.7439     9.2611     -8.6171
9.7003     9.2526     -8.4444
9.671      9.2071     -8.2279
9.6289     9.1774     -8.0446
9.57       9.1742     -7.8441
9.53       9.1414     -7.6735
