NMNH       220367     ctt29ms.xls
16.8505    15.3043    9.1165     IN
14.3858    13.305     11.8646    BR
10.7648    10.1764    9.9992     GL
10.6731    10.128     9.8116     NA
9.5304     9.0781     7.7674     RH
9.1607     8.6709     6.044      NS
9.0787     8.5912     5.384      PR
8.8142     9.0862     5.3618     R_PR2
10.0369    9.8102     8.3243     R_PMS
9.4965     12.5717    6.4481     R_ZMI
9.7473     11.3146    7.8404     R_ZMU
10.5358    10.3886    8.7373     R_DA
10.0522    11.745     9.8641     R_MTI
10.2512    11.8677    10.1743    R_MTS
9.6715     12.4359    8.9603     R_FMO
9.8238     12.8684    9.0401     R_FMT
12.8308    15.7422    7.9722     R_PO
9.662      13.5443    7.1846     R_ZTS
9.5452     8.3112     5.4291     L_PR2
10.3693    9.4848     8.3184     L_PMS
13.0127    8.5037     6.5081     L_ZMI
11.6456    9.0519     7.9125     L_ZMU
10.9344    9.959      8.7576     L_DA
12.2094    9.1824     9.9367     L_MTI
12.4299    9.3843     10.2178    L_MTS
12.8392    8.7553     9.0624     L_FMO
13.2491    8.8154     9.1471     L_FMT
16.5797    11.2487    8.0361     L_PO
13.9705    8.5195     7.3472     L_ZTS
9.8024     8.2473     6.1325     O1
12.5179    8.4478     7.792      O2
17.1862    11.5977    8.7108     O3
17.1767    14.4812    10.0103    O4







































































































































































10.7483    10.1906    9.9776     GLRH
10.6615    10.1577    9.8366
10.6118    10.097     9.6996
10.5476    10.0281    9.5402
10.5052    10.0004    9.4403
10.4734    9.9646     9.3802
10.4329    9.9027     9.2017
10.3944    9.8596     9.0842
10.3852    9.8496     8.9981
10.3518    9.795      8.8683
10.2752    9.7678     8.7464
10.2423    9.7338     8.6383
10.1899    9.6833     8.5427
10.1099    9.6222     8.4443
10.0559    9.5652     8.3603
9.9631     9.5227     8.3033
9.9128     9.4728     8.2379
9.8554     9.4287     8.1953
9.7927     9.3715     8.146
9.7574     9.3237     8.0998
9.6944     9.2923     8.0382
9.6479     9.221      7.9676
9.6173     9.2057     7.9371
9.5938     9.1593     7.8872
9.5465     9.1355     7.8494
9.5435     9.1301     7.8218
9.5179     9.0809     7.7346













































































































































































9.5212     9.0787     7.7629     NOSE
9.5027     9.1301     7.7905
9.4895     9.1871     7.7998
9.4749     9.2255     7.7786
9.43       9.2741     7.7318
9.4391     9.3099     7.6896
9.3662     9.3146     7.6477
9.331      9.3432     7.5598
9.336      9.3351     7.4992
9.3524     9.3429     7.4671
9.3161     9.344      7.4624
9.3382     9.4267     7.454
9.3426     9.4606     7.3852
9.3073     9.4495     7.2738
9.2934     9.4495     7.2329
9.2669     9.4556     7.1395
9.249      9.4509     7.0788
9.2119     9.4576     6.9878
9.2137     9.4478     6.8845
9.1591     9.4278     6.7871
9.1329     9.3896     6.7202
9.0951     9.3207     6.6223
9.0796     9.2618     6.5449
9.074      9.1605     6.4681
9.0634     9.0906     6.3709
9.0839     8.9912     6.2619
9.0744     8.9198     6.1961
9.1005     8.843      6.138
9.1017     8.7893     6.0993
9.1324     8.7601     6.0869
9.1587     8.7065     6.0555
9.1829     8.6694     6.0756
9.2158     8.6369     6.0831
9.2762     8.6053     6.1745
9.3179     8.5872     6.2186
9.4222     8.6087     6.297
9.5015     8.6112     6.352
9.5601     8.6213     6.4189
9.6125     8.6419     6.4971
