NMNH       220086     lal2ms.xls
12.7166    16.1158    9.0231     IN
10.2272    12.9573    11.8788    BR
7.5275     9.4008     10.4908    GL
7.3763     9.2485     9.9481     NA
6.2791     7.9128     7.8559     RH
5.711      7.2196     6.2232     NS
5.5972     7.1097     5.6821     PR
5.1383     7.8598     5.8014     R_PR2
6.7598     8.8812     8.6533     R_PMS
5.546      11.4269    6.7504     R_ZMI
6.0121     10.3501    8.3719     R_ZMU
7.353      9.6246     9.6134     R_DA
6.6256     10.8698    10.4208    R_MTI
6.8383     11.0488    10.8805    R_MTS
6.0786     11.7042    9.2878     R_FMO
6.0787     12.2671    9.1314     R_FMT
8.161      15.3995    8.0567     R_PO
5.6587     12.7387    7.338      R_ZTS
6.3767     6.9481     5.5948     L_PR2
7.1183     8.584      8.4926     L_PMS
9.6242     8.2077     6.559      L_ZMI
8.615      8.3211     8.2323     L_ZMU
7.6979     9.3196     9.4977     L_DA
9.2283     8.9288     10.1534    L_MTI
9.302      9.0526     10.6753    L_MTS
9.9726     8.6018     9.0539     L_FMO
10.4726    8.7236     8.9004     L_FMT
12.9823    11.5896    7.9285     L_PO
10.9826    8.704      7.0563     L_ZTS
6.8061     7.1373     6.2716     O1
10.0889    8.0141     6.8555     O2
13.7382    12.2341    8.4322     O3
13.0643    15.5413    9.4045     O4







































































































































































7.5087     9.4318     10.5318    GLRH
7.452      9.3756     10.367
7.4058     9.3314     10.2357
7.3941     9.298      10.0963
7.3805     9.263      10.033
7.3566     9.2403     9.9475
7.3127     9.2021     9.8352
7.2793     9.1637     9.7117
7.2574     9.1162     9.6001
7.2322     9.088      9.5259
7.2047     9.0515     9.4338
7.1706     9.0284     9.342
7.1056     8.9736     9.194
7.091      8.9438     9.1094
7.054      8.8839     9.0322
7.0281     8.8571     8.9481
6.9882     8.791      8.8426
6.9613     8.7555     8.7809
6.9131     8.7244     8.7129
