AMNH       119760     laj2ms.xls
16.7474    18.1247    -9.9245    IN
14.646     14.3188    -13.0057   BR
12.1031    10.6004    -10.9044   GL
12.0611    10.5349    -10.3443   NA
11.4413    9.4839     -8.4862    RH
10.8793    8.7418     -7.0426    NS
10.682     8.483      -6.4807    PR
11.4568    8.2076     -6.4328    R_PR2
12.0221    9.9763     -9.0043    R_PMS
14.6048    9.8947     -7.0355    R_ZMI
13.5293    9.6535     -8.7187    R_ZMU
12.4424    10.6622    -9.9969    R_DA
13.6939    10.2276    -10.86     R_MTI
13.8111    10.3717    -11.3169   R_MTS
14.7728    9.8978     -9.863     R_FMO
15.3256    10.1977    -9.5752    R_FMT
17.4889    13.6432    -8.5251    R_PO
15.907     10.1554    -7.8721    R_ZTS
10.197     9.2699     -6.3511    L_PR2
11.6938    10.4399    -9.0492    L_PMS
10.1899    12.8401    -7.2012    L_ZMI
10.6618    11.5667    -8.8318    L_ZMU
12.0572    11.0384    -9.9477    L_DA
11.1017    11.8295    -10.9868   L_MTI
11.2061    12.0712    -11.3536   L_MTS
10.3849    12.8069    -9.8764    L_FMO
10.3614    13.3827    -9.7217    L_FMT
12.7327    16.6529    -8.6813    L_PO
10.0034    13.9698    -7.9777    L_ZTS
11.7229    8.0796     -6.0342    O1
14.4298    9.2135     -8.083     O2
18.2311    13.9869    -9.1124    O3
16.9778    17.1875    -11.2135   O4







































































































































































12.0978    10.6086    -10.8635   GLRH
12.0859    10.5892    -10.7466
12.0674    10.574     -10.6073
12.0494    10.5694    -10.4981
12.0421    10.553     -10.3138
12.0002    10.5347    -10.14
12.0088    10.4909    -9.9591
11.9861    10.459     -9.7907
11.9634    10.4182    -9.632
11.9303    10.3437    -9.4958
11.9036    10.2822    -9.3106
11.8869    10.27      -9.2997
11.8581    10.2197    -9.1974
11.8119    10.1629    -9.1077
11.7629    10.1122    -9.0092
11.679     10.0092    -8.8968
11.6069    9.8386     -8.7789
11.5527    9.7852     -8.7075
11.4989    9.7097     -8.6693
11.449     9.6313     -8.6233
11.4227    9.5361     -8.5534
11.4016    9.531      -8.474


















































































































































































11.4286    9.478      -8.4709    NOSE
11.5276    9.4318     -8.5267
11.5296    9.3782     -8.4559
11.5644    9.3051     -8.4017
11.5737    9.2582     -8.3391
11.6926    9.2976     -8.298
11.7478    9.3634     -8.3299
11.809     9.4172     -8.3139
11.8946    9.4066     -8.2335
11.8785    9.3714     -8.0467
11.8363    9.2797     -7.9076
11.7575    9.0947     -7.7683
11.6127    8.9546     -7.6489
11.422     8.8956     -7.4937
11.2744    8.7951     -7.3636
11.1339    8.7556     -7.2169
11.0207    8.7451     -7.129
10.9031    8.786      -7.0433
10.7985    8.8065     -7.0833
10.769     8.9566     -7.2281
10.734     9.0911     -7.3695
10.7629    9.2373     -7.4947
10.7894    9.3715     -7.6045
10.8231    9.5498     -7.7272
10.8667    9.7049     -7.8272
10.9584    9.8418     -7.9812
11.0602    9.8755     -8.1311
11.0261    9.8456     -7.9985
11.0934    9.8642     -8.116
11.1622    9.8335     -8.2083
11.1478    9.8203     -8.3101
11.1113    9.7237     -8.2774
11.1094    9.5805     -8.2881
11.1435    9.573      -8.3236
11.1915    9.6088     -8.3875
11.2789    9.6173     -8.4405
11.3755    9.5359     -8.4623
11.4483    9.491      -8.4761


































































































































































10.899     8.7653     -7.0485    NASP-PR
10.8301    8.6535     -6.9484
10.7514    8.5337     -6.8321
10.665     8.4732     -6.67
10.6594    8.4622     -6.5614
10.6594    8.4919     -6.4552


































































































































































































12.0599    9.9477     -8.9557    R-PM/MAX
12.1299    9.8548     -8.7905
12.1393    9.785      -8.6639
12.1739    9.658      -8.4685
12.1887    9.537      -8.3192
12.1851    9.3733     -8.1501
12.1731    9.2074     -7.9896
12.0778    9.0553     -7.8158
12.0507    8.9121     -7.6552
12.0085    8.7988     -7.4746
12.0045    8.7452     -7.3749
11.9934    8.6086     -7.235
11.9368    8.5086     -7.1069
11.8579    8.4424     -7.0266


























































































































































































11.6578    10.4786    -9.0241    L-PM/MAX
11.5493    10.453     -8.8658
11.4727    10.4323    -8.7481
11.3793    10.3941    -8.6096
11.2535    10.356     -8.4162
11.1406    10.3469    -8.2679
10.9924    10.2728    -8.1296
10.8532    10.1905    -7.9662
10.7419    10.0361    -7.8377
10.6412    9.9545     -7.6569
10.5579    9.8816     -7.4766
10.4824    9.8706     -7.3542
10.3641    9.8554     -7.1377
10.2299    9.8208     -6.9429
10.1288    9.8821     -6.7746
10.0736    9.9521     -6.6006
10.1137    10.0304    -6.4417
10.1598    10.0576    -6.3722






















































































































































































13.4195    9.7364     -6.3063    ROSTRUM
13.4506    9.6829     -6.4978
13.3897    9.6402     -6.7157
13.356     9.5959     -6.9183
13.2819    9.5775     -7.1677
13.1734    9.5964     -7.2959
13.1047    9.6056     -7.4821
13.074     9.6009     -7.6414
13.0327    9.6311     -7.8134
12.9607    9.5913     -7.9606
12.9094    9.5733     -8.0975
12.7939    9.6217     -8.2768
12.647     9.72       -8.3759
12.5398    9.8006     -8.4354
12.3632    9.9001     -8.5526
12.262     9.9941     -8.6532
12.1813    10.0472    -8.7575
12.0902    10.0453    -8.8965
11.97      10.0828    -9.0426
11.8773    10.1364    -9.1066
11.7597    10.1852    -9.1428
11.6712    10.2889    -9.0945
11.5463    10.392     -8.9917
11.4696    10.4943    -8.8488
11.439     10.5243    -8.7264
11.2979    10.6496    -8.5489
11.1663    10.7259    -8.4687
11.0229    10.8435    -8.3872
10.8393    10.9932    -8.2538
10.7551    11.0753    -8.0869
10.7235    11.1399    -7.8495
10.7154    11.2122    -7.669
10.6941    11.1619    -7.6469
10.6783    11.2596    -7.4083
10.6105    11.3312    -7.2381
10.5399    11.4181    -6.9991
10.5292    11.4637    -6.7856
10.559     11.5078    -6.5972
10.577     11.5586    -6.4611
10.635     11.5645    -6.3497
































































































































































15.1472    10.1514    -9.6434    SUPORB
15.104     10.1328    -9.784
15.0876    10.1781    -9.9685
15.0677    10.2055    -10.1022
15.0159    10.2445    -10.2969
14.9338    10.2806    -10.4966
14.7871    10.3219    -10.6794
14.6735    10.3573    -10.821
14.486     10.4019    -10.9799
14.3734    10.4375    -11.0642
14.1603    10.4396    -11.1823
13.9082    10.4926    -11.3404
13.7304    10.5058    -11.4021
13.3956    10.5763    -11.4947
13.1839    10.6275    -11.5174
13.0249    10.6246    -11.5032
12.7414    10.6612    -11.4695
12.5824    10.6854    -11.4108
12.3128    10.761     -11.3436
12.0445    10.9859    -11.3554
11.8033    11.2292    -11.4241
11.6968    11.3887    -11.4909
11.5194    11.6143    -11.5149
11.404     11.7484    -11.5112
11.3452    11.8247    -11.48
11.2814    11.9661    -11.4517
11.1092    12.2024    -11.3746
10.9497    12.5113    -11.2677
10.8264    12.7771    -11.1098
10.7062    12.9723    -10.9643
