NMNH       220093     ctt26ms.xls
16.8555    16.693     9.3213     IN
14.4478    14.49      11.9341    BR
11.3699    11.372     10.2393    GL
11.2584    11.272     9.9081     NA
10.0418    10.0818    8.154      RH
9.2651     9.3725     6.3567     NS
9.1531     9.233      5.6694     PR
8.7605     9.8434     5.736      R_PR2
10.6009    10.9128    8.6398     R_PMS
9.6958     13.3796    6.5377     R_ZMI
10.0874    12.3123    8.012      R_ZMU
11.0975    11.5879    8.9421     R_DA
10.4843    12.8143    10.0016    R_MTI
10.6668    12.9663    10.2588    R_MTS
9.9183     13.4435    8.8973     R_FMO
9.9951     13.9428    9.0068     R_FMT
12.9666    16.9899    7.9169     R_PO
9.8298     14.576     7.2035     R_ZTS
9.7727     8.8536     5.6821     L_PR2
10.8793    10.5571    8.5689     L_PMS
13.3454    9.6578     6.4353     L_ZMI
12.2662    10.0433    8.0205     L_ZMU
11.6217    11.1082    8.9838     L_DA
12.7846    10.4517    10.1077    L_MTI
13.0384    10.6744    10.3339    L_MTS
13.3991    9.8999     8.9429     L_FMO
13.9049    9.9292     9.0752     L_FMT
16.8178    12.7766    7.8921     L_PO
14.694     9.801      7.1759     L_ZTS
10.1341    9.024      6.4971     O1
13.2801    9.493      7.7236     O2
17.4739    13.1679    8.6699     O3
17.3163    15.6966    10.1997    O4







































































































































































11.2692    11.3194    9.9696     GLRH
11.2302    11.2533    9.8541
11.1699    11.1946    9.6946
11.1108    11.1532    9.5665
11.0532    11.091     9.4386
11.0255    11.0476    9.3325
10.9448    10.967     9.1479
10.8558    10.8865    8.9883
10.7963    10.8117    8.9112
10.7414    10.7548    8.7934
10.6823    10.709     8.7327
10.5751    10.6285    8.6379
