NMNH       477291     cta1ms.xls
15.487     15.9255    12.9278    IN
11.8282    12.7354    15.2808    BR
8.5887     9.5427     12.2131    GL
8.5764     9.5285     11.9732    NA
7.7591     8.8525     9.106      RH
7.352      8.3963     6.5605     NS
7.2393     8.3247     5.5636     PR
6.8736     8.7869     5.6238     R_PR2
8.0775     9.5513     10.0966    R_PMS
7.4708     13.0004    8.2654     R_ZMI
7.8034     11.2159    10.1179    R_ZMU
8.6897     10.2258    11.1088    R_DA
7.4558     11.401     12.1426    R_MTI
7.7109     11.5314    12.5858    R_MTS
7.2654     12.4757    10.9485    R_FMO
7.276      13.1881    11.2319    R_FMT
10.9931    16.7195    10.8933    R_PO
7.7147     14.5834    9.161      R_ZTS
7.6631     7.9753     5.6095     L_PR2
8.4798     9.0438     10.0389    L_PMS
11.8426    8.3906     8.1475     L_ZMI
10.1363    8.6882     10.1504    L_ZMU
9.1432     9.5124     11.3358    L_DA
10.4302    8.3617     12.1371    L_MTI
10.564     8.4823     12.5674    L_MTS
11.4434    8.0946     11.104     L_FMO
12.2151    8.0986     11.1912    L_FMT
15.8777    11.5783    10.8333    L_PO
13.4044    8.3503     9.0908     L_ZTS
8.7226     7.7309     6.7787     O1
12.8579    8.0707     8.4602     O2
16.2542    11.8107    11.6158    O3
15.7577    15.1216    13.4049    O4







































































































































































8.5981     9.5413     12.175     GLRH
8.578      9.547      12.0929
8.5572     9.5323     11.9834
8.5114     9.5082     11.8248
8.5046     9.4828     11.692
8.4663     9.4905     11.559
8.4743     9.4782     11.4286
8.4666     9.4744     11.179
8.4535     9.466      11.1086
8.4312     9.4536     10.9954
8.4055     9.4306     10.8086
8.3727     9.4149     10.7002
8.3397     9.3983     10.5922
8.305      9.3302     10.4233
8.2393     9.3004     10.2924
8.2234     9.2707     10.1923
8.191      9.2098     10.0983
8.1353     9.1878     10.008
8.0702     9.1319     9.8908
8.0094     9.0866     9.742
7.984      9.0524     9.6956
7.9701     9.0154     9.639
7.9311     9.0017     9.5543
7.8972     8.959      9.45
7.8507     8.948      9.3987
7.8287     8.917      9.3253
7.8024     8.8996     9.2703
7.7964     8.876      9.2115
7.7754     8.8661     9.175
7.7574     8.8638     9.1171










































































































































































7.7632     8.8521     9.0773     NOSE
7.7314     8.9396     9.0492
7.6866     8.991      9.0691
7.5736     9.0263     9.0824
7.4745     9.0972     8.9539
7.4293     9.1088     8.9008
7.4011     9.1036     8.8107
7.4089     9.1102     8.7649
7.4043     9.1432     8.6916
7.3823     9.193      8.7869
7.4005     9.2917     8.8163
7.4068     9.277      8.7041
7.3429     9.2681     8.5588
7.3066     9.2965     8.459
7.2494     9.3294     8.2736
7.2096     9.33       8.2038
7.1824     9.3484     8.0598
7.1377     9.3454     7.9702
7.1097     9.3282     7.8058
7.077      9.3099     7.6959
7.0838     9.2651     7.4528
7.0768     9.2104     7.3579
7.0819     9.1406     7.1651
7.1011     9.0795     7.0873
7.0798     8.9761     6.9665
7.0977     8.896      6.9231
7.0778     8.7837     6.8452
7.1057     8.7004     6.7916
7.1459     8.6182     6.7642
7.2439     8.5456     6.7112
7.3029     8.5072     6.654
7.3915     8.4519     6.6343
7.4568     8.3773     6.6393
7.4966     8.318      6.6956
7.562      8.2564     6.7033
7.6287     8.1799     6.7674
7.7114     8.107      6.8131
7.8056     8.0718     6.9415
7.8459     8.0411     6.9748
7.9538     8.0369     7.0275
8.0041     8.0363     7.0898
8.0802     8.0354     7.1987
8.1275     8.0296     7.2722
8.1792     8.0436     7.3665
8.2024     8.0532     7.4251
8.2256     8.0751     7.5944
8.238      8.0999     7.6957
8.2614     8.1094     7.7844
8.2802     8.1147     7.8922
8.3178     8.1332     7.9862
8.3018     8.18       8.0674
8.3059     8.2124     8.076
8.2631     8.2606     8.1656
8.2336     8.2796     8.2121
8.211      8.3151     8.2853
8.1647     8.3387     8.366
8.185      8.4086     8.4596
8.1854     8.3849     8.4725
8.1726     8.4051     8.5972
8.1707     8.4244     8.6419
8.1623     8.4404     8.6748
8.1601     8.4363     8.6854
8.1596     8.4421     8.729
8.1149     8.4609     8.8115
8.0794     8.4284     8.757
8.0308     8.4224     8.7465
8.0028     8.4455     8.7822
7.9904     8.4527     8.8366
7.9561     8.4985     8.9235
7.956      8.5282     8.984
7.9652     8.57       9.073
7.9812     8.6145     9.089
7.9052     8.6587     9.1911
7.873      8.7311     9.1698
7.8243     8.7792     9.084
7.8076     8.8021     9.0617
7.7911     8.8508     9.018



























































































































7.3597     8.4084     6.5554     NASP-PR
7.2846     8.3727     6.4657
7.2665     8.3475     6.3582
7.2429     8.3182     6.272
7.2059     8.2857     6.1675
7.2115     8.2578     6.0677
7.1971     8.2589     5.9365
7.1831     8.2601     5.8765
7.2525     8.2599     5.7845
7.207      8.2891     5.7157
7.1943     8.2918     5.6858
7.2053     8.2875     5.6045
7.2322     8.3105     5.5578
7.2307     8.3129     5.5163
7.2738     8.3468     5.4353

























































































































































































8.0662     9.5468     10.0692    R-PM/MAX
8.0061     9.5455     9.96
7.9166     9.5686     9.8167
7.8503     9.5421     9.7202
7.7938     9.5057     9.5933
7.7182     9.4993     9.4741
7.606      9.5094     9.2642
7.5495     9.5239     9.1111
7.4682     9.5431     8.9493
7.4375     9.5459     8.8485
7.3797     9.5657     8.7561
7.3033     9.5972     8.6341
7.2097     9.5916     8.4795
7.1271     9.5813     8.3149
7.0921     9.5655     8.1995
7.0595     9.553      8.074
7.0027     9.5423     7.9001
6.9806     9.5409     7.7337
6.9426     9.5079     7.6034
6.8909     9.5082     7.4305
6.8392     9.4898     7.2599
6.8159     9.5096     7.1708
6.7908     9.4913     7.0385
6.7698     9.4959     6.9323
6.7488     9.5191     6.8338
6.7113     9.5724     6.7128
6.6507     9.6344     6.6029
6.6228     9.6173     6.5404
6.5951     9.6363     6.4926
6.567      9.653      6.416
6.5659     9.6686     6.2995
6.5636     9.6673     6.2437
6.5618     9.6814     6.1755
6.5736     9.6776     6.124
6.6413     9.6204     5.9945





































































































































































8.5111     9.0412     10.0357    L-PM/MAX
8.5098     8.9686     9.9502
8.4696     8.938      9.8339
8.4703     8.8608     9.7249
8.4323     8.814      9.625
8.4362     8.7428     9.4963
8.4106     8.6499     9.3385
8.4239     8.5863     9.2029
8.433      8.5164     9.0391
8.4288     8.4653     8.8945
8.4507     8.4106     8.7688
8.4759     8.3426     8.6113
8.501      8.2658     8.4787
8.4645     8.1892     8.3712
8.4757     8.1276     8.2332
8.4691     8.0752     8.1447
8.4703     8.0083     7.9516
8.4769     7.9864     7.7809
8.4802     7.9561     7.6406
8.4567     7.9277     7.5212
8.4437     7.8885     7.3648
8.4362     7.8481     7.2707
8.4402     7.8316     7.115
8.4329     7.793      7.0073
8.4293     7.787      6.88
8.4176     7.7672     6.7929
8.465      7.7414     6.7174
8.4987     7.7337     6.6355
8.5213     7.6836     6.585
8.517      7.6495     6.5099
8.5707     7.605      6.4184
8.5471     7.5961     6.3589
8.5087     7.6143     6.2673
8.516      7.6092     6.1501
8.5071     7.6072     6.1157
8.5767     7.6378     5.9789
8.6177     7.7276     5.8188



































































































































































8.0662     12.1281    6.8873     ROSTRUM
7.9789     12.1029    7.0116
7.9589     12.0437    7.1532
7.9482     11.9817    7.2502
7.9554     11.8822    7.3696
7.9727     11.822     7.5099
7.9848     11.7263    7.6027
7.9758     11.6771    7.6659
7.9823     11.6018    7.8062
7.9641     11.5346    7.9054
7.945      11.4793    7.973
7.9254     11.4399    8.0945
7.9044     11.3669    8.2346
7.8804     11.3178    8.3015
7.8363     11.309     8.4289
7.822      11.2852    8.5245
7.72       11.2499    8.6933
7.678      11.2068    8.8196
7.634      11.2171    8.9202
7.645      11.1576    9.0006
7.6116     11.0999    9.0663
7.5841     10.9873    9.2115
7.6489     10.7909    9.2742
7.6835     10.7047    9.3703
7.6584     10.6679    9.416
7.6863     10.5332    9.5635
7.8179     10.3822    9.5924
7.8569     10.307     9.6583
7.8963     10.2047    9.734
7.9211     10.1402    9.7754
7.9851     10.0479    9.8694
8.0365     9.939      9.9675
8.0823     9.8463     10.1047
8.0753     9.7622     10.1546
8.097      9.6667     10.2324
8.1345     9.6063     10.2876
8.1646     9.5382     10.3341
8.1756     9.4903     10.3047
8.2261     9.3715     10.3443
8.2605     9.3314     10.3868
8.3069     9.2723     10.3595
8.3711     9.2458     10.368
8.3916     9.2276     10.3577
8.465      9.1722     10.3272
8.5584     9.1462     10.2839
8.6474     9.1014     10.2097
8.7532     9.0723     10.1311
8.8646     9.0194     10.0183
8.987      8.9961     9.8732
9.0421     8.9532     9.8488
9.1567     8.8884     9.748
9.2474     8.8436     9.6748
9.3751     8.7718     9.5962
