NMNH       220375     lal3ms.xls
11.5895    17.0523    9.0877     IN
9.367      13.8386    11.9135    BR
6.8907     10.4567    10.2869    GL
6.8257     10.3029    9.7801     NA
6.03       9.1772     7.9371     RH
5.5169     8.5922     6.2516     NS
5.3151     8.4352     5.5956     PR
4.8734     9.0789     5.7231     R_PR2
6.3968     9.9953     8.7028     R_PMS
5.0493     12.0979    6.6522     R_ZMI
5.4086     11.4054    8.1938     R_ZMU
6.73       10.6502    9.2686     R_DA
5.9657     11.7459    10.1636    R_MTI
6.1348     11.9428    10.6027    R_MTS
5.3099     12.4542    9.0804     R_FMO
5.3845     12.9987    9.0997     R_FMT
7.2545     16.3892    7.8704     R_PO
4.9322     13.4948    7.3293     R_ZTS
6.0353     8.2059     5.541      L_PR2
6.7371     9.7621     8.5852     L_PMS
8.8609     9.241      6.6781     L_ZMI
8.1078     9.4573     8.1908     L_ZMU
7.1861     10.3554    9.2623     L_DA
8.5376     9.9398     10.1574    L_MTI
8.7015     10.1698    10.526     L_MTS
9.3753     9.604      8.9888     L_FMO
9.8734     9.8525     9.009      L_FMT
12.2095    12.752     7.6462     L_PO
10.1948    9.6062     7.1514     L_ZTS
6.3305     8.2959     6.1479     O1
9.3448     8.9751     6.914      O2
12.8638    13.4496    7.9959     O3
11.8081    16.599     9.8041     O4







































































































































































6.8895     10.4269    10.2037    GLRH
6.8633     10.397     10.0514
6.8457     10.3391    9.8976
6.8104     10.2996    9.7842
6.7741     10.2502    9.6048
6.7361     10.2047    9.463
6.6942     10.1498    9.3031
6.679      10.1072    9.2025
6.616      10.05      9.043
6.5903     10.0047    8.9374
6.5685     9.9286     8.8175
6.5089     9.8704     8.6948
6.4593     9.8041     8.5997
6.4344     9.7527     8.5231
6.3896     9.6763     8.4161
6.3695     9.6573     8.3908
6.326      9.5797     8.3241
6.2635     9.5361     8.2508
6.2513     9.4693     8.2205
6.1934     9.3985     8.1622
6.1693     9.3412     8.1115
6.1189     9.2925     8.0787
6.0741     9.2447     8.0283
6.0665     9.2214     8.0037
6.0566     9.2028     7.9846
6.0622     9.1783     7.8829














































































































































































6.034      9.1878     7.9345     NOSE
5.9701     9.2553     7.9232
5.9122     9.3175     7.9568
5.8586     9.3538     7.9087
5.7975     9.316      7.8616
5.7489     9.2965     7.7667
5.7332     9.3548     7.668
5.7307     9.415      7.6909
5.7443     9.4807     7.696
5.7169     9.5186     7.5462
5.644      9.5468     7.3576
5.58       9.5071     7.2657
5.5569     9.4916     7.185
5.4822     9.4008     7.0716
5.4566     9.3495     6.9978
5.4646     9.2452     6.9078
5.4566     9.1843     6.8329
5.4743     9.0801     6.7618
5.4826     9.0045     6.6675
5.4832     8.9426     6.5702
5.4897     8.8902     6.5237
5.495      8.8063     6.4314
5.5011     8.7503     6.3971
5.5002     8.6791     6.325
5.4923     8.6415     6.3004
5.5107     8.6116     6.2713
5.5933     8.514      6.3269
5.684      8.5029     6.3913
5.7858     8.5175     6.4909
5.8396     8.5489     6.5416
5.8578     8.5687     6.5561
5.9099     8.5747     6.6122
5.9572     8.5915     6.6469
6.0013     8.6102     6.711
6.0414     8.611      6.738
6.0977     8.6363     6.7789
6.1697     8.6674     6.828
6.2309     8.6869     6.8708
6.2827     8.7114     6.9358
6.3295     8.7507     6.9875
6.3728     8.782      7.0615
6.4006     8.8382     7.1327
6.4136     8.8903     7.1548
6.429      8.9391     7.2198
6.4298     8.9622     7.2788
6.4468     9.0144     7.3333
6.4402     9.0411     7.4241
6.4332     9.058      7.4669
6.434      9.048      7.5639
6.4334     9.0453     7.6451
6.3881     9.0568     7.6744
6.3246     9.0087     7.6403
6.2411     8.9782     7.6905
6.1992     9.0014     7.7365
6.1752     9.043      7.8636
6.2029     9.1079     7.9427
6.1357     9.136      7.9499
6.0824     9.1493     7.9152
6.0475     9.1793     7.8966













































































































































5.5006     8.5779     6.2565     NASP-PR
5.4511     8.4965     6.1644
5.3992     8.4684     6.0845
5.3689     8.4105     5.9647
5.3319     8.4069     5.9397
5.3203     8.4109     5.9094
5.3118     8.3929     5.8731
5.3195     8.3942     5.8097
5.302      8.3893     5.711
5.3124     8.4072     5.6178






























































































































































































6.3523     10.0161    8.6308     R-PM/MAX
6.2696     10.0442    8.5398
6.2155     10.0178    8.4467
6.1504     9.9966     8.3442
6.0793     9.9863     8.2307
6.0195     9.9504     8.1601
5.9743     9.9411     8.0933
5.895      9.9185     8.0047
5.815      9.875      7.865
5.7679     9.8596     7.7865
5.6977     9.8491     7.6812
5.6467     9.8683     7.5932
5.5884     9.8803     7.4638
5.497      9.8582     7.3935
5.4603     9.8373     7.2771
5.3901     9.8338     7.1739
5.3139     9.8187     7.0131
5.2767     9.8239     6.9515
5.2427     9.7947     6.8537
5.1705     9.7875     6.7173
5.1438     9.7889     6.6485
5.0995     9.7649     6.5455
5.0594     9.7897     6.4831
5.0028     9.7639     6.3387
4.9109     9.738      6.1806
4.902      9.723      6.0821
4.8804     9.699      6.038
4.8854     9.7509     5.9823
4.9015     9.7662     5.8719
4.9256     9.7837     5.7946










































































































































































6.733      9.7703     8.5905     L-PM/MAX
6.7461     9.6934     8.4779
6.7478     9.6392     8.3983
6.7594     9.5805     8.2796
6.7597     9.5127     8.1925
6.752      9.4712     8.1309
6.7761     9.4083     8.0316
6.7501     9.3571     7.9777
6.7379     9.2871     7.9013
6.7528     9.2168     7.7498
6.7526     9.1386     7.6843
6.7865     9.0687     7.5465
6.7914     8.9898     7.4271
6.7921     8.9304     7.3095
6.7912     8.8506     7.1663
6.7809     8.8258     7.078
6.7838     8.768      6.9996
6.8038     8.7114     6.8858
6.8052     8.6417     6.7511
