NMNH       220088     ctt23ms.xls
7.2469     8.6342     6.6112
7.1753     8.5894     6.5283
7.0644     8.566      6.4268
6.9772     8.5435     6.3018
6.9075     8.5328     6.1763
6.849      8.5722     6.0441
6.8254     8.5323     5.9492
6.8298     8.585      5.9172
6.8257     8.6164     5.8364
6.8248     8.7039     5.7844




































































































































































9.3971     8.7764     9.0202     L-PM/MAX
9.3334     8.7029     8.9082
9.2726     8.6409     8.8206
9.2489     8.569      8.7225
9.2129     8.4717     8.6086
9.1434     8.3916     8.5408
9.1287     8.2805     8.3891
9.0907     8.1896     8.2711
9.0733     8.1328     8.1616
9.0389     8.0748     8.0887
9.0057     7.9726     7.9386
8.9763     7.8855     7.851
8.9439     7.8125     7.7468
8.9113     7.7169     7.6716
8.8917     7.6421     7.5578
8.8777     7.5669     7.4094
8.8605     7.5088     7.3179
8.8625     7.4488     7.2304
8.8416     7.3993     7.1333
8.7945     7.3497     7.0104
8.7873     7.318      6.9152
8.7577     7.2559     6.7796
8.7392     7.1863     6.6924
8.7141     7.1506     6.6054
8.6921     7.0455     6.4743
8.667      6.9866     6.4071
8.6482     6.924      6.3065
8.6188     6.845      6.2067
8.6011     6.8048     6.1446
8.5916     6.769      6.0865
8.596      6.7031     5.9819
8.6655     6.6332     5.9166
8.7198     6.6465     5.7615
8.739      6.6534     5.6415






































































































































































8.5071     11.1995    5.4829     ROSTRUM
8.4488     11.1905    5.6238
8.4254     11.2312    5.8211
8.404      11.234     5.9057
8.3802     11.2265    6.0242
8.3738     11.2456    6.1262
8.3376     11.1892    6.1854
8.3559     11.1838    6.2434
8.424      11.0909    6.4459
8.4742     11.0065    6.5217
8.4982     10.938     6.5839
8.499      10.852     6.667
8.5417     10.7846    6.7924
8.5445     10.7184    6.876
8.5464     10.6795    6.9892
8.5582     10.6517    7.087
8.5462     10.5896    7.1683
8.5417     10.5784    7.2439
8.5163     10.5571    7.2908
8.492      10.5668    7.3708
8.3723     10.5843    7.4859
8.3034     10.5949    7.5755
8.2863     10.5849    7.7013
8.3193     10.4638    7.8147
8.4043     10.3461    7.9371
8.3769     10.3089    8.0558
8.3753     10.2733    8.196
8.4449     10.1612    8.284
8.5338     10.0939    8.3253
8.6273     9.9849     8.3817
8.6603     9.9722     8.4548
8.7127     9.8985     8.4873
8.7808     9.8163     8.5717
8.8529     9.7521     8.6327
8.9111     9.6695     8.676
8.9595     9.6351     8.7392
9.0178     9.566      8.8078
9.074      9.5275     8.8544
9.1046     9.4692     8.9178
9.1253     9.4341     8.9972
9.1488     9.3735     9.0722
9.1608     9.3624     9.1133
9.1777     9.3035     9.1753
9.1834     9.2614     9.2335
9.1971     9.2326     9.2733
9.2312     9.1273     9.3845
9.3018     8.9645     9.3848
9.3898     8.9326     9.3215
9.4963     8.91       9.2571
9.5851     8.8598     9.1206
9.6503     8.8379     8.9659
9.6988     8.7755     8.8394
9.7702     8.7273     8.7811
9.8595     8.635      8.6718
9.9934     8.5102     8.5264
10.0014    8.482      8.5087
10.0745    8.413      8.484
10.1701    8.3198     8.42
10.2585    8.2208     8.3762
10.3047    8.1472     8.2936
10.4183    8.0613     8.2591
10.5105    7.9567     8.1264
10.5721    7.8654     8.026
10.6496    7.8182     8.0126
10.6669    7.8207     7.9293
10.6711    7.8246     7.8559
10.7057    7.9793     7.6709
10.801     7.9605     7.5692
10.8179    7.9815     7.5459
10.7898    8.0177     7.3932
10.7513    8.104      7.3098
10.7209    8.1795     7.2372
10.7084    8.2035     7.2073
10.9033    8.1902     6.8728
10.927     8.1671     6.7987
11.0218    8.1425     6.6842
11.1024    8.0807     6.5269
11.2394    8.0272     6.4018
11.3137    7.9597     6.2564
11.3703    7.9555     6.1269
11.3788    7.9638     6.0098
11.4238    7.9822     5.9072
11.4003    8.0111     5.7798
11.4052    8.058      5.6662
11.3749    8.0969     5.5582
11.3578    8.1461     5.4486
11.3307    8.2366     5.3491

















































































































8.4326     12.6969    9.5743     SUPORB
8.48       12.7341    9.6953
8.5078     12.6488    9.794
8.5211     12.6127    9.9799
8.5795     12.5176    10.192
8.6228     12.4272    10.2845
8.6701     12.3345    10.3784
8.7323     12.2441    10.4924
8.7684     12.2004    10.5306
8.8393     12.1041    10.6139
8.8724     12.0778    10.6527
9.1046     11.7377    10.8493
9.2778     11.536     10.9454
9.3004     11.4991    10.9485
9.3573     11.4228    11.0208
9.4311     11.3005    11.0321
9.4246     11.2188    11.0239
9.5205     11.071     11.0587
9.6115     10.9157    11.0974
9.6949     10.734     11.0976
9.7463     10.6166    11.0924
9.8133     10.4984    11.1176
9.8629     10.3722    11.071
9.9108     10.2786    11.0652
9.938      10.1751    11.0448
10.014     10.0613    11.0132
10.0165    9.9785     10.9786
10.0219    9.8818     10.94
10.05      9.8304     10.928
10.0559    9.752      10.9138
10.0918    9.692      10.8942
10.2281    9.6551     10.9279
10.3711    9.5727     10.9562
10.4769    9.4933     10.9878
10.6407    9.3818     11.0104
10.7665    9.3129     11.0391
10.916     9.2373     11.0353
11.016     9.1685     11.0476
11.1164    9.1416     11.0533
11.2668    9.0687     11.0337
11.4005    9.0104     10.9943
11.546     8.8668     10.9501
11.6445    8.8349     10.9177
11.7611    8.769      10.8712
11.715     8.7888     10.8865
12.0123    8.6425     10.7896
12.1445    8.5354     10.7174
12.3085    8.4124     10.6083
12.3701    8.3309     10.5592
12.4934    8.2203     10.3928
12.6654    8.1315     10.2872
12.7116    8.0871     10.1522
12.7889    8.0334     10.0152
12.7495    7.9914     9.9442
12.84      7.9638     9.8016
12.89      7.9276     9.6503
12.8306    7.8702     9.5906
12.8273    7.8377     9.5064














































































































































8.4821     10.909     8.4388     RORBIT
8.3589     11.0208    8.4075
8.3301     11.144     8.3567
8.3128     11.2808    8.3653
8.2985     11.3867    8.3873
8.3449     11.4972    8.4564
8.3544     11.5976    8.5044
8.3413     11.6875    8.5933
8.3584     11.7454    8.6566
8.3704     11.7958    8.7032
8.3796     11.8431    8.8059
8.373      11.8892    8.8746
8.431      11.9449    8.928
8.4554     11.9589    9.0074
8.3953     11.9915    9.1759
8.3869     12.0185    9.2756
8.4002     12.0172    9.3488
8.3955     12.0481    9.4414
8.4809     12.0946    9.6076
8.5192     12.0597    9.7486
8.5507     12.0498    9.8276
8.5699     12.0081    9.8934
8.5544     11.9568    10.0222
8.5959     11.9262    10.0839
8.5621     11.8832    10.1299
8.5349     11.8666    10.2178
8.546      11.8476    10.2943
8.5705     11.81      10.3592
8.6246     11.7238    10.3739
8.6437     11.6807    10.4184
8.7481     11.6118    10.4309
8.8015     11.5613    10.4519
8.8146     11.4936    10.4783
8.8242     11.4235    10.5382
8.8466     11.384     10.5417
8.8868     11.3053    10.5644
8.8944     11.2465    10.5895
8.9495     11.1826    10.5931
8.9483     11.1159    10.6321
8.973      11.0796    10.626
9.0263     11.0167    10.6599
9.058      10.9879    10.6402
9.0664     10.9608    10.6518
9.1032     10.908     10.6957
9.1855     10.7992    10.7005
9.2273     10.7236    10.7453
9.2759     10.6712    10.7468
9.3558     10.6053    10.707
9.417      10.5446    10.6565
9.5174     10.4501    10.6824
9.5994     10.3829    10.6775
9.6503     10.3099    10.6857
9.6889     10.2281    10.6421
9.7475     10.1341    10.5483
9.7668     10.0921    10.386
9.7621     10.0636    10.3694
9.7724     10.0494    10.2635
9.7441     10.0071    10.1302
9.7678     9.9967     10.0085
9.7635     9.9838     9.875
9.7665     9.9659     9.7583
9.7482     9.9622     9.598
9.763      10.0004    9.5045









































































































































11.1611    7.9641     8.3716     LORBIT
11.266     7.8758     8.3674
11.4094    7.8202     8.4164
11.5249    7.7817     8.4579
11.5945    7.775      8.4761
11.6731    7.7875     8.5289
11.7474    7.7935     8.5626
11.8296    7.7605     8.632
11.947     7.7518     8.7029
11.9671    7.7662     8.7476
12.0284    7.7894     8.8436
12.0721    7.8032     8.9235
12.1285    7.8167     9.0325
12.1654    7.8362     9.0977
12.2001    7.8293     9.1742
12.224     7.8498     9.2397
12.2245    7.8744     9.3155
12.2328    7.9138     9.4408
12.2604    7.9457     9.5513
12.2516    7.9758     9.6002
12.2397    7.9995     9.694
12.1792    8.0272     9.8842
12.1231    8.0326     10.023
12.0312    8.1024     10.1664
11.988     8.1284     10.2427
11.8817    8.1671     10.3529
11.7976    8.2199     10.4262
11.7033    8.2879     10.5332
11.5994    8.3419     10.5581
11.5116    8.3841     10.6236
11.4176    8.456      10.6049
11.3519    8.4981     10.6174
11.2985    8.5219     10.6209
11.2185    8.5972     10.5815
11.1596    8.6519     10.5928
11.1069    8.678      10.5954
11.0666    8.7278     10.604
11.0045    8.8004     10.614
10.9592    8.8368     10.6777
10.7643    9.0437     10.7568
10.6637    9.1183     10.7952
10.6082    9.1651     10.7352
10.5468    9.2386     10.7161
10.4818    9.2931     10.6467
10.428     9.3234     10.6096
10.4134    9.4674     10.3186
10.415     9.47       10.1906
10.3841    9.4762     10.0769
10.3465    9.4394     9.9634
10.2985    9.4367     9.8346
10.2701    9.4332     9.7229
10.2812    9.4424     9.6397
10.2647    9.4163     9.5509
10.2632    9.3993     9.4763
10.1959    9.3275     9.4083

















































































































































8.5358     12.6938    9.8283     RTEMFOS
8.4921     12.7116    9.7533
8.4474     12.7407    9.5977
8.4069     12.7321    9.4638
