AMNH       189378     ca17ms.xls
9.165      8.6458     -5.2427
9.1524     8.6155     -5.1607
9.1234     8.5578     -5.0146
9.1345     8.5335     -4.9144
9.1803     8.4886     -4.8344
9.1819     8.4598     -4.7715
9.2437     8.4139     -4.6982
9.2653     8.3818     -4.5924
9.2241     8.3613     -4.5084
9.1942     8.3647     -4.4301
9.1488     8.4251     -4.3095












































































































































































9.1338     10.313     -7.3434    L-PM/MAX
9.0479     10.3121    -7.2399
8.9816     10.2744    -7.2378
8.9037     10.2856    -7.1028
8.8336     10.28      -7.01
8.7796     10.2846    -6.9049
8.718      10.2987    -6.7903
8.6764     10.3082    -6.6853
8.6206     10.3143    -6.5828
8.5699     10.3545    -6.4875
8.474      10.3367    -6.3734
8.4154     10.3459    -6.2709
8.3271     10.3094    -6.1501
8.2734     10.3161    -6.0143
8.1987     10.2937    -5.8815
8.1358     10.2966    -5.7173
8.0618     10.2788    -5.578
8.0091     10.2553    -5.4479
7.9174     10.2125    -5.304
7.8657     10.2053    -5.1659
7.8016     10.1896    -5.0107
7.7399     10.2215    -4.8812
7.7113     10.2608    -4.7825
7.6925     10.2978    -4.7095
7.661      10.321     -4.6053
7.6507     10.3078    -4.5564
7.7077     10.3234    -4.3678













































































































































































11.0567    9.2444     -4.2139    ROSTRUM
11.0669    9.1652     -4.3321
11.0462    9.1031     -4.4988
11.0761    9.0831     -4.6604
11.0916    9.0795     -4.7905
11.057     9.0962     -4.9173
11.0312    9.1187     -5.0298
11.0222    9.134      -5.1569
10.9864    9.1658     -5.2502
10.9618    9.1937     -5.3435
10.9348    9.2196     -5.4176
10.9063    9.2406     -5.5109
10.8621    9.2552     -5.626
10.8445    9.2719     -5.7194
10.8121    9.3348     -5.8546
10.7844    9.3397     -5.9429
10.7574    9.334      -6.0462
10.7229    9.3294     -6.2118
10.6949    9.3429     -6.3401
10.6706    9.3724     -6.4033
10.6224    9.4005     -6.4574
10.5843    9.435      -6.5433
10.5373    9.4776     -6.6569
10.4975    9.5127     -6.7516
10.4565    9.5501     -6.7836
10.3648    9.6206     -6.937
10.3327    9.6649     -6.9927
10.266     9.7121     -7.0474
10.2292    9.7805     -7.1427
10.1654    9.8173     -7.1736
10.0939    9.8873     -7.2541
10.0471    9.9265     -7.3095
9.9819     9.9661     -7.4072
9.9276     10.001     -7.5051
9.896      10.0529    -7.6254
9.8145     10.0849    -7.6869
9.7873     10.0915    -7.7731
9.7403     10.1143    -7.8239
9.6967     10.1236    -7.8972
9.6797     10.1369    -7.9569
9.6398     10.1459    -7.9939
9.5471     10.2131    -8.0249
9.5023     10.2594    -8.0414
9.4604     10.3309    -8.0188
9.4576     10.4121    -7.9864
9.4763     10.4693    -7.9452
