AMNH       52596      laj13ms.xls
8.6462     7.6336     -7.514     L-PM/MAX
8.5646     7.6328     -7.4249
8.4856     7.6202     -7.2996
8.4004     7.5662     -7.158
8.3562     7.619      -7.0473
8.2782     7.6314     -6.8787
8.2043     7.6133     -6.7597
8.1172     7.6259     -6.6148
8.0569     7.6473     -6.5144
7.9753     7.6817     -6.3675
7.8841     7.6887     -6.2201
7.8223     7.6602     -6.0981
7.764      7.6009     -5.9196
7.7367     7.5747     -5.8107
7.6683     7.5355     -5.6018
7.5702     7.5458     -5.4445
7.487      7.5866     -5.3223
7.4116     7.5909     -5.14
7.3569     7.6235     -4.9768
7.3275     7.6407     -4.8914
7.3018     7.673      -4.7422
7.3072     7.6687     -4.6248
7.368      7.6916     -4.5207

















































































































































































10.4463    6.6684     -4.7515    ROSTRUM
10.4123    6.6444     -4.9112
10.3883    6.6488     -5.0201
10.3532    6.6536     -5.1843
10.2953    6.6716     -5.3111
10.2741    6.6986     -5.4147
10.2224    6.7423     -5.5672
10.1838    6.7775     -5.7233
10.1384    6.8105     -5.8882
10.0677    6.7806     -6.1033
10.0271    6.7985     -6.2545
9.9781     6.7918     -6.3744
9.9055     6.8403     -6.55
9.829      6.9519     -6.6879
9.7688     6.9894     -6.8134
9.6722     7.0554     -6.9367
9.5872     7.131      -7.0419
9.4585     7.2457     -7.1324
9.3406     7.3682     -7.2384
9.2476     7.3976     -7.3073
9.1777     7.4634     -7.4554
9.0604     7.499      -7.6664
8.985      7.5538     -7.7843
8.9254     7.6504     -7.9379
8.8436     7.7001     -7.9533
8.7883     7.7567     -7.9528
8.7988     7.6261     -7.7842
8.6941     7.7559     -7.643
8.6675     7.8292     -7.4462
8.6602     7.9276     -7.236
8.5438     8.0592     -7.0442
8.3866     8.2444     -6.8362
8.2365     8.3872     -6.6342
8.183      8.5128     -6.4227
8.1796     8.591      -6.1812
8.1363     8.698      -5.5955
8.0751     8.7948     -5.3569
8.0121     8.8391     -5.1536
7.9577     8.871      -4.8902
7.9599     8.8806     -4.8081
7.9793     8.8767     -4.6625































































































































































12.0616    6.5819     -8.1622    SUPORB
