NMNH       452498     laj39ms.xls
15.6805    12.2283    9.0084     IN
12.9004    9.3778     11.7799    BR
9.8372     6.6383     10.261     GL
9.735      6.5047     9.6878     NA
8.6638     5.5129     7.8312     RH
8.1285     5.0251     5.9953     NS
8.1245     4.8665     5.5636     PR
7.6834     5.3379     5.4972     R_PR2
9.0551     6.2772     8.3109     R_PMS
8.3935     8.7737     6.4771     R_ZMI
8.6669     7.7348     7.9602     R_ZMU
9.7828     6.9686     9.3797     R_DA
9.135      8.1484     10.1917    R_MTI
9.2734     8.2904     10.5644    R_MTS
8.6409     9.1125     8.7754     R_FMO
8.7586     9.653      8.8218     R_FMT
11.3758    12.2751    7.7714     R_PO
8.4792     10.0439    6.8937     R_ZTS
8.5669     4.5659     5.4153     L_PR2
9.4904     5.8648     8.1929     L_PMS
11.6951    5.2278     6.5222     L_ZMI
10.9725    5.384      7.9055     L_ZMU
10.1231    6.5637     9.3443     L_DA
11.4147    5.8189     10.1509    L_MTI
11.5976    5.9932     10.5359    L_MTS
12.1678    5.3993     8.7135     L_FMO
12.7283    5.4663     8.5728     L_FMT
15.3197    8.0085     7.7291     L_PO
13.1949    5.2613     6.851      L_ZTS
9.7003     4.6319     5.9316     O1
11.6681    4.7987     7.3768     O2
16.1181    8.479      8.2651     O3
16.013     11.6552    9.5151     O4







































































































































































9.839      6.6388     10.2629    GLRH
9.8077     6.6127     10.1319
9.7861     6.5684     10.0252
9.7378     6.5634     9.8214
9.7055     6.516      9.6879
9.6963     6.4852     9.5742
9.6662     6.4662     9.4764
9.6335     6.4286     9.3589
9.6133     6.4061     9.2197
9.5723     6.3712     9.0944
9.5116     6.3354     8.9847
9.4677     6.2897     8.8829
9.4518     6.2673     8.8057
9.4121     6.2304     8.7122
9.359      6.182      8.6148
9.3054     6.1285     8.5295
9.2543     6.0743     8.44
9.2094     6.0357     8.3822
9.1594     5.9758     8.3055
9.1004     5.9143     8.2329
9.0637     5.8642     8.1875
8.999      5.8522     8.1611
8.9418     5.7948     8.1087
8.9131     5.7475     8.0488
8.8498     5.7134     8.0271
8.8032     5.6714     7.9716
8.7745     5.6166     7.935
8.7198     5.6011     7.8984
8.7119     5.5582     7.888
8.6972     5.5298     7.8548
8.6817     5.5071     7.7992









































































































































































8.6924     5.5173     7.7473     NOSE
8.6194     5.5501     7.7926
8.556      5.5986     7.8232
8.5151     5.658      7.8058
8.5078     5.6668     7.7088
8.4734     5.6671     7.6605
8.4286     5.6619     7.6374
8.3805     5.6635     7.6001
8.4174     5.7074     7.5318
8.4211     5.7977     7.5773
8.4842     5.8624     7.6225
8.5355     5.9446     7.5902
8.5601     5.9986     7.5987
8.5547     6.026      7.5064
8.4783     6.0328     7.4822
8.4215     6.05       7.4081
8.375      6.0779     7.3127
8.3428     6.0508     7.2075
8.3073     6.034      7.0755
8.2533     6.0273     6.9753
8.2273     6.0216     6.8846
8.2        6.0309     6.8144
8.1881     5.9812     6.7537
8.1392     5.9538     6.705
8.1089     5.9109     6.6371
8.1291     5.7631     6.5253
8.0432     5.6408     6.4688
8.0067     5.5391     6.4121
7.9657     5.4432     6.3568
7.9663     5.3409     6.2955
7.9843     5.269      6.2347
7.9695     5.2186     6.1957
8.0222     5.1672     6.1342
8.0422     5.1513     6.1033
8.0578     5.0881     6.0633
8.1041     5.0358     6.0015
8.1889     4.9982     5.952
9999       9999       9999
9.1604     5.0414     6.5969
9.1716     5.0537     6.6549
9.1646     5.0634     6.7213
9.1752     5.0849     6.7729
9.1921     5.085      6.8021
9.2054     5.1207     6.8682
9.241      5.1565     6.9188
9.2364     5.1814     6.9893
9.2334     5.2135     7.0376
9.2306     5.2141     7.0824
9.2014     5.25       7.139
9.1943     5.2588     7.196
9.2049     5.2705     7.2445
9.2026     5.2977     7.3046
9.2126     5.312      7.342
9.2009     5.34       7.3956
9.1844     5.3608     7.4305
9.1863     5.3695     7.4838
9.1332     5.3808     7.5385
9.1283     5.3776     7.5847
9.0862     5.3531     7.6542
9.0458     5.3187     7.6173
8.9801     5.2696     7.6004
8.9518     5.253      7.5899
8.9163     5.225      7.5723
8.8706     5.2174     7.5857
8.8365     5.2421     7.5799
8.7998     5.2613     7.6536
8.8239     5.3096     7.6877
8.8094     5.3598     7.7076
8.8034     5.3664     7.7656
8.7796     5.4089     7.7854
8.7599     5.4452     7.8281
8.7247     5.4667     7.8331
8.7046     5.4913     7.8151
8.6634     5.5097     7.7899
















































































































