AMNH       52621      laj21ms.xls
15.2556    15.8701    -8.3321    IN
12.3364    12.4701    -10.8001   BR
9.3761     9.2467     -9.083     GL
9.3006     9.1046     -8.605     NA
8.5644     7.9239     -6.6231    RH
8.1027     7.1021     -4.6214    NS
7.9885     6.8875     -3.9906    PR
8.5909     6.6132     -4.0189    R_PR2
9.1833     8.265      -7.0748    R_PMS
11.8408    7.4488     -5.299     R_ZMI
10.9134    8.0464     -6.7995    R_ZMU
9.6076     9.0244     -8.0187    R_DA
10.659     8.65       -9.0941    R_MTI
10.8844    8.9894     -9.6729    R_MTS
11.7373    8.0041     -7.8193    R_FMO
12.2899    8.0332     -7.8529    R_FMT
15.7507    11.0788    -7.0375    R_PO
13.113     7.9095     -5.9337    R_ZTS
7.5175     7.4056     -3.9715    L_PR2
8.6665     8.6608     -7.0301    L_PMS
7.7358     10.9369    -5.267     L_ZMI
8.1664     10.2734    -6.6479    L_ZMU
9.1345     9.321      -7.9539    L_DA
8.6146     10.4055    -9.0347    L_MTI
8.9283     10.783     -9.5381    L_MTS
8.0368     11.3635    -7.5534    L_FMO
7.9851     11.9488    -7.5508    L_FMT
10.5621    15.4112    -6.829     L_PO
7.9304     12.7425    -5.7082    L_ZTS
8.1523     6.3832     -3.8478    O1
7.38       11.3519    -5.4892    O2
10.9348    16.025     -7.162     O3
14.9915    16.0321    -8.3876    O4







































































































































































9.4316     9.3034     -9.2493    GLRH
9.3643     9.2192     -8.9799
9.3161     9.1157     -8.6709
9.2916     9.0199     -8.4031
9.2361     8.9159     -8.1603
9.1792     8.8573     -7.9117
9.1132     8.7782     -7.7379
9.0702     8.6694     -7.5447
9.0252     8.5726     -7.365
8.9597     8.5174     -7.2444
8.9251     8.4585     -7.127
8.8592     8.3698     -7.0238
8.8072     8.3015     -6.9548
8.7431     8.1756     -6.8575
8.6911     8.1014     -6.815
8.6406     8.0293     -6.7718
8.6144     7.9985     -6.7237
8.5586     7.9103     -6.6612
8.5361     7.9125     -6.611





















































































































































































8.7043     8.0394     -6.7101    NOSE
8.8658     7.9468     -6.6677
8.9879     7.846      -6.6021
9.0635     7.7697     -6.4886
9.046      7.7021     -6.34
9.0737     7.5947     -6.1561
9.1447     7.5125     -6.0025
9.1312     7.4203     -5.8493
9.1223     7.3479     -5.7461
9.123      7.2541     -5.6836
9.0592     7.1833     -5.5259
8.9576     7.1434     -5.3496
8.8151     7.135      -5.2504
8.6758     7.1045     -5.1697
8.5725     7.0841     -5.0701
8.4375     7.0418     -4.9443
8.272      7.057      -4.7544
8.1668     7.1178     -4.668
8.137      7.1109     -4.6491
8.0522     7.1523     -4.6675
7.984      7.2686     -4.777
7.9306     7.3953     -4.9074
7.8873     7.5372     -4.9966
7.885      7.6727     -5.0633
7.9053     7.7849     -5.1355
7.9568     7.915      -5.246
8.0099     8.0364     -5.3322
8.0714     8.1476     -5.4681
8.1333     8.1953     -5.624
8.1761     8.2516     -5.7492
8.2156     8.2847     -5.8891
8.2672     8.2819     -6.0204
8.2935     8.2781     -6.1512
8.3466     8.2268     -6.2894
8.3038     8.2372     -6.4264
8.2654     8.0232     -6.3863
8.2825     7.9555     -6.4107
8.3886     7.9225     -6.5235
8.4774     7.9146     -6.5405
8.5846     7.9177     -6.6125











































































