NMNH       220376     lal4ms.xls
12.9588    15.8143    8.7867     IN
10.4947    12.6752    11.945     BR
7.8382     9.2512     9.9754     GL
7.6618     9.0849     9.3791     NA
6.9293     8.1232     7.6016     RH
6.6065     7.709      6.0249     NS
6.4955     7.5362     5.4851     PR
6.0609     8.2245     5.52       R_PR2
7.1968     8.8643     8.1945     R_PMS
6.2855     11.1102    6.3709     R_ZMI
6.5801     10.2841    7.7764     R_ZMU
7.6783     9.4459     9.1466     R_DA
6.9095     10.6121    10.0172    R_MTI
7.0308     10.7202    10.3383    R_MTS
6.3674     11.4722    8.7064     R_FMO
6.3524     11.8109    8.7393     R_FMT
8.5016     14.9724    7.839      R_PO
6.3047     12.3992    7.0129     R_ZTS
7.1598     7.2743     5.4559     L_PR2
7.579      8.5878     8.187      L_PMS
9.7949     8.0251     6.6151     L_ZMI
9.1074     8.2246     7.791      L_ZMU
8.0042     9.181      9.0859     L_DA
9.406      8.6101     9.9444     L_MTI
9.4978     8.7119     10.2845    L_MTS
10.2357    8.2959     8.7219     L_FMO
10.6405    8.3296     8.6745     L_FMT
13.1517    11.4976    7.7461     L_PO
11.3659    8.3961     7.0237     L_ZTS
7.3874     7.3731     6.1102     O1
10.2206    7.7249     6.9198     O2
13.7979    11.5949    8.3766     O3
13.6294    14.9752    9.3071     O4







































































































































































7.8075     9.2411     9.901      GLRH
7.7986     9.2069     9.8035
7.7654     9.1659     9.7091
7.7194     9.127      9.5357
7.6893     9.0952     9.4497
7.6524     9.069      9.346
7.6499     9.0056     9.2344
7.6041     8.9901     9.1095
7.5734     8.9857     9.0303
7.5517     8.933      8.8814
7.5272     8.9126     8.7943
7.5019     8.8703     8.6875
7.4496     8.7918     8.5279
7.4137     8.7459     8.3854
7.3688     8.6688     8.2798
7.2955     8.572      8.1528
7.2563     8.5123     8.0345
7.2019     8.4275     7.9759
7.1202     8.3865     7.9068
7.0907     8.3425     7.867
7.0381     8.2929     7.8128
7.007      8.209      7.7412
6.9676     8.1698     7.7018
6.9506     8.1249     7.6518
6.9312     8.1101     7.6158
6.9391     8.1172     7.5501














































































































































































6.911      8.1421     7.568      NOSE
6.7937     8.1838     7.5721
6.7486     8.2519     7.5526
6.6985     8.2757     7.5102
6.6863     8.2603     7.4287
6.6991     8.319      7.3829
6.7281     8.3915     7.3607
6.7168     8.528      7.4453
6.6821     8.5504     7.2676
6.6314     8.5596     7.1488
6.5961     8.5494     6.9922
6.5583     8.5199     6.8804
6.501      8.4423     6.8136
6.4616     8.3341     6.6896
6.425      8.2353     6.5731
6.4272     8.1739     6.5008
6.4087     8.1215     6.417
6.4081     7.986      6.3286
6.3912     7.9288     6.2568
6.4003     7.8359     6.1484
6.4273     7.7558     6.0682
6.4883     7.6729     6.0278
6.5406     7.6547     6.0068
6.6091     7.6154     6.0631
6.6841     7.6075     6.1121
6.7685     7.567      6.1988
6.8687     7.5561     6.3003
6.9273     7.5581     6.39
7.0047     7.5857     6.4742
7.0804     7.6233     6.5348
7.1308     7.6617     6.5761
7.2518     7.7426     6.7189
7.3128     7.772      6.7828
7.3473     7.7911     6.8601
7.3664     7.8456     6.9742
7.4037     7.9192     7.061
7.4036     7.9538     7.1589
7.3917     7.9982     7.2774
7.3957     8.0206     7.3263
7.4001     8.023      7.3788
7.3793     8.0343     7.4406
7.3253     8.0548     7.5139
7.2763     8.0441     7.5184
7.1994     8.0084     7.5732
7.1432     7.9876     7.5179
7.0799     8.0225     7.5366
7.0041     8.0671     7.6074

























































































































































6.5357     7.638      5.9909     NASP-PR
6.5091     7.6049     5.9592
6.4789     7.5861     5.9038
6.4541     7.5478     5.8215
6.4438     7.5569     5.727
6.443      7.5562     5.6442
6.4641     7.5317     5.5597
6.4691     7.5439     5.5121
































































































































































































7.1701     8.8645     8.1669     R-PM/MAX
7.056      8.8162     8.0264
6.982      8.8355     7.9032
6.8911     8.8454     7.7811
