AMNH       52655      CA10MS.XLS
19.47      17.2117    -8.2679    IN
16.6085    14.981     -11.4066   BR
13.0205    12.2118    -9.2986    GL
12.996     12.1595    -9.0302    NA
12.203     11.3164    -6.8875    RH
11.5283    10.5887    -5.0044    NS
11.4399    10.5442    -4.494     PR
12.0565    9.9545     -4.3035    R_PR2
12.7173    11.3574    -7.1464    R_PMS
15.305     10.4102    -5.8295    R_ZMI
13.9535    11.2199    -7.0994    R_ZMU
13.1764    11.9336    -8.2577    R_DA
14.2825    11.2335    -9.4315    R_MTI
14.4712    11.4883    -9.8999    R_MTS
15.2224    10.5277    -8.2157    R_FMO
15.8108    10.6044    -8.2212    R_FMT
19.4377    13.134     -7.1252    R_PO
16.5911    10.4029    -6.1625    R_ZTS
10.981     11.1389    -4.3056    L_PR2
12.0428    11.721     -6.8276    L_PMS
12.079     14.4504    -5.4567    L_ZMI
12.5029    13.0704    -7.0333    L_ZMU
12.8729    12.2945    -8.1653    L_DA
12.6084    13.2962    -9.1889    L_MTI
12.7234    13.443     -9.7796    L_MTS
12.1568    14.605     -7.9276    L_FMO
12.3747    15.1157    -7.9556    L_FMT
15.5794    17.9299    -6.8158    L_PO
12.346     15.7073    -5.7269    L_ZTS
10.7206    10.6213    -4.1169    O1
15.6876    10.1515    -6.0088    O2
19.865     13.4031    -7.7485    O3
19.9533    16.1459    -9.4746    O4







































































































































































13.0244    12.1645    -9.3067    GLRH
13.013     12.1235    -9.1139
12.9711    12.0776    -8.87
12.9127    12.0212    -8.6021
12.8619    11.9352    -8.2755
12.7915    11.835     -7.915
12.6906    11.761     -7.7095
12.5994    11.6487    -7.4948
12.4688    11.4885    -7.3062
12.3666    11.4039    -7.1803
12.2538    11.308     -7.0479
12.2105    11.2677    -6.9553




























































































































































































12.2725    11.2992    -6.857     NOSE
12.3565    11.2186    -6.8879
12.4342    11.1298    -6.7984
12.5138    10.9781    -6.6166
12.5403    10.9075    -6.4302
12.5158    10.7976    -6.2197
12.4766    10.7428    -6.0089
12.4301    10.6964    -5.8156
12.3473    10.6613    -5.6493
12.2307    10.6262    -5.5329
12.0903    10.6069    -5.3899
11.9076    10.5889    -5.2258
11.7123    10.5603    -5.0951
11.6451    10.7297    -5.0667
11.6038    10.8253    -5.1096
11.5867    10.9487    -5.1953
11.5683    11.0614    -5.2862
11.5946    11.2592    -5.4039
11.5925    11.3275    -5.4589
11.6178    11.4133    -5.5173
11.6646    11.5149    -5.6743
11.7456    11.6121    -5.9341
11.829     11.6643    -6.1444
11.925     11.6723    -6.3403
12.004     11.6688    -6.5887
12.1233    11.5913    -6.7681
12.2052    11.5439    -6.9007
12.2077    11.427     -6.8945
12.2175    11.3305    -6.8945











































































































































































11.6586    10.6951    -5.0765    NASP-PR
11.57      10.6193    -5.0548
11.4516    10.5351    -4.9489
11.3703    10.4552    -4.7429
11.4032    10.4736    -4.604
11.4332    10.4539    -4.5775


































































































































































































12.6939    11.1869    -6.9948    R-PM/MAX
12.667     11.0752    -6.8718
12.647     10.9423    -6.6291
12.5901    10.8075    -6.408
12.5967    10.7146    -6.2364
12.5722    10.6558    -6.077
12.5859    10.5265    -5.828
12.5994    10.3196    -5.4536
12.6147    10.1709    -5.1754
12.6375    9.985      -4.8507
12.6671    9.943      -4.5793
12.7287    10.0024    -4.4056
12.7455    10.041     -4.3439

































