AMNH       119757     CTT4MS.XLS
11.3725    9.2178     -6.2817
11.3551    9.188      -6.5415
11.2653    9.2757     -6.7205
11.0894    9.4279     -6.9783
10.9443    9.5669     -7.1089
10.7927    9.7436     -7.2376
10.6698    9.9016     -7.3722
10.5463    10.0275    -7.548
10.396     10.1256    -7.6989
10.2701    10.2309    -7.841
10.1472    10.3375    -7.9749
10.0684    10.4542    -8.0189
9.9212     10.4662    -7.9467
9.8908     10.6955    -7.7431
9.7461     10.8592    -7.519
9.5887     11.0271    -7.3144
9.3451     11.256     -7.1044
9.1942     11.4605    -6.8205
9.0879     11.6197    -6.6085
9.0488     11.7209    -6.3767
9.0253     11.7124    -6.1683
8.9875     11.7364    -5.9836
8.978      11.8212    -5.6326
8.9295     11.8385    -5.395
8.8886     11.8866    -5.1661
8.8734     11.9254    -4.9931
8.9209     11.9398    -4.6705
8.9505     11.8972    -4.5461
9.0031     11.9117    -4.4284



































































































































































14.0411    9.5604     -9.134     SUPORB
14.0081    9.6186     -9.3629
13.8988    9.7392     -9.696
13.713     9.9501     -10.0145
13.415     10.1418    -10.2378
13.1639    10.308     -10.3363
12.9609    10.4328    -10.4452
12.6319    10.6907    -10.5396
12.4275    10.8288    -10.5874
12.2371    10.9216    -10.5888
9999       9999       9999
11.6697    11.4654    -10.6136
11.5165    11.5621    -10.5576
11.2982    11.7783    -10.497
11.1913    12.0052    -10.5567
11.0801    12.3375    -10.6466
10.8987    12.7403    -10.6152
10.5873    13.1574    -10.4758
10.3483    13.4621    -10.3625
10.1814    13.8217    -10.1961
10.0452    14.2       -9.9738
9.8716     14.4393    -9.7007
9.7812     14.64      -9.4023
9.7        14.7358    -9.0083
9.6614     14.8325    -8.7735















































































































































































12.2417    9.8861     -7.7338    RORBIT
12.5176    9.7424     -7.7636
12.7191    9.6315     -7.8347
12.9642    9.5721     -8.0217
13.2803    9.5627     -8.4295
13.374     9.6209     -8.7706
13.3726    9.6773     -9.0984
13.2207    9.7167     -9.5304
13.0666    9.8544     -9.8007
12.8167    9.9889     -10.0035
12.6118    10.1155    -10.0515
12.3865    10.2586    -10.1321
12.2365    10.3701    -10.1071
12.1431    10.5125    -10.0547
12.0339    10.7382    -10.1157
12.0026    10.8171    -10.2325
11.8903    10.9064    -10.2562
11.7389    11.0903    -10.1677
11.4573    11.2524    -10.0959
11.4285    11.3496    -9.8768
