NMNH       477292     cta2ms.xls
9999       9999       9999       IN
9999       9999       9999       BR
7.8224     8.0352     11.6303    GL
7.8205     8.0327     11.4294    NA
7.1489     7.2717     8.8406     RH
6.7565     6.8499     6.6237     NS
6.5679     6.6605     5.4535     PR
6.1657     7.2753     5.5699     R_PR2
7.481      7.9315     9.7967     R_PMS
6.9676     11.428     8.056      R_ZMI
6.9012     9.9019     9.5766     R_ZMU
7.8412     8.6177     10.67      R_DA
6.7919     9.7198     11.7238    R_MTI
6.9624     9.72       12.2232    R_MTS
6.4799     10.764     10.7669    R_FMO
6.4772     11.4952    10.9818    R_FMT
10.2969    14.9456    10.9017    R_PO
7.0302     12.9465    9.0344     R_ZTS
7.1087     6.3362     5.4266     L_PR2
7.8206     7.5368     9.6703     L_PMS
11.2859    6.9659     8.0898     L_ZMI
9.6004     6.9865     9.6296     L_ZMU
8.5351     8.0272     10.6513    L_DA
9.6983     6.8622     11.8269    L_MTI
9.8223     7.0419     12.3624    L_MTS
10.5987    6.5537     10.8916    L_FMO
11.3211    6.5018     10.9725    L_FMT
14.8061    10.0612    11.1093    L_PO
12.7916    6.9477     9.2543     L_ZTS
7.5491     6.2577     6.4923     O1
9.4888     6.92       7.0789     O2
11.8855    6.4942     8.6526     O3
14.8938    9.9547     11.643     O4







































































































































































7.8372     8.0244     11.7293    GLRH
7.8197     8.0176     11.5334
7.8431     7.9909     11.3807
7.8053     7.9795     11.2409
7.7757     7.9718     11.1009
7.7863     7.9383     10.9455
7.7866     7.9006     10.6894
7.7307     7.8926     10.4573
7.6939     7.8757     10.2936
7.6682     7.8546     10.1585
7.642      7.8362     10.0373
7.6202     7.7664     9.891
7.5757     7.7225     9.7446
7.5339     7.6886     9.6308
7.482      7.6406     9.4895
7.4283     7.5906     9.4146
7.4037     7.5092     9.3226
7.3353     7.4639     9.1918
7.2493     7.4369     9.0965
7.2047     7.3866     8.9831
7.18       7.3601     8.9361
7.1588     7.3001     8.8925
7.1471     7.2784     8.8615
7.1036     7.2467     8.7766
















































































































































































7.0857     7.3108     8.7854     NOSE
7.0782     7.3849     8.8602
7.0095     7.4801     8.8364
6.9232     7.55       8.7579
6.8917     7.6109     8.6058
6.8708     7.6893     8.5006
6.8136     7.7413     8.3561
6.7664     7.7358     8.1872
6.7009     7.7657     8.0254
6.6606     7.77       7.8858
6.6396     7.7939     7.7484
6.6087     7.7395     7.6143
6.6026     7.6844     7.4864
6.6073     7.6434     7.2686
6.6187     7.5421     7.1018
6.6307     7.4362     6.978
6.6009     7.3217     6.8837
6.604      7.2159     6.8143
6.6362     7.0805     6.7333
6.6914     6.9614     6.7077
6.7988     6.8631     6.6813
6.8722     6.7844     6.7316
7.0331     6.688      6.8013
7.108      6.6498     6.8776
7.2395     6.6373     6.9945
7.3503     6.6475     7.0816
7.4821     6.624      7.2112
7.5253     6.6508     7.3375
7.5316     6.671      7.4821
7.5726     6.6943     7.6099
