AMNH       119761     laj3ms.xls
17.0962    12.8821    -10.5371   IN
14.8205    9.5249     -13.4781   BR
12.4103    5.2202     -11.4285   GL
12.3744    5.1119     -11.0865   NA
11.494     3.3988     -9.0785    RH
11.0293    2.5287     -7.1507    NS
10.8363    2.2068     -6.1796    PR
11.6122    2.0606     -6.2008    R_PR2
12.3403    4.1356     -9.5598    R_PMS
15.5097    4.1077     -7.5983    R_ZMI
14.0309    4.1843     -9.5538    R_ZMU
12.8548    5.2744     -10.5808   R_DA
14.0868    4.9127     -11.5279   R_MTI
14.2005    5.1722     -12.0112   R_MTS
15.3789    4.5954     -10.3869   R_FMO
15.9704    4.7536     -10.3055   R_FMT
18.2646    8.4727     -9.005     R_PO
16.625     4.4908     -8.4119    R_ZTS
10.4693    2.8563     -6.0884    L_PR2
11.7689    4.624      -9.5742    L_PMS
10.2203    7.2834     -7.4902    L_ZMI
10.9466    6.0904     -9.4748    L_ZMU
12.379     5.6626     -10.465    L_DA
11.3917    6.5603     -11.3775   L_MTI
11.4746    6.8205     -11.9109   L_MTS
10.4937    7.5714     -10.254    L_FMO
10.4775    8.2369     -10.1801   L_FMT
12.8732    11.827     -8.7977    L_PO
9.947      8.565      -8.1863    L_ZTS
11.2391    1.8571     -6.5263    O1
15.3408    3.6553     -8.8051    O2
18.6794    9.0422     -9.763     O3
17.5966    11.9238    -11.2107   O4







































































































































































12.4639    5.2301     -11.4798   GLRH
12.4355    5.193      -11.3595
12.3638    5.1441     -11.1389
12.3524    5.0493     -10.9308
12.3239    4.9874     -10.7406
12.2923    4.9402     -10.6116
12.2547    4.8886     -10.4882
12.2376    4.8157     -10.4059
12.2125    4.7332     -10.2741
12.1703    4.6197     -10.1252
12.1227    4.5637     -10.041
12.0526    4.4926     -9.9332
12.0137    4.3789     -9.8398
