AMNH       81250      ca16ms.xls
15.7413    14.5337    -9.7999    IN
12.3662    11.885     -11.8257   BR
9.1584     9.629      -9.3518    GL
9.111      9.6229     -9.0783    NA
8.2867     8.9406     -6.7517    RH
7.4818     8.2453     -4.5954    NS
7.2392     8.0458     -3.8918    PR
7.92       7.6018     -3.8196    R_PR2
8.9227     9.1179     -7.3177    R_PMS
11.8138    7.9488     -5.7207    R_ZMI
10.4668    8.4539     -7.2545    R_ZMU
9.4182     9.3884     -8.4352    R_DA
10.5383    8.5163     -9.3938    R_MTI
10.7689    8.7981     -9.9643    R_MTS
11.6394    7.8878     -8.3534    R_FMO
12.305     8.0679     -8.625     R_FMT
15.9244    10.668     -7.8175    R_PO
13.3077    8.0029     -6.5401    R_ZTS
7.0873     8.7454     -3.7468    L_PR2
8.0833     9.4601     -6.6272    L_PMS
8.373      12.5473    -5.531     L_ZMI
8.5402     11.1373    -7.2261    L_ZMU
8.9561     9.8872     -8.3771    L_DA
8.5263     11.0172    -9.3017    L_MTI
8.9596     11.3134    -10.0029   L_MTS
8.1564     12.4414    -8.2539    L_FMO
8.4439     13.0418    -8.4238    L_FMT
12.051     15.6792    -7.682     L_PO
8.7774     13.94      -6.3748    L_ZTS
6.8031     9.1431     -3.853     O1
8.4917     13.7203    -5.9746    O2
12.6157    15.7624    -8.4788    O3
15.2351    14.8004    -10.1477   O4







































































































































































9.1578     9.5754     -9.2881    GLRH
9.1128     9.563      -9.1153
9.0906     9.524      -8.9738
9.0523     9.5031     -8.8102
9.029      9.4739     -8.683
8.98       9.4341     -8.4591
8.9288     9.3934     -8.1227
8.8755     9.3554     -7.992
8.8333     9.316      -7.8519
8.7695     9.2738     -7.6915
8.7162     9.2414     -7.5765
8.6154     9.1863     -7.3975
8.5601     9.115      -7.2888
8.5024     9.0439     -7.1815
8.4369     9.0259     -7.118
8.3699     8.9686     -6.9862
8.3234     8.9615     -6.9158
8.2865     8.924      -6.8297
8.2884     8.894      -6.7356





















































































































































































8.2993     8.9053     -6.7476    NOSE
8.3575     8.8187     -6.7177
8.4168     8.7772     -6.6909
8.3866     8.6918     -6.605
8.4094     8.6132     -6.4696
8.5113     8.5482     -6.3188
8.5154     8.3977     -5.878
8.4972     8.3452     -5.6991
8.4351     8.2847     -5.5201
8.288      8.2561     -5.3083
8.1247     8.2544     -5.1723
8.0033     8.2385     -5.0563
7.8947     8.2106     -4.9283
7.7599     8.2276     -4.7769
7.5664     8.2599     -4.6547
7.4916     8.3783     -4.7134
7.4564     8.4803     -4.7611
7.4566     8.5701     -4.8769
7.5165     8.6787     -4.9862
7.5525     8.7956     -5.0704
7.6254     8.9374     -5.1601
7.6819     9.1075     -5.2862
7.7357     9.1779     -5.4556
7.8274     9.256      -5.7363
7.9125     9.2615     -5.97
7.9947     9.2335     -6.1981
8.0447     9.2177     -6.3517
8.1155     9.1868     -6.4977
8.2433     8.9554     -6.6895











































































































































































7.5424     8.27       -4.6474    NASP-PR
7.459      8.1828     -4.5549
7.3553     8.1077     -4.4263
7.2967     8.0933     -4.2614
7.2794     8.034      -4.1288
7.2604     8.0305     -4.013
7.248      8.0199     -3.8742
7.2279     8.1515     -4.0525
































































































































































































8.9552     9.0702     -7.3125    R-PM/MAX
8.9259     8.9254     -7.1163
8.8917     8.855      -6.9722
8.861      8.7618     -6.8493
8.828      8.6655     -6.6978
8.8091     8.5681     -6.4789
8.7754     8.466      -6.3197
8.7426     8.3827     -6.1547
8.6861     8.3071     -6.0077
8.6783     8.2192     -5.8367
8.716      8.1089     -5.6271
8.7543     7.9408     -5.3833
8.7827     7.8399     -5.1398
8.7645     7.7119     -4.9
8.7257     7.6143     -4.6708
8.7647     7.5229     -4.3896
8.8916     7.5609     -4.1495























































































































































































8.0544     9.3875     -6.6587    L-PM/MAX
7.9854     9.3996     -6.4916
7.9127     9.3722     -6.2961
7.846      9.3561     -6.1413
7.7491     9.35       -5.9342
7.6828     9.3914     -5.8094
7.6407     9.4696     -5.6441
7.5448     9.4879     -5.4844
7.4765     9.5123     -5.3156
7.4023     9.5291     -5.1469
7.3467     9.561      -4.9586
7.2832     9.5534     -4.7946
7.2056     9.5777     -4.6078
7.1582     9.6645     -4.4355
7.1505     9.7074     -4.3072
7.142      9.6597     -4.1775
7.2334     9.5783     -4.0758























































































































































































10.7322    8.2939     -4.4349    ROSTRUM
10.7044    8.23       -4.584
10.6515    8.2173     -4.7321
10.6037    8.2294     -4.8977
10.5208    8.272      -5.1129
10.4267    8.3176     -5.3199
10.3041    8.3737     -5.5505
10.2242    8.3898     -5.7968
10.094     8.4052     -6.1174
9.9703     8.4835     -6.2958
9.8774     8.5733     -6.4442
9.7659     8.6686     -6.6547
9.605      8.7896     -6.8146
