AMNH       86705      laa3ms.xls
16.771     14.482     -10.7962   IN
14.1116    11.9567    -13.5645   BR
10.7802    8.4294     -11.5801   GL
10.5457    8.2081     -11.0598   NA
9.5437     7.086      -9.0619    RH
8.7241     6.2369     -7.1128    NS
8.6593     6.0655     -6.5881    PR
9.3443     5.758      -6.5715    R_PR2
10.4085    7.4011     -9.601     R_PMS
13.4406    6.9329     -7.3244    R_ZMI
12.1488    7.1464     -9.473     R_ZMU
10.9809    8.1703     -10.7156   R_DA
12.2867    7.7744     -11.7198   R_MTI
12.4956    8.0215     -12.1023   R_MTS
13.4597    7.0803     -10.6055   R_FMO
14.1237    7.175      -10.5478   R_FMT
16.9769    10.2377    -9.1623    R_PO
14.5966    7.0383     -8.2505    R_ZTS
8.2962     6.8285     -6.4665    L_PR2
9.9664     8.0498     -9.6765    L_PMS
9.2097     11.0457    -7.4339    L_ZMI
9.338      9.7499     -9.4697    L_ZMU
10.5568    8.6317     -10.5663   L_DA
10.122     9.878      -11.6587   L_MTI
10.3992    10.1038    -12.1772   L_MTS
9.2591     11.0386    -10.647    L_FMO
9.3882     11.6834    -10.6995   L_FMT
12.3196    14.5727    -9.1977    L_PO
9.1101     12.1481    -8.3446    L_ZTS
8.1385     6.2481     -6.3531    O1
8.9164     11.7145    -7.8744    O2
12.9532    15.3825    -9.7221    O3
15.644     15.1854    -10.2761   O4







































































































































































10.7897    8.4358     -11.5707   GLRH
10.7042    8.3799     -11.4236
10.6509    8.3724     -11.3207
10.5663    8.2732     -11.1428
10.5553    8.1968     -11.0348
10.4734    8.1595     -10.8311
10.4436    8.102      -10.69
10.4072    8.0654     -10.5784
10.345     8.0169     -10.3852
10.268     7.9595     -10.1964
10.248     7.8475     -10.0589
10.1977    7.7554     -9.9329
10.1235    7.6813     -9.8256
10.0611    7.5896     -9.7017
10.001     7.5593     -9.6377
9.9012     7.4684     -9.4986
9.8296     7.3542     -9.4103
9.737      7.2356     -9.2977
9.661      7.1702     -9.2248
9.5877     7.1177     -9.1432
9.56       7.0686     -9.0457



















































































































































































9.563      7.0768     -9.0381    NOSE
9.5988     7.0722     -9.072
9.7148     6.9924     -9.0838
9.7537     6.9202     -9.0098
9.7488     6.8824     -8.9532
9.7524     6.8491     -8.8891
9.8192     6.7963     -8.8745
9.9207     6.8298     -8.7894
9.9586     6.7958     -8.708
9.974      6.7436     -8.5842
9.988      6.7241     -8.4034
9.9521     6.6462     -8.2457
9.933      6.5578     -8.1239
9.8752     6.5034     -8.0356
9.798      6.4705     -7.9028
9.6687     6.3618     -7.7879
9.5383     6.3227     -7.6816
9.3744     6.2716     -7.5775
9.1886     6.2148     -7.4658
9.0267     6.2486     -7.3263
8.8859     6.2254     -7.2124
8.7264     6.3027     -7.1315
8.6585     6.3781     -7.1965
8.6575     6.4943     -7.3473
8.6135     6.7063     -7.417
8.6758     6.8412     -7.4906
8.7133     7.0372     -7.6094
8.7534     7.2105     -7.7208
8.8529     7.3397     -7.8532
8.8566     7.4249     -7.9388
8.8085     7.5179     -7.9578
8.9499     7.446      -8.0715
8.9422     7.5676     -8.1633
