AMNH       52618      LAJ17MS.XLS
10.0455    10.7866    -6.4496
9.9187     10.7662    -6.2768
9.8061     10.7413    -5.9899
9.7279     10.7192    -5.8258
9.6503     10.6725    -5.6852
9.5684     10.7117    -5.4903
9.4558     10.6868    -5.2835
9.3683     10.6186    -5.1397
9.293      10.6153    -5.0078
9.2279     10.5928    -4.8719
9.2036     10.6103    -4.7644
9.2327     10.6034    -4.5809





















































































































































































12.9773    9.8026     -4.7203    ROSTRUM
12.927     9.7804     -4.881
12.901     9.7964     -5.0589
12.8733    9.8028     -5.2253
12.761     9.8905     -5.381
12.6908    9.9756     -5.6
12.597     9.994      -5.7941
12.5155    10.0488    -6.0353
12.4929    10.0674    -6.1654
12.4547    10.049     -6.3383
12.3997    10.0175    -6.4836
12.3835    9.9635     -6.6112
12.337     9.9555     -6.8032
12.3072    9.9565     -6.9359
12.2402    10.0228    -7.0248
12.0813    10.2357    -7.1316
11.9415    10.3466    -7.1804
11.7943    10.4988    -7.3117
11.6777    10.5858    -7.4456
11.625     10.6397    -7.5922
11.5581    10.6878    -7.7422
11.443     10.7638    -7.9118
11.3625    10.8265    -7.9885
11.2912    10.8996    -8.0336
11.2245    11.0009    -8.0036
11.1565    11.0617    -7.8721
11.0923    11.1575    -7.671
11.0348    11.2729    -7.372
10.8896    11.3729    -7.2489
10.761     11.4917    -7.1925
10.6313    11.6075    -7.0721
10.52      11.6867    -6.9906
10.3337    11.8285    -6.9047
10.3066    11.8858    -6.8015
10.4306    11.8929    -6.5827
10.4526    11.9546    -6.3605
10.5143    11.9428    -6.1974
10.5285    12.015     -5.9876
10.5313    12.095     -5.7845
10.466     12.1612    -5.54
10.4057    12.2441    -5.3247
10.3349    12.2868    -5.1784
10.2726    12.3609    -4.9735
10.2983    12.3908    -4.7918
10.3049    12.3988    -4.6664
10.3471    12.4317    -4.5896


























































































































































14.8298    9.8231     -8.2102    SUPORB
14.8597    9.829      -8.3664
14.8678    9.872      -8.5581
14.8537    9.9196     -8.7508
14.8334    9.9499     -8.9159
14.7916    10.0294    -9.1512
14.7099    10.1139    -9.3641
14.5718    10.2162    -9.5132
14.4641    10.3033    -9.6583
14.335     10.3899    -9.7914
14.1887    10.5125    -9.9073
14.072     10.5626    -9.966
13.885     10.6677    -10.0596
13.6647    10.7799    -10.1347
13.4716    10.87      -10.2247
13.2807    10.9899    -10.292
13.0892    11.1098    -10.361
12.7658    11.2501    -10.3378
12.492     11.3126    -10.2387
12.3269    11.3056    -10.1185
12.116     11.3455    -9.9413
11.9481    11.4837    -9.9501
11.8714    11.602     -9.9637
11.7881    11.786     -10.1083
11.7431    11.8604    -10.1589
11.7413    12.0423    -10.2464
11.6838    12.2398    -10.2852
11.5361    12.5512    -10.2869
11.432     12.7281    -10.263
11.3112    12.9606    -10.1956
11.1709    13.2324    -10.0934
11.0242    13.4329    -9.9712
10.9055    13.641     -9.8268
10.8123    13.8373    -9.699
10.754     14.0001    -9.5787
10.6709    14.1912    -9.3754
10.5864    14.3208    -9.1574
10.4843    14.3304    -8.8924
10.4408    14.3655    -8.576
10.3918    14.3546    -8.4224
10.3402    14.3095    -8.268
10.3322    14.2883    -8.1452
10.2932    14.2773    -8.0702





























































































































































13.0072    9.9204     -7.5079    RORBIT
13.1967    9.8756     -7.5458
13.3418    9.8227     -7.6046
13.4684    9.8181     -7.6634
13.6       9.8095     -7.7253
13.7571    9.8456     -7.7902
13.8868    9.8699     -7.8939
14.0079    9.901      -7.9695
14.0903    9.9426     -8.0691
14.1806    9.9863     -8.2023
14.2539    10.0021    -8.3365
14.3015    10.0383    -8.4669
14.299     10.0923    -8.6752
14.1146    9.9372     -8.9369
14.0234    9.9503     -9.1275
13.9359    9.9899     -9.2182
13.7901    10.0245    -9.4161
13.6642    10.0762    -9.4586
13.4875    10.1561    -9.4782
13.34      10.197     -9.5448
13.2132    10.2575    -9.5653
13.1007    10.3266    -9.5691
12.9716    10.4211    -9.5793
12.8775    10.4767    -9.471
12.8056    10.5796    -9.4902
12.6519    10.7427    -9.5194
12.4954    10.9515    -9.3902
12.337     11.0025    -9.2324
12.2281    11.1177    -9.0335
12.1268    11.107     -8.8497
12.1126    11.111     -8.7736
12.085     11.1262    -8.6414








































































































































































10.4031    12.6417    -7.5008    LORBIT
10.3657    12.7995    -7.5394
10.3344    12.9379    -7.5918
10.3232    13.133     -7.7057
10.3149    13.2967    -7.8331
10.3388    13.4226    -7.9633
10.3667    13.5587    -8.0683
10.3729    13.6615    -8.2938
10.4314    13.7241    -8.4443
10.4988    13.6763    -8.6967
