AMNH       86900      laa1ms.xls


















































9.6987     8.5554     -4.3869    ROSTRUM
9.6371     8.4864     -4.6342
9.5663     8.4903     -4.8324
9.5137     8.514      -4.9834
9.423      8.6197     -5.252
9.3509     8.6629     -5.4719
9.2825     8.6975     -5.6485
9.2005     8.6885     -5.8938
9.1219     8.7142     -6.1089
9.0705     8.8294     -6.2833
8.9611     8.9655     -6.4598
8.8275     9.1249     -6.6407
8.7464     9.2694     -6.7652
8.6832     9.3419     -6.9717
8.6297     9.4057     -7.1237
8.5568     9.4779     -7.2412
8.503      9.5512     -7.3269
8.4465     9.6397     -7.3456
8.3612     9.6094     -7.2903
8.2972     9.7558     -7.1597
8.2591     9.9012     -6.9001
8.218      9.9767     -6.7528
8.0978     10.0467    -6.5834
7.8966     10.3367    -6.3059
7.8432     10.5304    -6.0518
7.8489     10.6715    -5.7013
7.9066     10.768     -5.4878
7.949      10.8867    -5.228
7.9195     10.9448    -5.0975
7.9128     11.1252    -4.6321
7.9102     11.1403    -4.5236
7.9724     11.1589    -4.4474








































































































































































11.0685    8.0457     -7.7703    SUPORB
11.1035    7.9975     -8.0095
11.0759    8.0974     -8.3149
10.9569    8.2378     -8.5604
10.7973    8.4        -8.7349
10.5637    8.6804     -9.0182
9.9761     9.2602     -9.2973
9.7929     9.4059     -9.3047
9.5799     9.6137     -9.3325
9.0366     9.9502     -9.0913
8.9908     10.0339    -9.0936
8.9942     10.2074    -9.2144
8.9372     10.4741    -9.2961
8.8492     10.7975    -9.2993
8.7681     11.0282    -9.2589
8.6588     11.362     -9.2103
8.5716     11.6577    -9.1156
8.5369     11.8746    -9.0379
8.4337     12.1138    -8.9022
8.3475     12.3586    -8.7391
8.2778     12.4875    -8.5924
8.1768     12.6347    -8.3401
8.1287     12.7341    -8.0847
8.0868     12.6284    -7.7749
















































































































































































9.8668     8.4618     -6.8531    RORBIT
10.1089    8.3615     -6.9588
10.2636    8.275      -7.1034
10.4043    8.2035     -7.2611
10.5314    8.1663     -7.4653
10.598     8.1746     -7.5757
10.6354    8.1653     -7.8084
10.6009    8.2387     -8.01
10.5667    8.3078     -8.2245
10.4794    8.4106     -8.474
10.3612    8.5655     -8.6446
10.2715    8.6905     -8.7178
10.1471    8.8077     -8.7795
9.992      8.8797     -8.8353
9.8521     9.0127     -8.8372
9.757      9.1158     -8.82
9.656      9.2308     -8.7172
9.615      9.3396     -8.7327
9.55       9.4047     -8.8615
