NMNH       220354     ctt27ms2.xls
6.074      7.066      8.7483
6.0367     7.0821     8.6768
5.9619     7.0441     8.5431
5.9126     7.0279     8.4128
5.8698     7.0368     8.3149
5.7869     7.0608     8.1476
5.7668     7.0274     8.0788
5.6878     7.0929     7.9921
5.6444     7.0496     7.8907
5.6005     7.0586     7.7454
5.5515     7.0498     7.6177
5.5036     7.0945     7.4676
5.4708     7.0936     7.3866
5.4337     7.0975     7.2568
5.3939     7.1034     7.1665
5.3584     7.1272     7.0598
5.324      7.1371     6.9677
5.2886     7.1462     6.885
5.2573     7.1316     6.8265
5.2383     7.109      6.7302
5.2419     7.1621     6.6634
5.2162     7.2055     6.5851
5.2224     7.2113     6.5368
5.2247     7.2166     6.481



































































































































































7.4112     6.9833     10.1482    L-PM/MAX
7.4124     6.952      10.0827
7.4        6.9058     9.9826
7.348      6.8208     9.9093
7.3581     6.7431     9.8087
7.3443     6.6805     9.7026
7.3119     6.5919     9.5991
7.3071     6.5715     9.5138
7.2781     6.4955     9.4176
7.2897     6.4771     9.3454
7.2648     6.4182     9.2455
7.2439     6.3809     9.1806
7.2351     6.322      9.1049
7.2126     6.2642     8.9951
7.1929     6.2259     8.9308
7.1905     6.1986     8.8577
7.1836     6.0914     8.6503
7.1672     6.0682     8.5926
7.1503     5.9852     8.436
7.1471     5.9003     8.2692
7.12       5.7901     8.0924
7.142      5.7222     7.8876
7.1427     5.6656     7.718
7.1426     5.5979     7.5371
7.1491     5.5802     7.4689
7.1425     5.5211     7.3672
7.1319     5.4931     7.297
7.1331     5.467      7.2549
7.1332     5.4419     7.1414
7.141      5.4073     7.0538
7.147      5.3815     6.9978
7.1724     5.3421     6.8912
7.174      5.3025     6.7678
7.1692     5.2948     6.6937
7.1739     5.2674     6.6135
7.1678     5.2766     6.5538
7.1713     5.2914     6.5451
7.1923     5.2872     6.4342
7.221      5.337      6.3423

































































































































































6.6749     9.8385     6.9546     ROSTRUM
6.58       9.8327     7.1147
6.5099     9.809      7.2445
6.4831     9.7422     7.3583
6.4613     9.7294     7.4855
6.455      9.657      7.6037
6.4739     9.5915     7.7364
6.4992     9.5224     7.8702
6.5437     9.4402     7.972
6.5943     9.3879     8.0835
6.6215     9.3095     8.1523
6.6567     9.2063     8.2787
6.6511     9.1434     8.4075
6.6612     9.108      8.4887
6.6327     9.0773     8.6181
6.5712     9.082      8.7187
6.4656     9.0269     8.9035
6.4069     9.002      8.9539
6.3693     8.9551     9.0586
6.3706     8.8932     9.1322
6.3408     8.8518     9.2798
6.3683     8.8535     9.3896
6.4939     8.7567     9.6071
6.678      8.541      9.7549
6.6934     8.4935     9.747
6.8024     8.3446     9.8676
6.889      8.1788     9.9917
6.9175     8.1373     10.0636
6.9887     8.0327     10.202
7.0203     7.975      10.2685
7.0427     7.9064     10.3372
7.104      7.794      10.4396
7.1224     7.7577     10.5255
7.1883     7.6353     10.6497
7.2006     7.6372     10.6974
7.222      7.6156     10.737
7.2437     7.6044     10.7545
7.3061     7.5248     10.811
7.3563     7.4271     10.7939
7.3942     7.3611     10.7611
7.5016     7.327      10.7564
7.5568     7.3192     10.7411
7.6105     7.2998     10.7147
7.6642     7.309      10.6618
7.7199     7.265      10.5112
7.7798     7.2493     10.4415
7.8722     7.1784     10.3466
7.93       7.1252     10.2269
8.0321     7.0989     10.168
8.1097     7.0524     10.0628
8.2008     7.0391     10.0429
8.2658     6.9897     9.957
8.3859     6.8891     9.8189
8.4505     6.865      9.732
8.5548     6.7986     9.7123
8.5613     6.7555     9.648
8.6857     6.6669     9.5843
8.721      6.6463     9.5116
8.7997     6.568      9.4493
8.8303     6.5142     9.3414
8.8941     6.495      9.2603
8.9741     6.5247     9.1731
9.0444     6.512      9.0871
9.0867     6.5465     8.9737
9.1099     6.6667     8.8952
9.145      6.7126     8.772
9.1396     6.7645     8.6632
9.1538     6.8224     8.5599
9.1969     6.8514     8.4444
9.2382     6.8293     8.3473
9.2847     6.7808     8.2931
9.3446     6.7938     8.1971
9.4439     6.7539     8.0796
9.4843     6.7299     8.0047
9.5744     6.713      7.8972
9.6381     6.7141     7.7705
9.7208     6.7229     7.6271
9.7865     6.7391     7.4921
9.8088     6.7471     7.3583
9.7649     6.7403     7.2919
9.7694     6.7694     7.175
9.7604     6.813      7.0829
9.7583     6.8894     6.9975
9.7668     6.9345     6.9339
9.7617     7.0173     6.8458



















































































































6.3094     10.9234    11.2861    SUPORB
6.3265     10.9055    11.3841
6.3432     10.8712    11.5218
6.3714     10.8506    11.6571
6.3939     10.8181    11.7191
6.409      10.8161    11.8551
6.4202     10.77      11.9373
6.4648     10.7192    12.0719
6.5059     10.6794    12.1855
6.5543     10.5659    12.3011
6.5963     10.456     12.3884
6.6621     10.3408    12.4563
6.7077     10.2387    12.5348
6.7801     10.1019    12.6005
