NMNH       164578     laj42ms.xls























































































































9.2571     8.0792     8.0397     L-PM/MAX
9.2262     8.0123     7.9778
9.2309     7.9607     7.9111
9.2015     7.8973     7.8389
9.2203     7.837      7.7683
9.2564     7.775      7.6337
9.2872     7.712      7.553
9.3094     7.6577     7.4622
9.3128     7.6173     7.3612
9.3126     7.5256     7.2535
9.3213     7.4727     7.1403
9.3005     7.4157     7.0732
9.2669     7.367      6.9724
9.2119     7.2685     6.8713
9.1861     7.2042     6.7349
9.194      7.1549     6.5994
9.2278     7.1207     6.5218
9.2527     7.0449     6.4185
9.2665     7.0036     6.3149
9.274      6.9809     6.2519
9.2602     6.9323     6.157
9.2788     6.8884     6.0786
9.2928     6.8239     6.004
9.3509     6.7924     5.9345
9.398      6.794      5.8755
9.456      6.821      5.8088
9.4631     6.87       5.6942
9.4697     6.9495     5.6002












































































































































































9.014      10.4665    5.7555     ROSTRUM
8.9273     10.4589    5.8927
8.8255     10.3976    6.0449
8.8019     10.3574    6.1327
8.7946     10.3216    6.2441
8.7935     10.2587    6.3265
8.7992     10.219     6.4
8.8317     10.1445    6.462
8.8389     10.0716    6.5008
8.8507     10.01      6.5639
8.8636     9.9356     6.6464
8.8476     9.8733     6.7243
8.8355     9.8445     6.7979
8.8078     9.8078     6.902
8.7975     9.7791     6.9621
8.7593     9.7483     7.0085
8.7264     9.6868     7.0937
8.6592     9.665      7.1898
8.6084     9.5719     7.2619
8.6048     9.5165     7.3075
8.6194     9.4821     7.3871
8.603      9.4531     7.4427
8.6011     9.3907     7.5129
8.5668     9.27       7.5719
8.5358     9.2717     7.6836
8.5713     9.2273     7.7846
8.643      9.0885     7.8282
8.7033     9.0146     7.8498
8.7717     8.9194     7.8856
8.8387     8.8284     7.9346
8.8744     8.738      7.9223
8.9273     8.6925     7.9889
8.9686     8.5913     8.0678
9.0014     8.5474     8.1562
9.0078     8.5085     8.1894
9.0176     8.4732     8.2124
9.0398     8.4318     8.2516
9.0602     8.3779     8.2622
9.1122     8.2947     8.2604
9.1762     8.2605     8.2812
9.2505     8.21       8.2618
9.3468     8.1725     8.2172
9.4339     8.1286     8.1075
9.526      8.0771     7.9774
9.6019     8.0369     7.9153
9.6971     7.978      7.9033
9.7437     7.9063     7.836
9.7973     7.8667     7.7876
9.8703     7.7954     7.728
9.96       7.7634     7.6726
10.0778    7.7263     7.6116
10.1328    7.6832     7.5652
10.1882    7.6329     7.561
10.1977    7.5866     7.5391
10.2552    7.4911     7.4987
10.3513    7.4637     7.4555
10.5368    7.698      7.2026
10.6017    7.7648     7.0539
10.6539    7.8076     6.9806
10.7199    7.811      6.9166
