AMNH       52665      CA14MS.XLS


































15.2819    10.1029    -8.5732    SUPORB
15.2773    10.1409    -8.7077
15.2757    10.1637    -8.8946
15.1953    10.1842    -9.1065
15.0826    10.2408    -9.3501
14.9237    10.2873    -9.5593
14.7091    10.364     -9.7331
14.4333    10.4794    -9.9119
14.1836    10.5637    -10.0345
13.8953    10.7455    -10.1466
13.6263    10.9785    -10.316
13.3755    11.1328    -10.4079
12.9736    11.3796    -10.4655
12.6631    11.4853    -10.4263
12.4527    11.5625    -10.3848
12.1981    11.7535    -10.2397
12.0044    11.9321    -10.1691
11.8726    12.1621    -10.2258
11.8463    12.3407    -10.3128
11.8138    12.3724    -10.3391
11.7491    12.5842    -10.4146
11.661     12.8235    -10.4234
11.5978    13.0276    -10.4209
11.4895    13.2686    -10.3687
11.3925    13.5592    -10.2725
11.324     13.7545    -10.1967
11.2617    13.8733    -10.1437
11.0423    14.3982    -9.9383
11.0284    14.5035    -9.8976
11.0143    14.6138    -9.8251
11.0008    14.7727    -9.76
10.9932    14.9271    -9.6337
10.9796    15.1031    -9.4344
10.9582    15.2289    -9.1615
10.9503    15.2678    -9.0409
10.8749    15.3026    -8.8779
10.8532    15.3233    -8.7128



































































































































































13.0679    10.8408    -7.5291    RORBIT
13.1986    10.7037    -7.4693
13.5104    10.5475    -7.4366
13.6517    10.4242    -7.4985
13.8688    10.2964    -7.6107
14.0162    10.248     -7.7112
14.177     10.2186    -7.852
14.3074    10.1389    -8.0498
14.3898    10.132     -8.2494
14.4325    10.0963    -8.4358
14.4628    10.091     -8.6214
14.4064    10.0675    -8.7965
14.3292    10.0782    -8.9774
14.2557    10.0786    -9.1227
14.1391    10.118     -9.2748
14.088     10.1443    -9.3416
13.9786    10.1444    -9.4288
13.9579    10.1635    -9.4022
13.8055    10.2937    -9.4768
13.6596    10.3621    -9.5299
13.5099    10.488     -9.5639
13.3537    10.603     -9.5744
13.243     10.7288    -9.5718
13.1167    10.8132    -9.5555
12.9944    10.9204    -9.528
12.8675    10.992     -9.5177
12.7779    11.1333    -9.549
12.7839    11.0667    -9.6064
12.7311    11.1239    -9.6484
12.6739    11.2797    -9.5532
12.5492    11.4156    -9.4491
12.4009    11.5472    -9.3062
12.3761    11.5833    -9.1316
12.3107    11.6051    -8.9547
12.2432    11.5953    -8.7616
12.2253    11.5548    -8.5649




































































































































































11.1666    13.096     -7.4625    LORBIT
11.099     13.2252    -7.444
10.9988    13.4485    -7.4214
10.9419    13.6073    -7.4355
