NMNH       481745     cta3ms.xls
15.6258    14.3133    9.027      IN
13.0431    11.8961    12.2163    BR
9.6817     8.9466     10.5835    GL
9.5322     8.8695     10.1205    NA
8.415      7.8782     7.9071     RH
7.651      7.2404     6.01       NS
7.4574     7.0975     5.6603     PR
7.159      7.6355     5.658      R_PR2
8.7187     8.4606     8.3656     R_PMS
8.3436     11.533     7.1148     R_ZMI
8.4645     10.0008    8.3969     R_ZMU
9.42       9.1705     9.1608     R_DA
8.9044     10.5425    10.6152    R_MTI
9.1166     10.7195    10.9235    R_MTS
8.3503     11.3362    9.586      R_FMO
8.3744     11.7512    9.533      R_FMT
11.4043    14.7461    8.1782     R_PO
8.4647     12.541     7.5592     R_ZTS
7.9848     6.6812     5.7234     L_PR2
9.053      8.144      8.4167     L_PMS
11.9781    7.5596     6.8063     L_ZMI
10.5389    7.7313     8.2436     L_ZMU
9.8719     8.7478     9.1839     L_DA
11.2499    7.9675     10.4433    L_MTI
11.4686    8.2124     10.8306    L_MTS
11.902     7.4251     9.2639     L_FMO
12.3409    7.4403     9.4454     L_FMT
15.4448    10.2706    7.8957     L_PO
13.1021    7.5724     7.2685     L_ZTS
8.3245     6.7919     6.1261     O1
12.6193    7.3345     7.1483     O2
16.0474    10.5104    8.3988     O3
15.9777    13.4838    10.2112    O4
Don't Forget the Fossa Points






































































































































































9.6556     8.9782     10.6538    GLRH
9.6185     8.9575     10.5008
9.5912     8.9446     10.3965
9.5622     8.9051     10.2275
9.5131     8.8749     10.1075
9.4806     8.8336     9.9647
9.3685     8.7461     9.7931
9.3425     8.718      9.6481
9.2978     8.6462     9.502
9.2652     8.625      9.387
9.2427     8.5664     9.2487
9.2014     8.5373     9.0753
9.1546     8.4903     8.9457
9.1028     8.4555     8.835
9.0735     8.434      8.7507
9.0072     8.3692     8.6366
8.9584     8.3319     8.5671
8.9091     8.2848     8.5032
8.844      8.2209     8.3801
8.7895     8.187      8.335
8.706      8.1153     8.2634
8.6669     8.0867     8.2262
8.6223     8.0457     8.1819
8.583      7.9958     8.1252
8.5415     7.9442     8.0691
8.5045     7.9461     8.0465
8.4704     7.9075     7.9976
8.4415     7.8808     7.9559
8.4201     7.8678     7.9209
8.4123     7.8382     7.8739










































































































































































8.3947     7.8821     7.8766     NOSE
8.3814     7.9415     7.8989
8.3663     7.9871     7.9783
8.284      8.035      7.9205
8.221      8.0441     7.8544
8.16       8.0571     7.808
8.1595     8.0595     7.7128
8.1506     8.0817     7.6801
8.1717     8.1597     7.6604
8.2071     8.228      7.6728
8.2272     8.2782     7.6387
8.1357     8.2941     7.5779
8.0669     8.2772     7.4332
7.9928     8.2992     7.3696
7.9542     8.3262     7.2583
7.939      8.3073     7.0837
7.8999     8.2839     7.0013
7.8793     8.247      6.8929
7.8133     8.1891     6.8267
7.7766     8.1289     6.7027
7.7684     8.024      6.5723
7.7405     7.9597     6.5233
7.7048     7.8446     6.4506
7.6818     7.7483     6.3947
7.6798     7.6453     6.3363
7.6573     7.5577     6.267
7.6783     7.482      6.1887
7.6832     7.3799     6.1068
7.6924     7.3592     6.066
7.706      7.3038     6.06
7.7185     7.2651     6.0262
7.7546     7.1566     6.0267
7.8194     7.1198     6.0939
7.8847     7.091      6.1611
7.9329     7.0837     6.2187
8.0077     7.0729     6.2543
8.0976     7.0949     6.3205
8.4795     7.1732     6.5215
8.521      7.199      6.5694
8.5946     7.2379     6.6301
8.6431     7.2316     6.7023
8.6926     7.2709     6.7879
8.7084     7.2735     6.8841
8.7429     7.3106     6.9524
8.7666     7.3032     7.0505
8.7985     7.3366     7.1203
8.8044     7.3618     7.1876
8.8071     7.4011     7.3242
8.8163     7.452      7.4583
8.8294     7.4709     7.4948
8.8226     7.4991     7.5228
8.8186     7.5703     7.6162
8.82       7.5705     7.657
8.8319     7.6085     7.7316
8.8426     7.6263     7.7579
8.8226     7.6551     7.7975
8.6883     7.6451     7.7435
8.6151     7.6681     7.7319
8.5611     7.6947     7.8101
8.5506     7.7536     7.8867
8.5318     7.7575     7.9416
8.4784     7.792      7.9158
8.4153     7.8358     7.879









































































































































7.723      7.2809     6.0375     NASP-PR
7.6435     7.2279     6.0154
7.5537     7.1697     5.9571
7.503      7.1154     5.8818
7.4614     7.0913     5.8413
7.4415     7.0836     5.7631
7.4294     7.0777     5.6823

































































































































































































8.6236     8.4225     8.2646     R-PM/MAX
8.5491     8.4453     8.175
8.4448     8.4497     8.0817
8.3789     8.4596     7.9537
8.2995     8.4344     7.8334
8.2186     8.4473     7.7174
8.1295     8.4305     7.5879
8.0809     8.4319     7.4824
7.9787     8.4524     7.3289
7.9254     8.4283     7.19
7.8503     8.4464     7.0364
7.7516     8.4587     6.9449
7.6593     8.4224     6.7946
7.5721     8.4512     6.6998
7.469      8.4223     6.5505
7.3965     8.4152     6.4524
7.3275     8.4521     6.3858
7.2717     8.4166     6.2452
7.2332     8.4051     6.1753
7.1848     8.4167     6.0824
7.152      8.4166     6.0087
7.1264     8.3903     5.9209
7.144      8.4133     5.8179

















































































































































































9.0906     8.168      8.4409     L-PM/MAX
9.1029     8.0852     8.3628
9.088      7.987      8.2539
9.0762     7.8457     8.1205
9.0139     7.7869     7.9571
8.9956     7.671      7.8104
9.019      7.5941     7.6546
9.0056     7.5276     7.5401
8.9966     7.4275     7.3797
9.0613     7.3587     7.2395
8.9649     7.2836     7.0384
8.942      7.2361     6.9132
8.9197     7.1425     6.7809
8.9202     7.0278     6.605
8.8936     6.9473     6.5208
8.885      6.8518     6.3328
8.892      6.8        6.2161
8.8745     6.7253     6.0861
8.8898     6.6853     6.017
8.8581     6.6668     5.9477
8.8294     6.6285     5.871
8.8224     6.6022     5.7917
8.8361     6.6284     5.7096
8.8665     6.6573     5.6463
















































































































































































8.4331     10.5695    6.0287     ROSTRUM
8.3856     10.5394    6.1178
8.3456     10.4746    6.3567
8.3499     10.3961    6.4819
8.3623     10.337     6.5671
8.3856     10.3059    6.6439
8.4185     10.2688    6.7209
8.4617     10.2135    6.8018
8.5087     10.1208    6.9107
8.564      10.0356    6.9828
8.5968     9.9671     7.1021
8.617      9.8985     7.2022
8.6326     9.8502     7.2877
8.6274     9.8002     7.4361
8.6268     9.7643     7.5699
8.5879     9.7073     7.6682
8.6461     9.6085     7.7834
8.6542     9.55       7.8656
8.6004     9.4579     8.0288
8.6023     9.3916     8.1269
8.6503     9.3124     8.2054
8.7033     9.2581     8.2477
8.7808     9.1534     8.2959
8.829      9.0579     8.3591
