NMNH       220371     ctt31ms.xls
16.8691    15.5298    10.3067    IN
14.6425    13.4718    12.219     BR
10.9665    10.0463    10.6155    GL
10.8763    9.9923     10.4233    NA
9.4772     8.741      8.1669     RH
8.6626     8.1115     6.3669     NS
8.372      7.9006     5.5206     PR
8.089      8.424      5.5331     R_PR2
9.9616     9.6597     8.7559     R_PMS
9.1939     12.4429    6.8291     R_ZMI
9.6492     11.0687    8.4202     R_ZMU
10.72      10.3915    9.3492     R_DA
10.2587    11.7413    10.5669    R_MTI
10.4504    11.8805    10.866     R_MTS
9.665      12.4484    9.2852     R_FMO
9.6723     12.9939    9.4109     R_FMT
13.1458    16.2106    8.3708     R_PO
9.4963     13.7309    7.3329     R_ZTS
8.8662     7.5255     5.5828     L_PR2
10.4772    9.1977     8.6793     L_PMS
13.2452    8.1577     6.5876     L_ZMI
11.7873    8.7781     8.3614     L_ZMU
11.2269    9.8675     9.5606     L_DA
12.599     9.1454     10.571     L_MTI
12.835     9.3588     10.8295    L_MTS
13.2052    8.5987     9.3323     L_FMO
13.7372    8.5751     9.364      L_FMT
17.1041    11.5376    8.2551     L_PO
14.5549    8.3176     7.3996     L_ZTS
9.2308     7.4871     6.3223     O1
14.0668    8.0586     7.0339     O2
17.7779    12.5152    9.2611     O3
17.2446    15.0204    10.3317    O4







































































































































































10.9649    10.0675    10.6523    GLRH
10.907     10.0196    10.5292
10.8443    9.9646     10.3872
10.7947    9.9319     10.254
10.7416    9.8713     10.1037
10.7174    9.8396     9.978
10.6711    9.7912     9.8272
10.6201    9.7517     9.735
10.5503    9.7301     9.5843
10.5227    9.6707     9.4324
10.4578    9.6483     9.3435
10.4043    9.6045     9.2526
10.3528    9.5621     9.1536
10.2793    9.4983     9.0709
10.1985    9.442      8.9799
10.1307    9.409      8.9055
10.0734    9.3281     8.842
9.9706     9.2744     8.7564
