NMNH       220090     ctt24ms.xls
13.406     14.4683    13.4759    IN
11.1671    11.4579    14.6688    BR
7.847      7.6083     12.4357    GL
7.7562     7.5315     12.0784    NA
6.5393     6.0672     9.0808     RH
6.2125     5.7196     6.9139     NS
6.0765     5.4979     5.8854     PR
5.5825     6.1135     6.0885     R_PR2
7.2489     7.1517     10.5188    R_PMS
6.4122     10.3539    8.1927     R_ZMI
6.6261     8.7345     9.9579     R_ZMU
7.7281     8.0276     11.0405    R_DA
6.6107     9.2323     12.3429    R_MTI
6.7934     9.3224     12.8218    R_MTS
6.1753     10.0558    11.2892    R_FMO
6.2061     10.6428    11.4123    R_FMT
9.3367     14.7181    10.8299    R_PO
6.0581     11.5706    9.3739     R_ZTS
6.7236     5.2075     6.0745     L_PR2
7.5471     6.8479     10.3394    L_PMS
10.8551    6.5532     8.2858     L_ZMI
9.2534     6.553      9.9272     L_ZMU
8.3206     7.6158     10.9647    L_DA
9.7509     6.6744     12.3888    L_MTI
10.0199    6.8737     12.7757    L_MTS
10.6632    6.4377     11.3949    L_FMO
11.1788    6.6861     11.5641    L_FMT
14.6416    10.4855    10.7419    L_PO
12.1977    6.5995     9.2934     L_ZTS
7.9555     5.3505     6.9995     O1
10.7153    6.1167     9.3792     O2
14.6647    11.1509    12.1417    O3
13.5332    13.8263    13.5482    O4







































































































































































7.806      7.607      12.3193    GLRH
7.7727     7.5329     12.118
7.7217     7.5035     12.0063
7.6957     7.4808     11.8884
7.6801     7.4423     11.7937
7.6674     7.403      11.6744
7.6315     7.3607     11.5404
7.6004     7.3308     11.4034
7.5683     7.2623     11.229
7.5084     7.213      11.0812
7.4615     7.1371     10.9555
7.4524     7.1013     10.8453
7.3589     7.0471     10.7259
7.3264     6.9594     10.5521
7.2552     6.9299     10.4641
7.2289     6.8513     10.3546
7.1311     6.7798     10.2539
7.0505     6.6664     10.0427
6.9609     6.559      9.8881
6.8966     6.4911     9.8061
6.7788     6.3968     9.6663
6.7299     6.3008     9.5725
6.6567     6.2404     9.4523
6.6073     6.1611     9.3381
6.5823     6.1249     9.2174
6.5574     6.0876     9.0971
6.5383     6.074      9.026













































































































































































6.4979     6.0946     9.0172     NOSE
6.4451     6.1441     9.0165
6.3749     6.3107     9.0791
6.3512     6.3614     9.0525
6.327      6.4087     8.9828
6.3109     6.4246     8.94
6.3184     6.4603     8.8659
6.334      6.4707     8.8298
6.3248     6.5025     8.8515
6.3414     6.5451     8.8874
6.343      6.5855     8.9765
6.276      6.6105     8.7421
6.2227     6.621      8.6106
6.1739     6.5965     8.5398
6.1569     6.5868     8.3819
6.1389     6.5864     8.3105
6.1137     6.5792     8.1989
6.0872     6.5687     8.0635
6.0557     6.5253     7.8727
6.0331     6.4975     7.7958
6.0376     6.4402     7.7283
6.0183     6.379      7.6247
5.9755     6.202      7.439
5.9547     6.1283     7.3609
5.9615     5.9574     7.1659
5.9854     5.8892     7.0874
6.0531     5.8035     7.0132
6.1683     5.7209     6.8938
6.1939     5.7134     6.889
6.2879     5.6278     6.9926
6.3285     5.5959     7.0695
6.4628     5.5515     7.2029
6.5902     5.5333     7.3507
6.7092     5.5665     7.4547
6.7647     5.576      7.5302
6.8063     5.6024     7.5835
6.8475     5.6398     7.6436
6.9391     5.6947     7.8126
6.9706     5.746      7.9262
6.9909     5.7783     8.101
7.0155     5.8178     8.241
6.9888     5.8394     8.3724
7.0306     5.8526     8.5809
7.0131     5.8993     8.663
7.0052     5.9363     8.7225
6.9942     5.9531     8.7645
6.99       5.952      8.8424
7.0254     5.9494     8.8812
7.0305     5.9543     8.9339
6.9687     5.9514     8.9056
6.8993     5.9322     8.9236
6.8404     5.9344     8.9458
6.7941     5.9215     8.9579
6.7437     5.9499     9.007
6.6993     5.9626     9.0563
6.6726     5.9867     9.0579
6.5737     6.0624     9.04















































































