NMNH       481748     cta6ms.xls
17.5801    15.5542    9.9034     IN
14.7303    12.9714    12.6885    BR
10.6082    9.4558     10.7691    GL
10.5525    9.3196     10.3703    NA
9.4003     8.2387     8.5519     RH
8.4337     7.4207     6.5015     NS
8.1722     7.2517     5.5597     PR
7.8553     7.9398     5.6205     R_PR2
9.3646     8.9245     8.6547     R_PMS
9.3251     12.1087    7.0927     R_ZMI
9.4228     10.8453    8.863      R_ZMU
10.6745    9.8551     10.2092    R_DA
9.8313     11.6015    10.9902    R_MTI
10.2037    11.8559    11.3174    R_MTS
9.4071     12.3912    9.6982     R_FMO
9.5134     13.1215    9.7759     R_FMT
13.1082    16.1259    8.0071     R_PO
9.4527     13.661     7.4909     R_ZTS
8.7935     6.7948     5.5627     L_PR2
10.1457    8.2505     8.8728     L_PMS
13.1623    7.5889     7.1826     L_ZMI
12.069     8.0584     8.926      L_ZMU
11.1523    9.456      10.2863    L_DA
12.4844    8.4977     11.118     L_MTI
12.795     8.7286     11.4179    L_MTS
13.4464    7.8537     9.7264     L_FMO
14.1776    7.8667     9.936      L_FMT
17.5074    10.9965    8.0175     L_PO
14.798     7.7206     7.609      L_ZTS
10.1591    6.7648     6.5679     O1
13.4781    7.2699     7.6242     O2
18.0289    11.229     8.7403     O3
17.9661    14.8987    10.1575    O4







































































































































































10.634     9.4672     10.8466    GLRH
10.5982    9.3992     10.6717
10.5687    9.3861     10.5123
10.5295    9.3527     10.3663
10.5009    9.3177     10.2096
10.4495    9.2326     10.0629
10.4167    9.1652     9.9
10.3281    9.1249     9.7552
10.2552    9.028      9.5626
10.1576    8.9409     9.4377
10.077     8.8841     9.3476
9.9678     8.7985     9.2251
9.9108     8.738      9.1625
9.7184     8.5878     8.9949
9.6477     8.5025     8.9092
9.5666     8.4453     8.8423
9.5303     8.3996     8.7969
9.4754     8.3469     8.7349
9.3974     8.2773     8.6396
9.3842     8.2532     8.6158
9.3757     8.2399     8.5604



















































































































































































9.3669     8.2798     8.61       NOSE
9.3205     8.3603     8.5968
9.2641     8.402      8.5696
9.1915     8.4393     8.5348
9.1148     8.4752     8.4379
9.0576     8.5067     8.328
8.9633     8.5588     8.2107
8.9111     8.5647     8.0715
8.8383     8.5457     8.0028
8.7336     8.5502     7.8009
8.6788     8.505      7.6818
8.6396     8.4714     7.5176
8.5851     8.4331     7.3765
8.5323     8.3908     7.2881
8.4808     8.313      7.1528
8.4114     8.2445     7.0504
8.3571     8.1588     6.9681
8.3393     8.0672     6.9023
8.3096     7.8781     6.7885
8.2933     7.7688     6.7248
8.2762     7.6827     6.6475
8.2952     7.5919     6.576
8.3049     7.4847     6.5089
8.3551     7.3668     6.4248
8.3917     7.3372     6.4548
8.511      7.2201     6.5413
8.6095     7.1741     6.6228
8.6955     7.1665     6.7219
8.7729     7.1688     6.8103
8.8402     7.1557     6.8524
8.9571     7.2093     6.9267
9.0615     7.2364     6.9886
9.1391     7.2596     7.0556
9.213      7.3005     7.1302
9.2992     7.3207     7.1966
9.3638     7.3457     7.3165
9.4455     7.4177     7.4393
9.5044     7.5091     7.6264
9.5431     7.574      7.7153
9.5899     7.6265     7.8704
9.6002     7.6818     8.0079
9.6137     7.7203     8.095
9.6071     7.7807     8.1942
9.5573     7.9195     8.3121
9.5599     7.9524     8.4146
9.5816     8.0136     8.4033
9.5252     8.0898     8.4762
9.4973     8.1567     8.5365
9.3962     8.2196     8.5448
9.3996     8.2643     8.5502
9.3681     8.2854     8.6051















































































































