NMNH       218844     ctt21ms.xls
15.6062    14.7434    13.5183    IN
12.5387    11.9664    14.8521    BR
9.099      8.7923     11.7854    GL
9.0035     8.7093     11.2868    NA
7.8338     7.6675     8.7778     RH
7.1646     7.0537     6.5104     NS
7.091      6.9254     5.3363     PR
6.5824     7.5579     5.4854     R_PR2
8.161      8.5687     9.5276     R_PMS
8.035      12.0959    8.3011     R_ZMI
8.292      10.4478    9.9999     R_ZMU
9.1112     9.3887     10.9923    R_DA
8.2518     10.838     12.0953    R_MTI
8.4772     11.0164    12.6129    R_MTS
8.0476     11.7163    11.1056    R_FMO
8.0118     12.4996    11.3859    R_FMT
11.9888    15.7375    11.2031    R_PO
8.1392     13.3262    9.2669     R_ZTS
7.7172     6.4951     5.4173     L_PR2
8.8006     7.9063     9.584      L_PMS
12.4125    7.3853     8.3327     L_ZMI
10.6218    7.807      10.1224    L_ZMU
9.7207     8.7499     10.9647    L_DA
10.8706    7.8938     12.2796    L_MTI
11.1504    8.0198     12.8147    L_MTS
11.845     7.425      11.3609    L_FMO
12.5426    7.3119     11.6624    L_FMT
16.209     10.8875    11.3867    L_PO
13.4435    7.2248     9.5954     L_ZTS
7.8746     6.2508     6.2911     O1
12.3954    6.9697     9.08       O2
16.2184    11.4633    12.7202    O3
15.5336    14.137     13.7074    O4







































































































































































9.0818     8.8006     11.7882    GLRH
9.06       8.7763     11.6654
9.0476     8.7389     11.5551
9.0118     8.7348     11.4486
8.9938     8.73       11.2697
8.9599     8.6902     11.1756
8.9372     8.659      11.0549
8.8907     8.6354     10.905
8.8742     8.6058     10.8054
8.8079     8.5768     10.6653
8.7586     8.5288     10.5556
8.722      8.469      10.4224
8.6656     8.4356     10.2807
8.5946     8.3575     10.1457
8.5174     8.3006     10.0428
8.4606     8.2384     9.9177
8.3454     8.1608     9.7657
8.2887     8.1177     9.6787
8.2342     8.0523     9.5962
8.1834     7.9939     9.5323
8.1467     7.9179     9.4575
8.1138     7.8486     9.3611
8.084      7.8118     9.2677
8.0257     7.7639     9.1836
