AMNH       52480      ca18ms.xls
14.0935    15.4845    -8.5104    IN
11.7861    12.349     -11.0409   BR
9.3454     9.4967     -8.8235    GL
9.1627     9.246      -7.4693    NA
8.7604     8.5916     -6.3598    RH
8.523      8.1464     -4.7641    NS
8.3704     8.0108     -4.1823    PR
9.0427     7.8282     -4.1458    R_PR2
9.1864     8.9188     -6.7942    R_PMS
11.6871    8.733      -5.251     R_ZMI
10.6073    8.7648     -6.5141    R_ZMU
9.6672     9.4622     -7.4274    R_DA
10.5816    9.0369     -8.7076    R_MTI
10.7662    9.1577     -9.222     R_MTS
11.7761    8.6011     -7.7113    R_FMO
12.2702    8.7614     -7.5672    R_FMT
14.6391    11.7484    -7.1444    R_PO
12.7768    8.9783     -5.8432    R_ZTS
7.8888     8.5258     -4.1791    L_PR2
8.8067     9.0996     -6.7437    L_PMS
8.2054     11.5796    -5.177     L_ZMI
8.3363     10.5609    -6.4507    L_ZMU
9.1971     9.7807     -7.6266    L_DA
8.5921     10.63      -8.7094    L_MTI
8.7085     10.7162    -9.3044    L_MTS
7.9045     11.6817    -7.6091    L_FMO
7.921      12.214     -7.5637    L_FMT
10.2428    15.1262    -7.1028    L_PO
8.1141     12.8794    -5.7616    L_ZTS
8.7178     7.6091     -3.877     O1
7.7631     11.99      -5.5046    O2
10.4023    15.5802    -7.6047    O3
13.3718    15.9475    -9.0126    O4







































































































































































9.3557     9.512      -8.8826    GLRH
9.3252     9.4634     -8.6929
9.3215     9.4447     -8.4734
9.3037     9.3546     -8.2465
9.2888     9.3028     -8.079
9.2516     9.2631     -7.8676
9.2234     9.2466     -7.6537
9.2122     9.192      -7.3763
9.1836     9.1245     -7.1669
9.1147     9.0244     -6.976
8.9842     8.8694     -6.7566
8.9277     8.7564     -6.6097
8.8933     8.6771     -6.534
8.8254     8.6539     -6.4621
8.7829     8.6158     -6.4148
8.8179     8.5629     -6.3629
























































































































































































8.7318     8.6187     -6.3668    NOSE
8.8094     8.5745     -6.3356
8.8902     8.5416     -6.3433
8.9163     8.4684     -6.295
8.9424     8.4035     -6.2063
8.9898     8.3668     -6.1575
9.0594     8.3853     -6.0798
9.1008     8.3657     -5.9888
9.1537     8.3347     -5.8483
9.15       8.3248     -5.709
9.1339     8.2638     -5.5739
9.0875     8.2769     -5.486
9.0331     8.2216     -5.3519
8.9119     8.1944     -5.2179
8.8158     8.185      -5.0956
8.7338     8.152      -4.9763
8.6443     8.1198     -4.89
8.5672     8.1335     -4.7985
8.5334     8.1582     -4.7855
8.4496     8.2622     -4.8086
8.4227     8.3566     -4.9175
8.3835     8.4404     -5.0724
8.3978     8.6209     -5.2359
8.3838     8.7204     -5.3356
8.4185     8.8008     -5.4491
8.4071     8.8735     -5.6549
8.4338     8.8707     -5.8058
8.4516     8.8645     -5.9228
8.4671     8.8414     -6.0102
8.4599     8.8277     -6.0813
8.4875     8.7818     -6.1071
8.5205     8.7453     -6.1115
8.5579     8.7234     -6.2019
8.5898     8.723      -6.2261
8.6283     8.7043     -6.276
8.706      8.7045     -6.3048
8.7328     8.674      -6.3065
8.786      8.6133     -6.2801


































































































































































8.5445     8.2116     -4.7792    NASP-PR
8.4842     8.1398     -4.7313
8.4256     8.0632     -4.6363
8.3793     8.0166     -4.538
8.3563     8.012      -4.3953
8.3519     8.0239     -4.31
8.3623     8.0193     -4.2106

































































































































































































9.1756     8.892      -6.7663    R-PM/MAX
9.151      8.805      -6.6615
9.2051     8.7026     -6.518
9.2515     8.5998     -6.3688
9.3127     8.4946     -6.1519
9.3198     8.4117     -5.8626
9.3771     8.3621     -5.6742
9.4099     8.287      -5.4665
9.4399     8.2043     -5.2545
9.4597     8.1227     -5.082
9.5265     8.0636     -4.9236
9.5231     8.0171     -4.7541
9.5847     7.9448     -4.6083
9.6493     7.9074     -4.498
9.6526     7.9046     -4.414
9.6702     7.9123     -4.2915
























































































































































































8.7885     9.0772     -6.7797    L-PM/MAX
8.7087     9.0474     -6.6528
8.6464     8.9906     -6.5562
8.5272     8.9842     -6.3868
8.4695     9.04       -6.2151
8.4197     9.026      -6.0232
8.3442     9.0657     -5.8276
8.307      9.0935     -5.6195
8.2142     9.1048     -5.4371
8.1383     9.0896     -5.2294
8.0391     9.0476     -5.0183
7.975      9.0404     -4.8597
7.9098     9.0731     -4.7061
7.8634     9.0719     -4.6037
7.8003     9.0616     -4.4752
7.828      9.0996     -4.3645
7.86       9.0905     -4.2697























































































































































































