NMNH       164579     laj43ms.xls
13.5537    13.0348    9.2265     IN
11.1212    10.7374    11.8737    BR
7.7425     7.6419     10.4473    GL
7.5905     7.4254     9.9307     NA
6.4884     6.1933     8.0801     RH
5.7305     5.4214     6.216      NS
5.7101     5.3694     5.8514     PR
5.3665     5.9181     5.8612     R_PR2
7.3392     7.283      9.4689     R_PMS
6.4661     9.6838     6.5434     R_ZMI
6.6207     8.6544     8.4922     R_ZMU
7.5399     7.8623     9.6478     R_DA
7.0256     9.2099     10.3517    R_MTI
7.2507     9.3865     10.6466    R_MTS
6.6387     10.0263    9.0488     R_FMO
6.6687     10.6419    8.9827     R_FMT
9.5841     13.0999    7.8121     R_PO
6.543      10.8731    6.9618     R_ZTS
6.2748     5.0588     5.7218     L_PR2
7.5731     7.1706     9.4793     L_PMS
10.0817    5.7508     6.7983     L_ZMI
8.6861     6.3909     8.6637     L_ZMU
7.9938     7.3335     9.5226     L_DA
9.3067     6.6727     10.4689    L_MTI
9.4989     6.9537     10.7851    L_MTS
10.1764    6.1389     9.2887     L_FMO
10.7696    6.1294     8.998      L_FMT
13.4579    8.703      8.1343     L_PO
11.3025    5.9849     7.3939     L_ZTS
6.5241     4.9557     6.2591     O1
9.3583     5.7522     8.3073     O2
13.6754    9.0242     8.7667     O3
12.1177    13.7407    9.8401     O4
Don't Forget the Fossa Points






































































































































































7.6941     7.6365     10.3496    GLRH
7.6573     7.5581     10.2929
7.6411     7.5371     10.1735
7.612      7.482      10.0729
7.546      7.3996     9.8634
7.4803     7.3499     9.7386
7.4223     7.2838     9.571
7.3967     7.2173     9.4235
7.3674     7.1904     9.3178
7.3226     7.147      9.145
7.2822     7.0949     9.0665
7.2079     7.0319     8.9159
7.1689     6.981      8.8275
7.1356     6.9362     8.7579
7.0949     6.8756     8.6929
7.0358     6.8215     8.6226
7.0028     6.7711     8.5654
6.934      6.696      8.5117
6.891      6.641      8.461
6.7803     6.5406     8.3615
6.6901     6.4651     8.3161
6.6541     6.4064     8.273
6.5799     6.3556     8.2411
6.5622     6.3266     8.199
6.5157     6.2874     8.157
6.4754     6.257      8.1327
6.4822     6.2292     8.114













































































































































































9999       9999       9999       NOSE
6.1854     6.5751     7.4604
6.1191     6.5655     7.3601
6.0735     6.5583     7.2989
6.0379     6.5557     7.2223
6.0056     6.529      7.1614
5.9637     6.4886     7.0588
5.9149     6.4366     6.9954
5.8872     6.4137     6.9545
5.8649     6.3647     6.8947
5.8448     6.3096     6.812
5.8201     6.2519     6.7759
5.8082     6.1705     6.7059
5.7825     6.1141     6.6592
5.7948     6.0445     6.6044
5.7968     5.9557     6.5351
5.7797     5.8956     6.4964
5.7659     5.8025     6.4476
5.7272     5.6823     6.4019
5.7391     5.621      6.3327
5.778      5.5282     6.2617
5.8121     5.4657     6.2639
5.8493     5.4111     6.3093
5.9667     5.3417     6.3959
6.0184     5.3257     6.4479
6.1164     5.3218     6.498
6.2292     5.3447     6.5393
6.3394     5.3369     6.6103
6.4552     5.3547     6.6506
6.539      5.3683     6.7338
6.6359     5.3793     6.8057
6.6731     5.3971     6.8468
6.76       5.4499     6.9554
6.8146     5.4882     7.0537
6.8609     5.5224     7.0795
6.896      5.5713     7.1587
6.9224     5.6444     7.2252
6.9412     5.709      7.2732
6.9376     5.7443     7.3446
6.9306     5.8163     7.4452
6.9293     5.8438     7.4948
6.946      5.8674     7.5757
6.917      5.8933     7.6556
6.9134     5.9246     7.7284
6.8716     5.9679     7.7769
6.8537     5.9707     7.7922
6.811      5.9649     7.8618
6.729      5.9674     7.9545
6.6126     6.0237     8.0115
6.5734     6.067      8.0147
6.5332     6.1251     8.0573
6.5162     6.1746     8.0528




















































































































































5.745      5.4529     6.236      NASP-PR
5.6955     5.3944     6.1755
5.6752     5.3682     6.1215
5.689      5.3618     6.0646
5.7202     5.3566     5.9947
5.7021     5.3598     5.9327
5.7018     5.3609     5.9217
5.7374     5.3758     5.8232
































































































































































































7.3367     7.3295     9.4806     R-PM/MAX
7.3065     7.2908     9.3961
7.2958     7.2641     9.2862
7.2814     7.2365     9.2192
7.2444     7.2119     9.1438
7.237      7.211      9.1229
7.1904     7.2037     9.0235
7.1448     7.187      8.937
7.0999     7.185      8.8577
7.0212     7.1703     8.7437
6.9841     7.1431     8.6576
6.927      7.1251     8.5831
6.8774     7.1055     8.4986
6.8081     7.0943     8.4252
6.6929     7.0665     8.2986
6.5882     7.0325     8.162
6.5265     6.9925     8.0948
6.3927     6.9653     7.9832
6.2992     6.9335     7.7947
6.2601     6.9117     7.7217
6.2188     6.8879     7.6601
6.1658     6.8834     7.6065
6.125      6.8603     7.5346
6.0805     6.8546     7.4804
6.02       6.8626     7.4155
5.9634     6.8534     7.3231
5.9273     6.8365     7.2502
5.8691     6.8122     7.1617
5.8409     6.8144     7.0936
5.7958     6.8129     6.9884
5.7461     6.8155     6.9353
5.703      6.8269     6.8491
5.6621     6.813      6.7972
5.6326     6.814      6.7306
5.5422     6.847      6.6169
5.4862     6.8538     6.5037
5.4532     6.8771     6.4231
5.3971     6.8854     6.3391
5.3517     6.8718     6.2785
5.3109     6.8949     6.2207
5.2981     6.8882     6.1743
5.2891     6.9073     6.1117
5.2853     6.9201     5.9497





























































































































































7.5241     7.0919     9.2906     L-PM/MAX
7.5055     7.0311     9.1881
7.5218     6.9922     9.0572
7.4939     6.957      9.001
7.4906     6.9007     8.9064
7.4702     6.837      8.8101
7.4724     6.7969     8.7123
7.4525     6.7284     8.6275
7.4362     6.6603     8.5277
7.4326     6.591      8.457
7.3901     6.487      8.3476
7.3656     6.3979     8.2238
7.3291     6.3103     8.1614
7.3074     6.2118     8.0457
7.2651     6.0743     7.912
7.2711     6.019      7.8301
7.2738     5.9391     7.715
7.231      5.84       7.6247
7.2255     5.7935     7.5477
7.1984     5.6772     7.4172
7.1826     5.581      7.258
7.2083     5.5192     7.154
7.1915     5.4501     7.047
7.1435     5.3206     6.8871
7.1304     5.2447     6.7838
7.1362     5.2081     6.7023
7.135      5.1329     6.6225
7.1459     5.1139     6.572
7.1319     5.0657     6.5099
7.139      4.9953     6.3963
7.129      4.9466     6.3257
7.1203     4.8933     6.2527
7.1132     4.8772     6.2015
7.1184     4.8503     6.1477
7.0837     4.8442     6.0292
7.069      4.8877     5.9404
7.0667     4.9165     5.8995
























