NMNH       220092     ctt25ms.xls
14.938     15.6207    13.4076    IN
11.6454    12.4922    14.6187    BR
8.7335     9.6022     11.7973    GL
8.5769     9.3878     11.169     NA
7.4761     8.18       8.6444     RH
6.9329     7.654      6.3554     NS
6.8338     7.5922     5.411      PR
6.4161     8.1532     5.5436     R_PR2
8.1059     9.2376     9.8439     R_PMS
9999       9999       9999       R_ZMI
7.6635     10.8666    9.5633     R_ZMU
8.5437     9.903      10.4496    R_DA
7.7146     11.079     11.7771    R_MTI
7.8817     11.2181    12.2096    R_MTS
7.2269     12.1478    10.9376    R_FMO
7.2531     12.6784    11.1253    R_FMT
10.9563    16.3874    10.8008    R_PO
9999       9999       9999       R_ZTS
7.4148     7.1898     5.5216     L_PR2
8.4033     8.7776     9.5931     L_PMS
11.8183    8.0517     7.9928     L_ZMI
10.001     8.4496     9.6111     L_ZMU
9.1535     9.4255     10.4651    L_DA
10.3092    8.3849     11.7895    L_MTI
10.5196    8.6263     12.2311    L_MTS
11.2126    8.0078     11.0289    L_FMO
11.7573    7.9473     11.1634    L_FMT
15.6215    11.5186    10.908     L_PO
13.0853    8.0747     9.4724     L_ZTS
7.6431     7.113      6.4088     O1
11.6818    7.5821     8.9711     O2
15.65      11.5789    11.7867    O3
15.1265    14.4719    13.6075    O4







































































































































































8.6751     9.5815     11.679     GLRH
8.6523     9.5491     11.563
8.6269     9.5298     11.4554
8.5779     9.4934     11.3419
8.5356     9.4641     11.2376
8.5226     9.4315     11.1164
8.4945     9.3925     10.988
8.4794     9.3532     10.8389
8.4411     9.3085     10.7166
8.3941     9.2593     10.5913
8.367      9.2057     10.4612
8.2957     9.153      10.3131
8.2485     9.1175     10.1706
8.2042     9.0687     10.0265
8.1463     9.0127     9.9157
