AMNH       52626      laj34ms.xls
15.763     16.1531    -8.4445    IN
12.9928    13.2708    -11.1964   BR
9.9616     10.3597    -8.545     GL
9.9022     10.3285    -8.1226    NA
9.4388     9.8504     -6.5017    RH
9.0335     9.3564     -4.8693    NS
8.8906     9.2508     -4.3197    PR
9.5721     8.9197     -4.3171    R_PR2
9.9996     10.1598    -7.3601    R_PMS
12.4423    9.5209     -5.3107    R_ZMI
11.4636    9.5741     -6.5448    R_ZMU
10.3406    10.428     -7.8372    R_DA
11.2935    9.8155     -8.6816    R_MTI
11.4795    9.9665     -9.166     R_MTS
12.4532    9.4767     -7.434     R_FMO
12.9288    9.486      -7.3699    R_FMT
15.908     12.1555    -7.1629    R_PO
13.5708    9.5432     -5.8409    R_ZTS
8.578      9.8354     -4.3024    L_PR2
9.6817     10.3711    -7.1698    L_PMS
9.1154     12.685     -5.3345    L_ZMI
9.27       11.7567    -6.5255    L_ZMU
9.9269     10.6683    -7.869     L_DA
9.3708     11.4924    -8.6876    L_MTI
9.6413     11.6938    -9.2179    L_MTS
9.018      12.8232    -7.4377    L_FMO
8.9596     13.2564    -7.352     L_FMT
11.518     16.1387    -7.1894    L_PO
9.0145     13.8153    -5.8069    L_ZTS
9.0926     8.6549     -4.1623    O1
8.6572     12.9222    -5.7575    O2
12.0433    16.7141    -7.6594    O3
15.2054    16.5654    -9.0651    O4







































































































































































10.0021    10.3516    -8.6432    GLRH
9.9793     10.3368    -8.5135
9.9584     10.3055    -8.3012
9.9249     10.3004    -8.0986
9.9004     10.2975    -7.9129
9.8933     10.2637    -7.7187
9.8557     10.2357    -7.4834
9.8289     10.1948    -7.3091
9.7596     10.1436    -7.1031
9.6964     10.092     -6.9284
9.6577     10.0445    -6.8511
9.6069     9.9751     -6.7638
9.5396     9.9034     -6.6872
9.4855     9.859      -6.6121
9.4603     9.8263     -6.54

























































































































































































9.437      9.8035     -6.4507    NOSE
9.4908     9.7407     -6.4466
9.5422     9.6183     -6.2859
9.5038     9.5792     -6.2276
9.5034     9.5501     -6.1719
9.5636     9.5343     -6.1421
9.6343     9.523      -6.1467
9.6759     9.5522     -6.1749
9.7194     9.5628     -6.1815
9.7813     9.541      -6.0279
9.7885     9.4903     -5.8956
9.7687     9.4188     -5.7625
9.7375     9.3486     -5.6862
9.6799     9.3338     -5.5531
9.5866     9.3126     -5.4383
9.4834     9.3255     -5.3595
9.3559     9.3264     -5.1929
9.2599     9.3226     -5.0755
9.0699     9.3127     -4.8834
9.0423     9.344      -4.8664
9.0087     9.4435     -4.9293
8.952      9.5448     -5.0332
8.9315     9.6289     -5.1528
8.965      9.7908     -5.3233
8.9735     9.8853     -5.4049
8.9942     9.965      -5.4833
9.1505     10.1697    -5.9244
9.2153     10.1138    -6.0757
9.1949     9.9643     -6.2479
9.2738     9.9687     -6.2415
9.301      9.9938     -6.3742
9.3431     9.9207     -6.4251
9.4577     9.7987     -6.4793







































































































































































9.0539     9.3625     -4.8653    NASP-PR
8.9944     9.2797     -4.8194
8.917      9.2149     -4.69
8.8968     9.2133     -4.6183
8.905      9.1987     -4.5316
8.9123     9.1824     -4.4541
8.9436     9.2054     -4.3552






































































































































