AMNH       52646      ca8ms.xls
19.127     18.6325    -7.9883    IN
16.2747    16.2721    -11.4993   BR
13.1528    13.1479    -9.5261    GL
13.1374    13.0415    -9.2376    NA
12.3202    12.1711    -7.0259    RH
11.7857    11.5012    -5.1412    NS
11.5881    11.2646    -4.3643    PR
12.2155    10.912     -4.3011    R_PR2
12.8455    12.4153    -7.5105    R_PMS
15.4689    11.4129    -5.7975    R_ZMI
14.3073    11.9726    -7.2155    R_ZMU
13.3722    12.8644    -8.1385    R_DA
14.5211    12.5391    -9.6282    R_MTI
14.593     12.7142    -10.1184   R_MTS
15.4295    11.7576    -8.262     R_FMO
15.993     11.8527    -8.4023    R_FMT
19.1994    14.472     -7.3042    R_PO
16.7035    11.5374    -6.2936    R_ZTS
11.2674    11.9198    -4.3273    L_PR2
12.4139    12.7124    -7.4105    L_PMS
11.941     15.3189    -5.4322    L_ZMI
12.3459    14.1559    -7.0879    L_ZMU
12.9116    13.221     -8.3009    L_DA
12.6325    14.4597    -9.5483    L_MTI
12.7345    14.6241    -9.9688    L_MTS
11.9518    15.3778    -8.0013    L_FMO
12.0717    15.9723    -8.0703    L_FMT
15.1894    18.8338    -6.9349    L_PO
12.1076    16.526     -6.0604    L_ZTS
11.1704    11.4307    -4.0405    O1
11.671     15.3953    -6.1468    O2
15.1889    18.9931    -8.013     O3
18.319     19.3138    -8.2587    O4







































































































































































13.2069    13.1503    -9.5999    GLRH
13.1708    13.1017    -9.4438
13.1289    13.0441    -9.2185
13.0897    12.9599    -9.0001
13.031     12.8984    -8.751
12.9909    12.8243    -8.5043
12.8837    12.7848    -8.2191
12.8156    12.709     -7.9807
12.7572    12.6269    -7.8178
12.666     12.5039    -7.605
12.5583    12.4206    -7.439
12.4534    12.3176    -7.3011
12.41      12.2121    -7.1733
12.3626    12.1387    -7.0648


























































































































































































12.341     12.1528    -6.989     NOSE
12.4035    12.1132    -6.9993
12.4708    12.0557    -6.9929
12.5372    11.926     -6.806
12.6055    11.7264    -6.4732
12.6333    11.6594    -6.3213
12.6629    11.5789    -6.1374
12.6498    11.4874    -6.0234
12.6164    11.4316    -5.8851
12.536     11.401     -5.7534
12.423     11.413     -5.641
12.2882    11.4083    -5.5374
12.1386    11.467     -5.3914
12.0321    11.4947    -5.3096
11.9353    11.5367    -5.2277
11.8904    11.5729    -5.1849
11.8264    11.6379    -5.2041
11.7636    11.692     -5.2596
11.7581    11.8079    -5.3398
11.7391    11.9517    -5.4237
11.7543    12.1323    -5.5322
11.7627    12.2871    -5.6784
11.7802    12.4126    -5.8409
