NMNH       220366     ctt28ms.xls
16.4559    15.3017    9.4786     IN
14.1395    13.24      12.0642    BR
10.5884    9.8948     10.5655    GL
10.5167    9.8457     10.4084    NA
9.1085     8.4718     8.3473     RH
8.4266     7.7901     6.3293     NS
8.0923     7.4761     5.6326     PR
7.6818     8.0827     5.7358     R_PR2
9.3677     9.174      8.579      R_PMS
8.7481     12.159     6.6953     R_ZMI
9.2595     10.5582    8.3262     R_ZMU
10.2208    9.9743     9.2619     R_DA
9.8365     11.3223    10.4413    R_MTI
10.079     11.5399    10.7931    R_MTS
9.141      12.1176    9.3888     R_FMO
9.2707     12.6209    9.3849     R_FMT
12.259     15.7008    8.1511     R_PO
9.0765     13.1267    7.3905     R_ZTS
8.6965     7.103      5.5197     L_PR2
9.926      8.7514     8.6132     L_PMS
9999       9999       9999       L_ZMI
11.4135    8.4423     8.3269     L_ZMU
10.6867    9.5062     9.2905     L_DA
12.0874    8.9366     10.4739    L_MTI
12.2815    9.1703     10.793     L_MTS
12.7377    8.3175     9.5077     L_FMO
13.3084    8.4461     9.5253     L_FMT
16.3334    11.1568    8.1727     L_PO
9999       9999       9999       L_ZTS
8.9623     7.2022     6.2333     O1
8.7624     11.8174    8.2263     O2
13.6216    16.2984    9.1933     O3
15.7546    15.6865    10.2793    O4







































































































































































10.6086    9.8792     10.5792    GLRH
10.5462    9.8342     10.4377
10.4789    9.781      10.3323
10.3918    9.7328     10.2222
10.348     9.6771     10.0882
10.3164    9.6189     9.9996
10.23      9.5479     9.8453
10.2011    9.4998     9.7259
10.1526    9.457      9.6017
10.1064    9.3948     9.4868
10.0642    9.3427     9.3414
10.0126    9.2917     9.2293
9.9452     9.2312     9.1111
9.889      9.1654     9.032
9.7865     9.0972     8.936
9.7216     9.057      8.8875
9.6879     9.0081     8.8345
9.6124     8.9153     8.7771
9.5622     8.8283     8.7327
9.4667     8.7685     8.6955
9.4084     8.7401     8.6556
9.3626     8.6896     8.6153
9.2972     8.645      8.57
9.2577     8.6068     8.5462
9.2207     8.5748     8.5021
9.1788     8.5599     8.4745
9.1501     8.5175     8.4414
9.1456     8.5079     8.4153
9.1209     8.5028     8.3937
9.0951     8.4443     8.3125










































































































































































9.1099     8.4596     8.3564     NOSE
9.0574     8.5385     8.3855
9.0258     8.603      8.33
8.9623     8.6303     8.2836
8.9199     8.6179     8.2281
8.8627     8.6418     8.1806
8.8222     8.6729     8.1002
8.8114     8.6957     8.068
