AMNH       55013      laa4ms.xls
16.0929    15.0151    -11.8835   IN
13.9946    12.2729    -13.6383   BR
10.9098    8.1149     -11.5235   GL
10.7497    7.8724     -10.8218   NA
10.1099    6.8621     -9.1237    RH
9.2395     5.7839     -7.0971    NS
9.126      5.7123     -6.5795    PR
9.9234     5.298      -6.5245    R_PR2
10.8564    7.663      -10.2598   R_PMS
13.9268    7.1283     -7.8095    R_ZMI
12.7429    7.1813     -9.6237    R_ZMU
11.2638    8.0112     -10.799    R_DA
12.5698    7.6891     -11.733    R_MTI
12.7024    8.1738     -12.241    R_MTS
13.7058    7.3236     -10.4611   R_FMO
14.3408    7.2695     -10.6364   R_FMT
16.9626    11.0865    -9.3297    R_PO
15.1062    7.3532     -8.7174    R_ZTS
8.5867     6.398      -6.4993    L_PR2
10.5503    7.9778     -10.2239   L_PMS
9.0993     10.5684    -7.7283    L_ZMI
9.5109     9.4625     -9.6052    L_ZMU
10.7578    8.5733     -10.6188   L_DA
9.9434     9.61       -11.6708   L_MTI
10.2198    9.9411     -12.1287   L_MTS
9.1883     10.5776    -10.4847   L_FMO
9.0036     11.0767    -10.7344   L_FMT
11.8804    14.7851    -9.482     L_PO
8.9281     11.9269    -8.7994    L_ZTS
9.389      5.079      -6.4121    O1
13.5558    6.5799     -9.0685    O2
17.2676    11.5823    -10.1854   O3
16.616     14.2311    -10.8308   O4







































































































































































10.8971    8.1396     -11.426    GLRH
10.85      8.0788     -11.3313
10.8059    8.0084     -11.1662
10.7608    7.9762     -11.0374
10.7387    7.9136     -10.8917
10.7311    7.9026     -10.7731
10.7161    7.8779     -10.6155
10.7099    7.8561     -10.4714
10.7201    7.8266     -10.3415
10.6796    7.8004     -10.2514
10.6795    7.7368     -10.1443
10.646     7.7091     -10.0522
10.6106    7.6789     -10.0063
10.6027    7.603      -9.915
10.508     7.5034     -9.7697
10.4628    7.4079     -9.6517
10.3776    7.3261     -9.52
10.3078    7.207      -9.4107
10.2194    7.1464     -9.3408
10.153     7.077      -9.2849
10.1356    6.9926     -9.2422
10.0771    6.9425     -9.1844
10.0578    6.9011     -9.1442












































