NMNH       220368     ctt30ms.xls
16.7498    13.6113    13.3313    IN
13.372     10.4787    14.9046    BR
9.9921     7.7133     11.637     GL
9.895      7.6774     11.3492    NA
8.6476     6.7861     8.6277     RH
8.0116     6.349      6.4924     NS
7.9292     6.1957     5.4089     PR
7.5457     6.8346     5.4995     R_PR2
9.2435     7.6981     9.6671     R_PMS
8.8938     11.1427    8.0102     R_ZMI
8.9719     9.3905     9.6824     R_ZMU
10.0471    8.3442     10.5375    R_DA
9.0621     9.6334     11.7761    R_MTI
9.2998     9.7561     12.2439    R_MTS
8.7567     10.5398    10.9487    R_FMO
8.8284     11.2696    11.1137    R_FMT
12.7037    14.7203    10.8259    R_PO
8.897      12.2868    9.2518     R_ZTS
8.515      5.7252     5.5915     L_PR2
9.6444     7.102      9.49       L_PMS
13.0478    6.5902     7.6184     L_ZMI
11.4006    6.596      9.6168     L_ZMU
10.4681    7.6988     10.4458    L_DA
11.7961    6.4826     11.6865    L_MTI
12.0091    6.6627     12.053     L_MTS
12.6193    6.1199     10.7475    L_FMO
13.29      6.1798     10.9423    L_FMT
17.1405    9.6579     10.5385    L_PO
14.2596    6.2814     8.8414     L_ZTS
9.9544     5.7378     6.5464     O1
12.678     5.9322     9.1083     O2
17.5784    9.7369     11.3312    O3
16.847     12.2592    14.0297    O4







































































































































































9.978      7.7294     11.6842    GLRH
9.9591     7.7168     11.5616
9.9096     7.6875     11.428
9.8595     7.6744     11.2842
9.8049     7.6568     11.1603
9.7581     7.646      10.9794
9.7396     7.6074     10.8625
9.7086     7.5914     10.7439
9.7089     7.5762     10.5964
9.6525     7.536      10.5247
9.627      7.5094     10.3766
9.5777     7.4754     10.2664
9.5605     7.4558     10.1687
9.5095     7.4407     10.0961
9.4592     7.4041     9.9872
9.4188     7.3813     9.9161
9.3782     7.3581     9.8452
9.3373     7.3344     9.7745
9.2743     7.3126     9.6788
9.2251     7.2729     9.6124
9.1676     7.2175     9.5502
9.1325     7.1624     9.4626
9.0569     7.1191     9.3828
9.001      7.0687     9.2999
8.9508     7.0292     9.2244
8.8916     6.9957     9.1493
8.8487     6.9674     9.0814
8.7988     6.9496     9.0427
8.7816     6.9232     8.9893
8.742      6.882      8.9114
