AMNH     52566    caa26ms.xls
6.6461   2.3421   -3.1386
6.7165   2.4154   -3.1239
6.7744   2.5122   -3.0835
6.8438   2.5867   -3.0689
6.9011   2.6466   -3.0606
6.9654   2.7326   -3.0354
6.9873   2.7853   -3.0145
7.0186   2.8521   -2.9888
7.0498   2.9128   -2.9475
7.101    2.9434   -2.8941
9999     9999     9999
